"name","latitude","longitude","been"
"Roetgen","50.424°N","6.221°E","been"
"Paris-Bestiaux","48.8906505°N","2.3944641°E","been"
"Exmore","37°31′59″N","75°49′28″W","been"
"Park Row","40°42′44″N","74°0′16″W","been"
"Central","41.8701°N","87.7648°W","been"
"Queensboro Plaza","40°45′2.35″N","73°56′25.24″W","been"
"Ouest-Ceinture","48.8292°N","2.3062°E","been"
"Reading Depot","40.3427134°N","75.9257°W","been"
"Dayr Sunayd","31°34′28″N","34°33′18″E","todo"
"Abattoirs de Vaugirard","48.8303°N","2.3002°E","been"
"Tambacounda","13°46′8″N","13°40′2″W","been"
"Racine","41.779445°N","87.654515°W","been"
"Cotonou","6°22′N","2°26′E","been"
"Laramie","41.8518°N","87.7538°W","been"
"Montour Trail","40.5048°N","80.145°W","been"
"Banc","45.51538","-73.56234","been"
"Bastille","48.85333°N","2.36917°E","been"
"South Ferry","40.702472","-74.012833","been"
"Vieillespesse-Lastic","45.1277777778°N","3.15277777778°E","been"
"Avenue de Saint-Ouen","48.89575°N","2.32866°E","been"
"Michigan Central Station","42°19′43.69″N","083°04′39.83″W","todo"
"South Kentish Town","51°32′43″N","0°08′30″W","been"
"Milton","41°39′32″N","73°57′36″W","been"
"Cours de Vincennes","48.8473°N","2.4048°E","been"
"Sedgwick Avenue","40°49′52.8″N","73°55′56.6″W","todo"
"Wanamaker","40.63031°N","75.85289°W","been"
"Estivareilles","45.4177777778°N","4.01138888889°E","been"
"Batignolles","48°53′15″N","2°19′15″E","been"
"Est-Ceinture","48.897153°N","2.375029°E","been"
"Richmond Broad Street","37.561111°N","77.465833°W","been"
"Dean Street","40.6778°N","73.9565°W","been"
"Down Street","51.50465°N","0.14791°W","been"
"La Glacière-Gentilly","48.8218588°N","2.3481333°E","been"
"Petite Ceinture 🛼","48.8408°N","2.2653°E","been"
"La Maison-Blanche","48.821452°N","2.360176°E","been"
"Martin Nadaud","48.864898265538066°N","2.398120164871216°E","been"
"Saint-Poncy","45.1656°N","3.1875°E","been"
"Kostner","41.8734°N","87.735°W","been"
"Washington &amp; Old Dominion Railroad","38.8718317°N","77.1321047°W","been"
"Wabash Pittsburgh Terminal","40.441°N","80.0045°W","been"
"High Line","40.748°N","74.0047°W","been"
"Avenue du Bois-de-Boulogne","48.8706°N","2.2753°E","been"
"King’s Cross St Pancras","51.5302°N","0.1241°W","been"
"Aylesbury","51.813903°N","0.815102°W","todo"
"Petersburg Union Station","37°14′3.4″N","77°24′9.2″W","been"
"Montrouge-Ceinture","48.82464°N","2.32553°E","been"
"King William Street","51°30′37″N","0°05′13″W","been"
"Roosevelt Island","40.75694444444444","-73.95472222222222","been"
"Ouagadougou","12°22′07″N","01°31′39″W","been"
"Chabrillac","45.0706°N","3.1389°E","been"
"Bel-Air-Ceinture","48.840833°N","2.407992°E","been"
"Cournil","45.1786111111°N","3.24444444444°E","been"
"Passy-la-Muette","48.8581°N","2.2724°E","been"
"Coren-les-Eaux","45.0781°N","3.1081°E","been"
"Bordeta","41.370427°N","2.131165°E","been"
"Rockaway Beach Branch","40.7254","-73.8608","been"
"Verney Junction","51.9406°N","0.93°W","todo"
"Courcelles-Levallois","48.88576918782727°N","2.297735810279846°E","been"
"Rotterdam Hofplein","51.926944","4.479167","been"
"180th St–Bronx Park","40°50′33.5″N","73°52′41″W","been"
"Parc de Montsouris","48.8214°N","2.343°E","been"
"Scheveningen","52°6.247′N","4°16.095′E","been"
"Konzen","50.424°N","6.221°E","been"
"Gobelins","48.825°N","2.366°E","been"
"Parksley","37°47′6″N","75°39′15″W","been"
"Wissous","48.7319°N","2.3271°E","been"
"Lewisburg","40°57′50″N","76°53′17″W","been"
"Lammersdorf","50.424°N","6.221°E","been"
"Lerchenfelder Straße","48.206872°N","16.35625°E","been"
"Marlborough Road","51.53666°N","0.17593°W","been"
"Brill","51.8323°N","1.0482°W","todo"
"Kaffrine","14°07′N","15°42′W","been"
"Orléans-Ceinture","48.825532°N","2.379978°E","been"
"91st St","40.7914°N","73.9741°W","been"
"Neuilly-Porte Maillot","48.8776642848°N","2.28174383914°E","been"
"Pont-Cardinet","48°53′16″N","2°18′51″E","been"
"Croix-Rouge","48°51′07″N","2°19′46″E","been"
"Avenue Henri-Martin","48°51′51″N","2°16′22″E","been"
"Saint Martin","48.86844°N","2.358661°E","been"
"Shoreditch","51°31′22″N","0°04′15″W","been"
"Rue Claude Decaen","48.834°N","2.4009°E","been"
"Anderson–Jerome Avenues","40.8307292°N","73.9273265°W","todo"
"Washington/State","41.8837°N","87.6278°W","been"
"Fernando","41°22′49.1″N","2°10′26.5″E","been"
"Pont-de-Flandre","48.8954°N","2.3815°E","been"
"Poissy-Grande-Ceinture","48.927115°N","2.051554°E","todo"
"Champ de Mars","48°51′22″N","2°17′54″E","been"
"Grenelle","48°51′N","2°18′E","been"
"Richmond Hill","40°42′02″N","73°49′56″W","been"
"Queensboro Bridge","40.75694444444444","-73.95472222222222","been"
"Pittsburgh &amp; Lake Erie","40°26′1″N","80°0′14″W","been"
"World’s Fair","40.742753°N","73.837762°W","been"
"City Hall","40.7126°N","74.0067°W","been"
"California","41.8754°N","87.6964°W","been"
"Arsenal","48.849042°N","2.366642°E","been"
"Argenteuil-Grande-Ceinture","48.948883°N","2.257956°E","been"
"Port Morris Branch","40°48′57″N","73°54′46″W","been"
"Jerusalem–Malha","31°44.885′N","35°11.252′E","been"
"18th St","40.737°N","73.989°W","been"
"Myrtle Avenue","40.6937°N","73.9833°W","been"
"Court Street","40.69361111111111","-73.99027777777778","been"
"Charonne","48°51′37″N","2°24′15″E","been"
"La Chapelle-Laurent","45.1786°N","3.2444°E","been"
"Swiss Cottage","51.5424°N","0.1734°W","been"
"Worth Street","40.7155°N","74.003°W","been"
"Williamsburg Bridge","40.71356°N","73.97197°W","been"
"Talairat","45.2391666667°N","3.35305555556°E","been"
"Point-du-Jour","48.8408°N","2.2653°E","been"
"Brompton Road","51°29′49.6″N","0°10′8″W","been"
"Kidira","14°25′N","12°15′W","been"
"Correos","41°22′55″N","2°10′53″E","been"
"Belleville-Villette","48.884211°N","2.385088°E","been"
"Capital Crescent Trail","39.0024°N","77.0463°W","been"
"Avenue de Clichy","48.894124°N","2.31513°E","been"
"Hamilton James Street","43.2658°N","79.8646°W","been"
"Provincetown","42°03′11.87″N","70°11′10.82″W","been"
"Saint-Pierre-Toirac","44.5283°N","1.9547°E","been"
"York Road","51°32′18″N","0°07′21″W","been"
"Vaugirard","48°50′29″N","2°18′01″E","been"
"Kébémer","15°22′N","16°26′W","been"
"Hownslow Town","51°28′18″N","0°21′16″W","been"
"Monschau","50.424°N","6.221°E","been"
"Ongar","51°42′32″N","0°14′34″E","todo"
"Courcelles-Ceinture","48.887223°N","2.301118°E","been"
"Purcellville","39°8′24″N","77°42′57″W","todo"
"Saint-Cyr-Grande-Ceinture","48.802496°N","2.076931°E","been"
"Auteuil-Boulogne","48.8483°N","2.2599°E","been"
"Santa Fe Southern Railway","35.65","-105.95833333333333","been"
"Castelnaud-Fayrac","44.832621°N","1.133226°E","been"
"221st Street","40.872921°N","73.912015°W","been"
"La Rapée-Bercy","48.8294°N","2.3896°E","been"
"Aldwych","51.51215°N","0.11595°W","been"
"La Chapelle-Saint-Denis","48.8982°N","2.3554°E","been"
"British Museum","51.5175°N","0.1228°W","been"
"Kalterherberg","50.424°N","6.221°E","been"
"Mark Lane","51°30′35″N","0°4′45″W","been"
"Boulevard Ornano","48.8976°N","2.3441°E","been"
"Times Square Shuttle platform","40.756","-73.987","been"
"Cajarc","44.4864°N","1.8436°E","been"
"Saint-Beauzire","45.2758333333°N","3.26833333333°E","been"
"Jerusalem–Khan","31°46′0.66″N","35°13′28.96″E","todo"
"Ménilmontant","48.8661°N","2.3837°E","been"
"Rue d’Avron","48.8533°N","2.4075°E","been"
"Montauk Branch","40.70585°N","73.7845°W","been"
"Waterloo, NY","42°54′13″N","76°51′34″W","been"
