"name","latitude","longitude","been"
"Luxembourg","49°37′24″N","006°12′16″E","been"
"Ontario","34°03′22″N","117°36′04″W","been"
"Copenhagen","55°37′05″N","012°39′22″E","todo"
"London City","51°30′19″N","000°03′19″E","been"
"Boise","43°33′52″N","116°13′22″W","been"
"Lisbon","38°46′27″N","009°08′03″W","been"
"Washington National","38°51′4.8″N","77°2′40.2″W","been"
"Orly","48°43′24″N","02°22′46″E","been"
"Vancouver","49°11′41″N","123°11′02″W","todo"
"Berlin Tempelhof","52°28′25″N","013°24′06″E","been"
"Nairobi Wilson","01°19′12″S","36°48′54″E","been"
"Eindhoven","51°27′00″N","005°22′28″E","been"
"San Jose","37.304166666667","-121.87277777778","been"
"Oslo","60°12′10″N","011°05′02″E","todo"
"Warsaw Chopin","52°09′57″N","20°58′02″E","been"
"Salt Lake City","40°47′18″N","111°58′40″W","been"
"Futuna","19°30′59″S","170°13′55″E","been"
"LaGuardia","40.775°N","73.875°W","been"
"Belgrade Nikola Tesla","44°49′10″N","20°18′25″E","been"
"Bratislava","48°10′12″N","17°12′46″E","been"
"Port Vila Bauerfield","17°41′57″S","168°19′11″E","been"
"Newark Liberty","40°41′33″N","074°10′07″W","been"
"Kampala Entebbe","00°02′41″N","032°26′35″E","been"
"Abuja Nnamdi Azikiwe","9°00′24″N","7°15′47″E","todo"
"Boeing Field","47°31′48″N","122°18′07″W","been"
"Helsinki","60°19′02″N","024°57′48″E","todo"
"Orcas Island","48°42′29″N","122°54′38″W","been"
"Reykjavik Keflavík","63°59′06″N","22°36′20″W","been"
"Ouagadougou Thomas Sankara","12°21′11″N","01°30′44″W","been"
"Luton","51°52′29″N","000°22′06″W","been"
"Istanbul","41°15′44″N","28°43′40″E","been"
"Cotonou Cadjehoun","6°21′21″N","2°23′06″E","been"
"Clermont-Ferrand Auvergne","45°47′09″N","003°09′45″E","been"
"Tel Aviv Ben Guirion","32°00′34″N","034°52′58″E","been"
"Moscow Sheremetyevo","55°58′22″N","37°24′53″E","been"
"San Francisco","37°37′08″N","122°22′30″W","been"
"Madrid Adolfo Suárez","40°28′20″N","003°33′39″W","been"
"Stockholm Arlanda","59°39′07″N","017°55′07″E","been"
