"name","latitude","longitude","been"
"Marina Bay Sands","1°16′57.54″N","103°51′30.30″E","todo"
"Omotesando","35.66513°N","139.71248°E","been"
"Eaton Centre","43.653888888889","-79.380277777778","todo"
"Stratford City","51.545935°N","0.009248°W","been"
"Birmingham","52.48","-1.9025","todo"
"Via del Corso","41°54′21.7″N","12°28′41.78″E","todo"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Shinsaibashi","34°40′21″N","135°30′00″E","todo"
"Galleria Dallas","32°55′48.00″N","96°49′10″W","todo"
"Marseille","43.2964°N","5.37°E","todo"
"Maine Mall","43°38′0″N","70°20′5″W","been"
"Kunming","25.0464°N","102.7094°E","todo"
"Bağdat Caddesi","40.96215°N","29.07701°E","todo"
"Den Haag","52°04′48″N","04°18′36″E","been"
"Bridgeport Village","45.396°N","122.752°W","todo"
"Third Street Promenade","34.0156°N","118.4961°W","been"
"Cotai Strip","22°8′26″N","113°33′47″E","todo"
"Haarlem","52°23′N","4°38′E","todo"
"Strasbourg","48°35′00″N","07°44′45″E","been"
"Vélizy 2","48°46′52″N","2°13′13″E","been"
"Apple Park","37.3349°N","122.009°W","been"
"Upper East Side","40.769°N","73.966°W","been"
"Champs-Élysées","48.8698°N","2.3076°E","been"
"Fukuoka","33°35′24″N","130°24′06″E","been"
"Park City","40.659444444444","-111.49972222222","been"
"Edinburgh","55°57′12″N","03°11′21″W","todo"
"Walnut Street","40.8173","-74.2098","been"
"Changsha","28.228°N","112.939°E","todo"
"Birkdale Village","35.4466°N","80.8799°W","todo"
"World Trade Center","40.711388888889","-74.0125","been"
"Valley Fair","44.241","-88.4156","been"
"Ginza","35.671217°N","139.765007°E","todo"
"Passeig de Gràcia","41°23′34″N","02°09′49″E","been"
"Hannover","52°22′N","9°43′E","todo"
"Royal Hawaiian","21.2774","-157.829","todo"
"Sainte-Catherine","50.307222222222","2.7630555555556","todo"
"University Village","41.871","-87.659","todo"
"Lille","50.6278°N","3.0583°E","todo"
"Willowbrook","33.9175","-118.253","been"
"Pentagon City","38°51′41″N","77°3′30″W","been"
"Stanford","37°25′39″N","122°10′12″W","been"
"Schildergasse","50°56′11″N","6°57′9″E","todo"
"South Hills Village","40°20′36.43″N","80°3′17.11″W","been"
"Les Quatre Temps","48°53′21.603″N","02°14′17.523″E","been"
"Freie Strasse","47.55646","7.589578","been"
"Grand Central","40.75277777777778","-73.97722222222222","been"
"Mall of the Emirates","25°7′5″N","55°12′2″E","todo"
"Yeouido","37°31′26″N","126°55′36″E","todo"
"West 14th Street","40.7357°N","73.9929°W","been"
"Bridgewater","41.990277777778","-70.975555555556","been"
"Dubai Mall","25.1975","55.279166666667","been"
"Marunouchi","35.681352777778","139.76435277778","todo"
"Bluewater","34.1669","-114.272","been"
"Forum Shops","36°7′8″N","115°10′34″W","been"
"Montgomery Mall","39.024277777778","-77.147194444444","been"
"Broadway Plaza","44.0228","-92.4625","been"
"Aventura","25.964444444444","-80.135833333333","been"
"Orchard Road","1°18′17.4″N","103°49′54.6″E","todo"
"Downtown Brooklyn","40°41′38″N","73°59′14″W","been"
"SoHo","40.723°N","74.0°W","been"
"Upper West Side","40.787°N","73.975°W","been"
"Lincoln Park","41°55′42″N","87°38′15″W","been"
"Myeongdong","37.5637°N","126.9840°E","todo"
"Covent Garden","51.5125°N","0.1225°W","been"
"White City","32.077777777778","34.773888888889","todo"
"Union Square","40.735556","-73.990556","been"
"Tower Theatre","38.561346","-121.493146","todo"
"Shadyside","39.97138889","-80.75083333","been"
"Kärntner Straße","48.206°N","16.371°E","been"
"Brompton Road","51.4989°N","0.165°W","todo"
"Shibuya","35°39′34″N","139°42′02″E","been"
"Southampton","50°54′09″N","01°24′15″W","been"
"Rennweg","48.1931","16.3921","todo"
"Wuhan","30.5934°N","114.3046°E","todo"
"Taipei 101","25.033641666666668","121.56488611111111","todo"
