"name","latitude","longitude","been"
"Puerta de Toledo","40.406721°N","3.711636°W","todo"
"Arco della Pace","45°28′33″N","9°10′21″E","todo"
"Porta Garibaldi (Milan)","45°28′50.63″N","9°11′12.83″E","todo"
"Taq-e Zafar","34.590011°N","68.9584813°E","todo"
"Arc de Triomphe","48°52′25.6″N","2°17′42.1″E","been"
"Arco da Porta Nova","41°33′0.95″N","8°25′45.51″W","been"
"Narva Triumphal Gate","59.9009°N","30.2738°E","been"
"Arco de la Victoria","40.4359°N","3.7202°W","been"
"Poklonnaya Hill Arch","55°44′12.3″N","37°31′11.7″E","todo"
"Red Gate","55°46′6″N","37°38′59″E","been"
"Porta Macedonia","41°59′40″N","21°25′56″E","todo"
"Dewey Arch","40°44.53′0″N","73°59.34′0″W","been"
"Arcades du Cinquantenaire","50°50′25″N","4°23′34″E","been"
"Rua Augusta Arch","38.7084°N","9.1368°W","been"
"Siegestor","48°09′08″N","11°34′55″E","todo"
"Brandenburg Gate","52.5163°N","13.3777°E","been"
"Puerta de Alcalá","40°25′12″N","3°41′20″W","todo"
"Porta Garibaldi (Catania)","37.49968°N","15.07392°E","been"
"Washington Square Arch","40.7312355°N","73.9971028°W","been"
"Arcul de Triumf (Bucharest)","44°28′1.99″N","26°4′41.06″E","todo"
"Porte du Peyrou","43°36′40″N","3°52′20.5″E","been"
"Arch 22","13.460°N","16.582°W","todo"
"Porte Saint-Denis","48°52′11″N","2°21′09.49″E","been"
"Arco di Trionfo di Castel Nuovo","40.838408°N","14.253307°E","been"
"Porte d’Aix","43°18′06.45″N","05°22′29.15″E","todo"
"Princes’ Gates","43°38′5″N","79°24′34″W","been"
"Wellington Arch","51°30′9″N","0°9′3″W","been"
"Soldiers’ and Sailors’ Arch","40.6729°N","73.9698°W","been"
"World War II Memorial","38°53′22″N","77°2′26″W","been"
"Arc de Triomphe du Carrousel","48.86173°N","2.33291°E","been"
"Delicate Arch","38.743517°N","109.499341°W","been"
"India Gate","28°36′46.31″N","77°13′45.5″E","todo"
"Arcul de Triumf (Chișinău)","47°1′29″N","28°49′57″E","been"
"Porta Nigra","49°45′35″N","6°38′38″E","been"
"Marble Arch","51.51317°N","0.15888°W","been"
"Admiralty Arch","51.50678°N","0.12869°W","been"
"Arch of Triumph","39°2′40″N","125°45′10″E","todo"
"Gateway Arch","38.6245°N","90.1847°W","been"
"Victory Arch","33°18′18.6″N","44°23′11.27″E","todo"
"Porta Nuova","38°06′44″N","13°21′10″E","been"
"Arc de Triomf","41°23′27″N","2°10′50″E","been"
"Porte Saint-Martin","48°52′08.90″N","2°21′20.25″E","been"
"Grande Arche de la Défense","48.893056°N","2.236389°E","been"
"Puerta de San Vicente","40.42024°N","3.72041°W","todo"
