"name","latitude","longitude","been"
"Maho Beach","18.03983°N","63.12069°W","todo"
"Orchard Beach","40.8673°N","73.7925°W","been"
"Half Moon Bay","37°27′32″N","122°26′13″W","been"
"Island Beach","39.8865°N","74.0819°W","been"
"Nouméa","22.2758°S","166.458°E","been"
"Bournemouth","50.72001°N","1.87995°W","been"
"Jökulsárlón","64°04′13″N","16°12′42″W","been"
"Rockaway Beach, OR","45°37′28″N","123°56′14″W","been"
"Neskowin","45°07′15″N","123°58′34″W","been"
"Saint-Louis","16°02′N","16°30′W","been"
"Martinique ","14°39′00″N","61°00′54″W","todo"
"Cape May","38°56′00″N","74°55′17″W","been"
"Megijima","34°23′43″N","134°3′0″E","been"
"Mont Saint-Michel","48.636°N","1.511°W","been"
"Mermoz","14°42′N","17°28′W","been"
"Honfleur","49.4194°N","0.2325°E","been"
"Sorrento","40°37′34″N","14°22′34″E","been"
"Napatree Point","41.316884°N","71.873932°W","been"
"Goa","15.50°N","73.83°E","todo"
"Martha’s Vineyard","41°24′N","70°37′W","been"
"Monmouth Beach","40.335895°N","73.985608°W","been"
"Sharm El-Sheikh","27°54′54″N","34°19′39″E","todo"
"Cambria","35°33′15″N","121°5′15″W","been"
"Cagnes-sur-Mer","43.6644°N","7.1489°E","been"
"Seurasaari","60°11′N","024°53′E","todo"
"Alexandria","31°11′51″N","29°53′33″E","been"
"Atlantic City","39°21′45″N","74°25′30″W","todo"
"Ocean City, NJ","39.269523°N","74.599797°W","been"
"Dominica ","15°25′N","61°20′W","todo"
"Pornichet","47.2775°N","2.3389°W","been"
"Nice","43°38′55″N","7°12′32″E","been"
"Zandvoort aan Zee","52.366666666667","4.5333333333333","been"
"Devil’s Slide","37.574383°N","122.520255°W","been"
"Odesa","46.478°N","30.728°E","todo"
"San Gregorio","37°19′23″N","122°24′7″W","been"
"Hamatombetsu","45°7′N","142°22′E","been"
"Joal-Fadiouth","14°10′N","16°50′W","been"
"Cayucos","35°26′18″N","120°53′26″W","been"
"Plage des Mamelles","14.7227°N","17.4989°W","been"
"Djifer","13°56′6.2772″N","16°45′46.656″W","been"
"Barbados ","13°05′52″N","59°37′06″W","todo"
"De Panne","51°06′N","02°35′E","been"
"Myrtle Beach","33°44′38.67″N","78°52′10.11″W","been"
"Palermo","38°06′40″N","13°21′06″E","been"
"Grimaldi","39.15","16.233333333333","been"
"Bondi Beach","33.891°S","151.278°E","todo"
"Bredene","51°14′N","02°58′E","todo"
"Big Sur","36.299216°N","121.873402°W","been"
