"name","latitude","longitude","been"
"Ipsala","40°55′18″N","26°22′55″E","been"
"Iași","47°09′44″N","27°35′20″E","been"
"Košice","48°43′N","21°15′E","been"
"Niagara Falls","43°5′24.84″N","79°4′3.88″W","been"
"Panmunjom","37°57′36″N","126°39′54″E","been"
"Ikla","57°52′37″N","24°21′44″E","been"
"Gisenyi","1°42′S","29°15′E","been"
"Rajka","47.99689°N","17.19832°E","been"
"Gatuna","1.43333°S","30.01518°E","been"
"Bratislava","48°08′38″N","17°06′35″E","been"
"Peace Bridge","42.90694°N","78.90556°W","been"
"Záhony","48.417°N","22.183°E","been"
"Giurgiulești","45°29′N","28°12′E","been"
"Lomé","06°07′51″N","01°12′55″E","been"
"Rusumo","-2.38055556","30.77722222","todo"
"Matam","15.1","-13.633333333333","been"
"Mangalia","43°49′02″N","28°34′58″E","been"
"Erez","31°33′29.52″N","34°32′41″E","todo"
"Edirne","41°40′37″N","26°33′20″E","been"
"Kumanovo","42°08′09″N","21°43′05″E","been"
"Calais","50°56′53″N","01°51′23″E","been"
"Sant Julia de Loria","42°27′54″N","1°29′28″E","been"
"Bender","46.833333333333","29.483333333333","been"
"Chernivtsi","48°18′0″N","25°56′0″E","been"
"Checkpoint Charlie","52°30′27″N","13°23′25″E","been"
"Roxham Road","45.0071°N","73.5172°W","todo"
"Woodlands","1.4456","103.76906","todo"
"Macau","22.19°N","113.54°E","been"
"Rafah","31.24858","34.25923","todo"
"Gevgelija","41°8′44″N","22°29′58″E","been"
"Trbušnica","44.483333333333","19.183333333333","been"
"Ivanica","42.6629°N","18.1628°E","been"
"Grand Popo","6°17′N","1°50′E","been"
"Bethlehem","31°42′16″N","35°12′23″E","been"
"Kidira","14°25′N","12°15′W","been"
"Kerem Shalom","31°13′15″N","34°16′14″E","todo"
"Nogales","31.353888888889","-110.93916666667","been"
