"name","latitude","longitude","been"
"Three Sisters","40°26′46″N","80°00′07″W","been"
"Peace Bridge","42.90694°N","78.90556°W","been"
"Broad Street Bridge","43°9′17″N","77°36′35″W","been"
"Garden City Skyway","43.16731°N","79.1952°W","been"
"Sagamore Bridge","41°46′34.14″N","70°32′36.13″W","been"
"Russky Bridge","43°03′47″N","131°54′30″E","todo"
"Pont du Gard","43°56′50″N","04°32′08″E","been"
"Johor–Singapore Causeway","1.45277222","103.76915278","todo"
"Champlain Bridge","45°28′10″N","73°30′58″W","todo"
"Verrazzano Bridge","40°36′23″N","74°02′44″W","been"
"London Millennium Bridge","51.510173°N","0.098438°W","been"
"Praterbrücke","48°12′25.54″N","16°26′11.20″E","been"
"Andreas-Maurer-Brücke","48.146088°N","16.908215°E","been"
"Nhật Tân Bridge","21°05′34″N","105°49′15″E","todo"
"Jacques Cartier Bridge","45°31′15″N","73°32′06″W","todo"
"Grand Pont Nelson Mandela","14.130777777777778","-16.46686111111111","been"
"Third Mainland Bridge","6°30′00″N","3°24′05″E","been"
"Broadway Bridge","45.531816°N","122.673898°W","been"
"Brooklyn Bridge","40.7057°N","73.9964°W","been"
"San Francisco Bay Bridge","37°49′5″N","122°20′48″W","been"
"Chesapeake Bay Bridge–Tunnel","37.029966°N","76.085815°W","todo"
"New Yalu River Bridge","40°2′8″N","124°22′10″E","todo"
"Senegambia Bridge","13°30′59″N","15°34′21″W","been"
"Karlův Most","50°05′11″N","14°24′43″E","been"
"Bandra–Worli Sea Link","19.0364°N","72.8172°E","todo"
"Most Lanfranconi","48°08′33″N","17°04′31″E","been"
"Montenegro Millennium Bridge","42.4452°N","19.2581°E","been"
"West End Bridge","40.44631°N","80.02699°W","been"
"Newport Bridge","41°30′10.28″N","71°20′21.76″W","been"
"Glienicke Bridge","52.413431°N","13.090114°E","todo"
"Manhattan Bridge","40.707°N","73.9905°W","been"
"North Grand Island Bridge","43°4′8″N","78°59′27″W","been"
"Bac de Roda Bridge","41.416191°N","2.192464°E","todo"
"Liberty Bridge","40.4328°N","79.9967°W","been"
"1915 Çanakkale Bridge","40°20′24″N","26°38′10″E","todo"
"Tongjiang–Nizhneleninskoye Bridge","47.96°N","132.70°E","todo"
"Crimean Bridge","45.3086","36.5061","todo"
"Walt Whitman Bridge","39°54′19″N","75°07′47″W","todo"
"Rheinbrücke Maxau","49°2′13″N","8°18′12″E","been"
"Tilikum Crossing","45.5049°N","122.667°W","been"
"Köhlbrandbrücke","53°31′18″N","9°56′18″E","todo"
"Fort Duquesne Bridge","40.4443°N","80.0093°W","been"
"Yangsigang Yangtze River Bridge","30.5067°N","114.2568°E","todo"
"Pelješac Bridge","42.93277777777778","17.536944444444444","todo"
"Puente de La Pepa","36°31′29″N","6°15′25″W","todo"
"Allenby Bridge","31°52′27″N","35°32′27″E","todo"
"Aurora Bridge","47°38′47″N","122°20′51″W","been"
"Incheon Bridge","37°24′50″N","126°34′0″E","todo"
"Capilano Suspension Bridge","49°20′34″N","123°06′44″W","todo"
"Jamestown Bridge","41.5279°N","71.4037°W","been"
"Great Belt Bridge","55°20′31″N","11°02′10″E","todo"
"Woodrow Wilson Bridge","38.793396°N","77.03167°W","been"
"San Mateo–Hayward Bridge","37.6019°N","122.2047°W","been"
"Nuselský Most","50.065844°N","14.430483°E","been"
"Chesapeake Bay Bridge","38°59′30″N","76°22′20″W","been"
"Commodore Barry Bridge","39°49′32″N","75°22′06″W","todo"
"Gateshead Millennium Bridge","54.9698°N","1.5992°W","been"
"World War I Memorial Bridge","43.07938°N","70.75255°W","been"
"Astoria–Megler Bridge","46.217°N","123.863°W","todo"
"Suez Canal Bridge","30.828248°N","32.317572°E","todo"
"John James Audubon Bridge","30°43′13.32″N","91°21′5.36″W","todo"
"Panhandle Bridge","40°25′59.12″N","79°59′53.06″W","been"
"King Carol I Bridge","44°20′25.56″N","28°1′1.26″E","todo"
"Vasco da Gama Bridge","38.762°N","9.043°W","todo"
"Puente de Vizcaya","43.3231°N","3.0169°W","todo"
"Great South Bay Bridge","40°40′34″N","73°16′27″W","todo"
"Golden Gate Bridge","37°49′11″N","122°28′43″W","been"
"Tappan Zee Bridge","41°04′17″N","73°53′28″W","been"
"Delaware Memorial Bridge","39.68927°N","75.51897°W","been"
"Smithfield Street Bridge","40°26′5″N","80°0′8″W","been"
"Greenville Bridge","33°17′14″N","91°09′15″W","todo"
"Deception Pass Bridge","48.4061","-122.645","been"
"Tunkhannock Viaduct","41.6222°N","75.7773°W","todo"
"Viaduc de Garabit","44.975401","3.177216","been"
"Øresund Bridge","55°34′14″N","12°50′58″E","todo"
"Orinoquia Bridge","08°16′24″N","62°53′02″W","todo"
"Lekki-Ikoyi Link Bridge","6.4502°N","3.4558°E","been"
"Mackinac Bridge","45.817059°N","84.727822°W","todo"
"Pont de Normandie","49°26′09″N","0°16′28″E","been"
"Hernando de Soto Bridge","35°09′10″N","90°03′50″W","todo"
"Humber Bridge","53.7064°N","0.45°W","todo"
"Pearl Harbor Memorial Bridge","41°17′55″N","72°54′14″W","been"
"King Fahd Causeway","26°10′57″N","50°20′09″E","todo"
"Dreiländerbrücke","47°35′29.5″N","7°35′24″E","been"
"Rio–Niterói Bridge","22.871213°S","43.153406°W","todo"
"Potomac River Bridge","38.3618°N","76.9934°W","been"
"Rainbow Bridge","43°5′24.84″N","79°4′3.88″W","been"
"Pont de Rennes","43.1627°N","77.6153°W","been"
"Confederation Bridge","46°12′55″N","63°44′45″W","todo"
"William Howard Taft Bridge","38°55′14″N","77°2′59″W","been"
"Pulaski Skyway","40.73583°N","74.09167°W","been"
"Francis Scott Key Bridge","39.216944444444444","-76.52833333333334","todo"
"Sino-Korean Friendship Bridge","40°6′54″N","124°23′33″E","todo"
"Waldschlößchenbrücke","51.0639°N","13.7768°E","todo"
"Stari Most, Mostar","43.33727777777778","17.81502777777778","been"
"Ponte 25 de Abril","38°41′21″N","09°10′37″W","been"
"Hell Gate Bridge","40.7825","-73.92194444444445","been"
"Most Gdański","52°15′38″N","21°00′33″E","been"
"Libertador General San Martín Bridge","33°6′2.0″S","58°14′55.3″W","todo"
"Mid-Hudson Bridge","41°42′11″N","73°56′46″W","been"
"South Grand Island Bridge","42°59′54″N","78°56′14″W","been"
"Lake Washington Bridge","47.589841°N","122.269421°W","been"
"Bridge of the Americas","8°56′35″N","79°33′54″W","been"
"George Washington Bridge","40.8517°N","73.9527°W","been"
"Viaduc de Millau","44°04′46″N","03°01′20″E","been"
"Erasmusbrug","51°54′33″N","4°29′12″E","been"
"Richmond–San Rafael Bridge","37.9347°N","122.4338°W","been"
"Benjamin Franklin Bridge","39.953°N","75.134°W","been"
"Forth Bridge","56.0004°N","3.3886°W","todo"
"Vicksburg Bridge","32°18′55″N","90°54′30″W","todo"
"Borgarfjarðarbrú","64.5336630°N","21.8924260°W","been"
"Rosario-Victoria Bridge","-32.869083","-60.678984","todo"
"Bhumibol Bridge","13°39′55″N","100°32′22″E","todo"
"Hong Kong–Macau Bridge","22°16′59″N","113°46′50″E","todo"
"Second Severn Crossing","51.5745°N","2.7016°W","todo"
"El Ferdan Railway Bridge","30°39′25″N","32°20′2″E","todo"
"Sultan Abdul Halim Muadzam Shah Bridge","5°14′59″N","100°21′05″E","todo"
"Sydney Harbour Bridge","33°51′08″S","151°12′38″E","todo"
"Tacoma Narrows Bridge","47°16′5″N","122°33′2″W","been"
"Tower Bridge","51.5055°N","0.0754°W","been"
"Akashi Kaikyo Bridge","34.6162°N","135.0205°E","todo"
"Fort Pitt Bridge","40.43883°N","80.01113°W","been"
"Saint-Nazaire Bridge","47.278603°N","2.165881°W","todo"
"Pumarejo bridge","10.9503°N","74.7562°W","todo"
"Burlington Bay Skyway","43.29945°N","79.79799°W","been"
"Bridge of the Gods","45.6623°N","121.9012°W","been"
