"name","latitude","longitude","been"
"Telefèric del Port","41°22′20″N","2°10′48.5″E","been"
"Teleférico La Paz","16°30′00″S","68°09′00″W","todo"
"Telefèric de Montjuïc","41°22′14″N","2°10′14″E","been"
"Medellín Metrocable","6.30593","-75.58213","todo"
"Teleférico de Monserrate","4°36′11″N","74°03′40″W","todo"
"Klein Matterhorn","45°56′18″N","7°43′47″E","been"
"Aeri de Montserrat","41°35′27″N","1°51′11″E","been"
"Malá Fatra","49.18769°N","19.03088°E","been"
"Sandia Peak Tramway","35°11′26″N","106°28′46″W","been"
"Tianmen Mountain","29°2′59.57″N","110°28′44.00″E","todo"
"Ještěd Cable Car","50°44′6.61″N","15°0′2.39″E","todo"
"Emirates Air Line","51°30′13″N","00°00′47″E","been"
"Sarakurayama Cable Car","33°50′48.2″N","130°47′42.7″E","todo"
"Téléphérique de la Citadelle de Namur","50.46188°N","4.86532°E","been"
"Roosevelt Island Tramway","40.7574°N","73.9541°W","been"
"Portland Aerial Tram","45.499306°N","122.672578°W","been"
"Teleférico de Caracas","10.5124°N","66.8867°W","todo"
"Masada Cableway","31°18′44.43″N","35°21′41.57″E","been"
