"name","latitude","longitude","been"
"Kaunas","54°53′50″N","23°53′10″E","todo"
"Harare","17°49′45″S","31°3′8″E","todo"
"Bloemfontein","29°07′S","26°13′E","todo"
"Reykjavík","64°08′48″N","21°56′24″W","been"
"Freetown","8°29′4″N","13°14′4″W","todo"
"St. John's","17°07′N","61°51′W","todo"
"Gondar","12°36′27″N","37°27′33″E","been"
"Nairobi","1°09′S","36°39′E","been"
"Salalah","17°01′11″N","54°05′23″E","todo"
"Phnom Penh","11.55°N","104.91667°E","todo"
"Dakar","14°41′34″N","17°26′48″W","been"
"Ouagadougou","12°22′07″N","01°31′39″W","been"
"Cotonou","6°22′N","2°26′E","been"
"Nassau","25°04′41″N","77°20′19″W","todo"
"Bonn","50°44′N","7°6′E","todo"
"Zagreb","45°48′47″N","15°58′39″E","been"
"Havana","23°08′12″N","82°21′32″W","todo"
"Yerevan","40°10′53″N","44°30′52″E","todo"
"Laayoune","27°9′13″N","13°12′12″W","todo"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Andorra la Vella","42°30′N","01°30′E","been"
"Luxembourg","49°36′42″N","6°7′55″E","been"
"Windhoek","22°34′12″S","17°5′1″E","todo"
"La Paz","16°29′45″S","68°08′00″W","todo"
"Comayagüela","14°06′21″N","87°12′17″W","todo"
"Putrajaya","02°55′48″N","101°41′24″E","todo"
"Tallinn","59°26′14″N","24°44′43″E","been"
"Kyiv","50.4°N","30.54°E","todo"
"Willemstad","12°7′N","68°56′W","todo"
"Madrid","40°25′01″N","03°42′12″W","been"
"Maseru","29.31°S","27.48°E","todo"
"Ulaanbaatar","47°55′13″N","106°55′02″E","todo"
"Nouméa","22.2758°S","166.458°E","been"
"Monaco","43°43′52″N","07°25′12″E","been"
"Kigali","1°56′38″S","30°3′34″E","been"
"Juba","4°51′N","31°36′E","todo"
"San Juan","18°24′23″N","66°3′50″W","todo"
"San Marino","43°56′4.56″N","12°26′50.28″E","been"
"Prague","50°05′15″N","14°25′17″E","been"
"Mbabane","26°19′S","31°08′E","todo"
"Asunción","25°18′S","57°38′W","todo"
"Lilongwe","13°59′S","33°47′E","todo"
"Hargeisa","9°33′47″N","44°4′3″E","todo"
"Sukhumi","43°00′N","41°01′E","todo"
"Moroni","11.699°S","43.256°E","todo"
"Praia","14.918°N","23.509°W","been"
"Papeete","17.535°S","149.5696°W","todo"
"Kampala","00°18′49″N","32°34′52″E","been"
"Vientiane","17.98°N","102.63°E","todo"
"Kingstown","13°09′28″N","061°13′30″W","todo"
"Tel Aviv","32°5′N","34°48′E","been"
"Asmara","15°19′22″N","38°55′30″E","todo"
"Porto-Novo","6°29′50″N","2°36′18″E","been"
"Almaty","43°14′24″N","76°54′54″E","todo"
"Tehran","35°41′46″N","51°25′23″E","todo"
"N'Djamena","12°06′36″N","15°03′00″E","todo"
"Saipan","15°11′N","145°45′E","todo"
"Bandar Seri Begawan","4.890278°N","114.942222°E","todo"
"Libreville","0°23′25″N","9°27′15″E","todo"
"Avarua","21°12′25″S","159°46′15″W","todo"
"Rio de Janeiro","22°54′40″S","43°12′20″W","todo"
"Yangon","16.795°N","96.160°E","todo"
"Sucre","19°02′51″S","65°15′36″W","todo"
"Yamoussoukro","06°48′58″N","05°16′27″W","todo"
"Saigon","10°46′32″N","106°42′07″E","todo"
"Tskhinvali","42°13′30″N","43°58′12″E","todo"
"Baku","40°23′43″N","49°52′56″E","todo"
"Gibraltar","36.14°N","5.35°W","todo"
"Mexico City","19°26′N","99°8′W","todo"
"Gustavia","17°53′52.47″N","62°51′2.0″W","todo"
"West Island","12°11′13″S","96°49′42″E","todo"
"Colombo","6°56′04″N","79°50′34″E","todo"
"Tifariti","26°9′29″N","10°34′1″W","todo"
"Quito","00°13′12″S","78°30′45″W","todo"
"Beirut","33°53′53″N","35°30′21″E","todo"
"Belize City","17°29′55″N","88°11′19″W","todo"
"Santiago","33°26′15″S","70°39′00″W","todo"
"Hamilton","32°17′39″N","64°46′55″W","todo"
"Valletta","35°53′54″N","14°30′45″E","todo"
"Cairo","30°2′40″N","31°14′9″E","been"
"São Tomé","0°20′10″N","6°43′50″E","todo"
"Panama City","8°59′N","79°31′W","been"
"Oranjestad","12.518611°N","70.035833°W","todo"
"Stepanakert","39°48′55″N","46°45′7″E","todo"
"Moscow","55°45′21″N","37°37′2″E","been"
"Yaoundé","3°52′N","11°31′E","todo"
"Vaduz","47.141°N","9.521°E","been"
"Vatican City","41°54.2′N","12°27.2′E","been"
"Den Haag","52°04′48″N","04°18′36″E","been"
"Lisbon","38°43′31″N","09°09′00″W","been"
"Roseau","15°18′05″N","61°23′18″W","todo"
"Tokyo","35°41′23″N","139°41′32″E","been"
"Flying Fish Cove","10°25′34″S","105°40′22″E","todo"
"Jerusalem","31°46′44″N","35°13′32″E","been"
"Brussels","50°50′48″N","04°21′09″E","been"
"Mariehamn","60°06′N","019°56′E","todo"
"George Town","19.3034°N","81.3863°W","todo"
"Apia","13°50′S","171°45′W","todo"
"Charlotte Amalie","18°21′N","64°57′W","todo"
"Djibouti","11°35′18″N","43°08′42″E","todo"
"Entebbe","00°03′00″N","32°27′36″E","been"
"Bucharest","44°25′57″N","26°6′14″E","todo"
"Sanaa","15°20′54″N","44°12′23″E","todo"
"Dublin","53°21′00″N","06°15′37″W","been"
"Port Louis","20°9′52″S","57°30′15″E","todo"
"South Tarawa","1°26′N","173°0′E","todo"
"Montevideo","34°53′1″S","56°10′55″W","todo"
"Bujumbura","3°23′S","29°22′E","todo"
"Stockholm","59°19′46″N","18°4′7″E","been"
"Chișinău","47°0′N","28°55′E","been"
"Guatemala City","14°39′1.40″N","90°29′25″W","todo"
"Nukuʻalofa","21°8′0″S","175°12′0″W","todo"
"St. Peter Port","49.4555°N","2.5368°W","todo"
"Luanda","8°50′18″S","13°14′04″E","todo"
"Kingston","17°58′17″N","76°47′35″W","todo"
"Nuuk","64°10′N","51°44′W","todo"
"Road Town","18°25′53″N","64°37′23″W","todo"
"Ottawa","45°25′29″N","75°41′42″W","todo"
"Skopje","41°59′46″N","21°25′54″E","been"
"Lagos","6.455027°N","3.384082°E","been"
"Nouakchott","18.08581°N","15.9785°W","todo"
"Monrovia","6°18′48″N","10°48′5″W","todo"
"Abuja","9°4′N","7°29′E","todo"
"Antananarivo","18°54′36″S","47°31′30″E","todo"
"Bridgetown","13.106°N","59.632°W","todo"
"Baghdad","33°18′55″N","44°21′58″E","todo"
"Mata Utu","13°17′S","176°11′W","todo"
"Vilnius","54°41′14″N","25°16′48″E","todo"
"Port Vila","17°44′S","168°19′E","been"
"Ngerulmud","7°30′2″N","134°37′27″E","todo"
"Tirana","41°19′44″N","19°49′04″E","todo"
"Mogadishu","02°02′21″N","45°20′31″E","todo"
"Bissau","11°51′N","15°34′W","todo"
"Kinshasa","04°19′19″S","15°18′43″E","todo"
"The Valley","18°13′15″N","63°03′06″W","todo"
"Palikir","6°55′2″N","158°9′32″E","todo"
"Santo Domingo","18°28′N","69°57′W","todo"
"Conakry","09°30′33″N","13°42′44″W","todo"
"Lomé","6°7′55″N","1°13′22″E","been"
