"name","latitude","longitude","been"
"Château des Milandes","44°49′25″N","1°06′48″E","been"
"Palau Güell","41°22′44″N","2°10′27″E","been"
"Palau Nacional","41°22′06″N","2°09′12″E","been"
"Vianden Castle","49°56′06″N","6°12′08″E","been"
"Schloß Weilerbach","49.8342","6.39056","been"
"Windsor Castle","51°29′0″N","00°36′15″W","been"
"Château des Anglais","44.5864°N","1.831°E","been"
"Spišský Hrad","49.000555555556","20.768333333333","been"
"Alnwick Castle","55.4158°N","1.7062°W","been"
"Château du Bousquet","44.4562°N","1.5093°E","been"
"Burgruine Klamm","47.66001°N","15.86754°E","been"
"Avignon","43°57′00″N","04°48′27″E","been"
"Kazan Kremlin","55°48′00″N","49°06′20″E","been"
"Catherine Palace","59°42′58″N","30°23′44″E","been"
"Saint-Cirq-Lapopie","44.4653°N","1.6706°E","been"
"Castelo de São Jorge","38°42′50″N","9°08′01″W","been"
"Palais Auersperg","48°12′31″N","16°21′15″E","been"
"Buda Castle","47°29′46″N","19°02′23″E","todo"
"Palais Royal de Bruxelles","50.8419°N","4.3624°E","been"
"Oheka Castle","40°49′44″N","73°26′54″W","todo"
"Château de Laroque","44°58′10″N","2°11′20″E","been"
"Devínsky Hrad","48°10′25″N","16°58′42″E","been"
"Lambert Castle","40°54′0″N","74°10′22″W","been"
"Vilnius Castle","54.687°N","25.290°E","todo"
"Château de Crabillé","44.5645°N","1.2857°E","been"
"Château de Larroque-Toirac","44°31′17″N","1°56′23″E","been"
"Château de Beynac","44°50′26″N","1°08′48″E","been"
"Château de Fénelon","44°50′32″N","1°21′01″E","been"
"Sternberg Palace","50.078831°N","14.430797°E","todo"
"Château de Fayrac","44.81593°N","1.148382°E","been"
"Ljubljana Castle","46°02′56″N","14°30′30″E","been"
"Château de Saint-Ilpize","45°11′40″N","3°23′18″E","been"
"Convento de Santa Clara","32.650525","-16.913103","been"
"Château de Conros","44°52′46″N","2°25′15″E","been"
"Château des Junies","44°32′21″N","1°14′10″E","been"
"Belvedere Castle","48.191439°N","16.380787°E","been"
"Casa Loma","43.6781°N","79.4095°W","todo"
"Château de Campagnac","44.92397222°N","1.18975°E","been"
"Schloß Gloggnitz","47.673519444444445","15.929280555555556","been"
"Guaita","43.9354°N","12.4496°E","been"
"Château de Saint-Geniès","44.99425°N","1.250667°E","been"
"Newark Castle","53.076298°N","0.813549°W","todo"
"Château de Caillac","44°54′46″N","2°31′36″E","been"
"Château de Sceaux","48°46′28″N","2°18′00″E","been"
"Hiroshima Castle","34°24′10″N","132°27′33″E","been"
"Hamrštejn","50.786°N","14.970°E","todo"
"Hearst Castle","35°41′07″N","121°10′04″W","todo"
"Litomišl Castle","49°52′25″N","16°18′52″E","been"
"Dundurn Castle","43.269481°N","79.884649°W","been"
"Sultan’s Palace","6.1599°S","39.1905°E","todo"
"Château de Commarque","44°56′30″N","1°6′7″E","been"
"Moritzburg Castle","51°10′3.26″N","13°40′46.60″E","todo"
"Provins","48.5604°N","3.299°E","been"
"Château de Lacoste","43°49′57″N","5°16′19″E","been"
"Kasteel ter Elst","51°5′23″N","4°29′54.2″E","todo"
"Château Lagrézette","44.4878°N","1.3639°E","been"
"Château de Domeyrat","45°15′5″N","3°30′5″E","been"
"Château d’Anterroches","45°6′22″N","2°51′8″E","been"
"Burg Wartenstein","47°39′1.91″N","15°55′8.76″E","been"
"Château de Beusdael","50.751025","5.9107527777778","been"
"Schloß Romrod","50.713347222222","9.2194194444444","been"
"Château de Laeken","50°53′11″N","4°21′35″E","been"
"Beaufort Castle","49°50′02″N","6°17′08″E","todo"
"Berlin Palace","52°31′03″N","13°24′10″E","been"
"Château de Puy-Launay","44°39′59″N","2°06′55″E","been"
"Schönbrunn Palace","48.184516°N","16.311865°E","been"
"Ōzu Castle","33.509539°N","132.541131°E","todo"
"Burg Rabenstein","47°14′47.18″N","15°18′33.04″E","been"
"Château de Vixouze","44.940556°N","2.593611°E","been"
"Palácio Nacional de Sintra","38°47′52″N","9°23′27″W","been"
"Château de Montbrun","45°38′10″N","0°53′53″E","been"
"Palais Schwarzenberg","48°11′49″N","16°22′36″E","been"
"Château de Castelnaud","44°48′57″N","1°08′56″E","been"
"Château de Namur","50.4579514°N","4.8587311°E","been"
"Château de Polignac","45°4′9″N","3°51′37″E","been"
"Alnwick Hall","40°46′51″N","74°27′03″W","been"
"Heidelberger Schloß","49.410555555556","8.7158333333333","todo"
"Palácio de Pena","38°47′16″N","9°23′26″W","todo"
"Leopoldsberg","48°16′44″N","16°20′43″E","been"
"Château de Chavaniac-Lafayette","45.157222°N","3.579167°E","been"
"Château de Bouzols","45.00054","3.93503","todo"
"Château de Saint-Sulpice","44.5700°N","1.7876°E","been"
"Château de Caïx","44°29′26″N","1°18′20″E","been"
"Castelo dos Moros","38°47′33″N","9°23′22″W","been"
"Gerulata","48°03′22″N","17°08′59″E","been"
"Schloß Nieverweiden","48.19788°N","16.90096°E","been"
"Karlsruhe Palace","49.014°N","8.404°E","todo"
"Mont-Saint-Michel","48.636°N","1.511°W","been"
"Château de Luzech","44°28′45″N","1°17′16″E","been"
"Château de Fargues","44°48′56″N","2°19′5″E","been"
"Pražský Hrad","50°05.385′N","14°23.904′E","been"
"Tour de Montpeyroux","45.6236°N","3.205°E","been"
"Château de Salignac","44°58′29.5″N","1°19′36″E","been"
"Château de Cénevières","44.4628°N","1.7537°E","been"
"Augustusburg Palace","50°49′39″N","6°54′29″E","todo"
"Caernarfon Castle","53.1393°N","4.2769°W","been"
"Himeji Castle","34°50′22″N","134°41′38″E","been"
"Château de Larnagol","44.4759°N","1.7780°E","been"
"Château de Fourchambault","47.0194444444°N","3.08555555556°E","been"
"Český Krumlov","48°48′40″N","14°18′55″E","been"
"Château Panassau","45.042585°N","0.60804°W","been"
"Průhonice Castle","50°0′6″N","14°33′37″E","been"
"Château du Sailhant","45.069126°N","3.04175°E","been"
"Château de Montrond","45.6438888889°N","4.23138888889°E","been"
"Muhlburg","49°00′51.23″N","08°21′9.29″E","been"
"Château de Val Duchesse","50°49′12.87″N","4°26′1.44″E","todo"
"Bratislavský Hrad","48°08′32″N","17°06′00″E","been"
"Château de Carbonat","44.9089°N","2.4877°E","been"
"Schloß Hof","48.21387°N","16.937°E","been"
"Château de Paluel","44.877556","1.286989","been"
"Kaunas Castle","54°53′56″N","23°53′06″E","todo"
"Château de Dourdan","48°31′48″N","2°0′39″E","been"
"Moscow Kremlin","55°45′6″N","37°37′4″E","been"
"Iviswold Castle","40°49′51″N","74°6′43″W","been"
"Château de Puymartin","44°54′38″N","1°8′33″E","been"
"Palais Augarten","48°13′20″N","16°22′46″E","been"
"Château de Condat","44.4822°N","1.6530°E","been"
"Tower of London","51°30′29″N","00°04′34″W","been"
"Winter Palace","59.9404°N","30.3139°E","been"
"Wachsenburg","50.8583°N","10.8764°E","been"
"Schloßberg","47°04′34″N","15°26′14″E","been"
"Château de Cabrerets","44.5042°N","1.654°E","been"
"Falkenlust Palace","50°49′39″N","6°54′29″E","todo"
"Dracula’s Castle","45°30′54″N","25°22′02″E","been"
"Talinn","59°26′14″N","24°44′43″E","been"
"Olana","42°13′04″N","73°49′46″W","todo"
"Schloß Eggenberg","47.07389°N","15.39129°E","been"
"Château de Monceau","46.339167°N","4.7425°E","todo"
"Burg Kreuzenstein","48.3791666667°N","16.3088888889°E","been"
"Špilberk","49°11′39.44″N","16°35′56.09″E","been"
"Château de Versailles","48°48′17.26″N","2°07′13.34″E","been"
"Château de Laussel","44.9447222222°N","1.13472222222°E","been"
"Château de Pesteils","44°57′12″N","2°34′31″E","been"
"Grazer Burg","47°04′20.68″N","15°26′32.92″E","been"
