"name","latitude","longitude","been"
"Strasbourg","48°34′54″N","7°45′03″E","been"
"Avignon","43°57′06″N","4°48′27″E","been"
"Washington National Cathedral","38°55′50″N","77°4′15″W","been"
"Trnava","48.3806°N","17.5883°E","been"
"Cologne","50°56′29″N","06°57′30″E","been"
"Sheffield","53.383°N","1.4694°W","been"
"Laon","49.5643°N","3.625°E","been"
"Vienna","48.2085°N","16.373°E","been"
"Winchester","51°3′38″N","1°18′47″W","been"
"Amiens","49°53′42″N","2°18′08″E","been"
"Ghent","51.0530°N","3.727°E","been"
"Marseille","43°17′59″N","5°21′54″E","todo"
"Liège","50.6403°N","5.5718°E","todo"
"Saint Albans","51.750556°N","0.342222°W","been"
"Nice","43°41′50″N","7°16′33″E","been"
"Dresden","51°03′13″N","13°44′15″E","been"
"Mexico City","19.4343942°N","99.1330824°W","todo"
"Antwerp","51°13′14″N","4°24′02″E","been"
"Bratislava","48°08′31.7″N","17°06′17.2″E","been"
"Grace Cathedral","37°47′30″N","122°24′47″W","been"
"Brno","49°11′27.6″N","16°36′25.2″E","been"
"Lincoln","53°14′04″N","0°32′10″W","been"
"Lagos","6.4499°N","3.3966°E","been"
"Albi","43.928492°N","2.142945°E","been"
"Saint Denis","48°56′08″N","2°21′35″E","been"
"Milan","45°27′51″N","9°11′29″E","todo"
"Dar es Salaam","6°49′10″S","39°17′17″E","todo"
"Saint Peter’s, Rome","41°54′08″N","12°27′12″E","been"
"Brussels","50°50′52″N","4°21′37″E","been"
"Edinburgh","55°56′55″N","3°12′58″W","been"
"Saint Vitus, Prague","50°05′27″N","14°24′02″E","been"
"Clermont Ferrand","45.778727°N","3.085766°E","been"
"Saint Theresa, Juba","4.8273°N","31.6003°E","todo"
"Beauvais","49.4326°N","2.0814°E","todo"
"Le Mans","48°0′33″N","0°11′56″E","been"
"Macau","22°11′37″N","113°32′30″E","been"
"Helsinki","60°10′13″N","024°57′08″E","todo"
"Zaragoza","41°39′25″N","0°52′42″W","todo"
"Carcassonne","43°12′39″N","2°21′4″E","been"
"Yamoussoukro","6°48′40″N","5°17′49″W","todo"
"Manila","14.59147°N","120.97356°E","todo"
"Westminster Abbey","51°29′58″N","00°07′39″W","been"
"Canterbury","51.2797°N","1.0831°E","been"
"Brasília","15°47′54″S","47°52′32″W","todo"
"Durham","54°46′25″N","1°34′34″W","been"
"Reims","49°15′14″N","4°2′3″E","been"
"Sagrada Família","41.40369°N","2.17433°E","been"
"Barcelona","41°23′02″N","2°10′35″E","been"
"Trier","49°45′22″N","6°38′35″E","been"
"Montpellier","43°36′48″N","3°52′27″E","been"
"Saint Basil’s","55°45′9″N","37°37′23″E","been"
"Leicester","52.634644°N","1.137086°W","been"
"Ouagadougou","12.361979°N","1.526989°W","been"
"Leuven","50.8795°N","4.7013°E","been"
"Liverpool","53°23′51″N","2°58′23″W","todo"
"Chartres","48°26′50″N","1°29′16″E","been"
"Saint Paul, Pittsburgh","40°26′50.63″N","79°56′59.42″W","been"
"Hagia Sophia","41°00′30″N","28°58′48″E","been"
"Seville","37.3857421596313","-5.9930955622969","todo"
"Amsterdam","52°22′35.3″N","4°54′4.1″E","been"
"Peterborough","52.5725°N","0.238889°W","been"
"Le Puy-en-Velay","45°2′44″N","3°53′5″E","been"
"York Minster","53°57′43″N","1°4′55″W","todo"
"Orleans","47.9025°N","1.909°E","todo"
"Vaduz Cathedral","47.1362°N","9.5227°E","todo"
"Sacré Cœur","48.88665°N","2.34295°E","been"
"Saint Flour","45.03344°N","3.0951°E","been"
"Namur","50.464569","4.860006","been"
"Saint Sava, Belgrade","44°47′53″N","20°28′6.74″E","been"
"Notre Dame","48.853°N","2.3498°E","been"
"Saint Francis, Santa Fe","35°41′11.4″N","105°56′10.68″W","been"
"Coventry","52.408333°N","1.506944°W","todo"
"Saint Isaac’s, Saint Petersburg","59.9341°N","30.3062°E","been"
"Almudena","40.415586°N","3.714558°W","been"
"Odesa","46°28′59.44″N","30°43′51.75″E","todo"
"Saint Patrick’s, New York","40°45′31″N","73°58′35″W","been"
"Nagasaki","32.734106°N","129.870236°E","todo"
"Monaco","43.730214°N","7.422664°E","been"
"Caen","49°11′3″N","0°21′39″W","been"
"Saint Paul’s, London","51.5138°N","0.0983°W","been"
"Aachen","50°46′29.1″N","6°5′2.12″E","been"
"Graz","47°04′19.2″N","15°26′31.92″E","been"
"Berliner Dom","52°31′9″N","13°24′4″E","been"
"Southwark","51°30′22″N","0°5′23″W","been"
"Hallgrímskirkja","64.1417°N","21.9266°W","been"
"Florence","43°46′23″N","11°15′25″E","todo"
"Lyon","45°45′38″N","4°49′39″E","been"
"Bourges","47°04′55″N","2°23′58″E","been"
