"name","latitude","longitude","been"
"6th of October City","30.0","31.0","todo"
"Al Kufra","22.0","25.0","todo"
"Alma","42.0","-78.0","todo"
"Andělka","51.0","15.0","been"
"Arnstein","50.0","10.0","been"
"Ashburn","44.0","-79.0","todo"
"Austur-Skaftafellssýsla","64.0","-17.0","todo"
"Barkway","52.0","0.0","todo"
"Benschop, Utrecht","52.0","5.0","todo"
"Bergen","41.0","-74.0","been"
"Be’er Menuha","30.0","35.0","todo"
"Bièvre","50.0","5.0","been"
"Blackstone","37.0","-78.0","todo"
"Blairstown","41.0","-75.0","been"
"Blankenbach","51.0","10.0","been"
"Bolderāja","57.0","24.0","todo"
"Brar","16.0","-16.0","todo"
"Brownville","44.0","-76.0","todo"
"Bubuieci, Chişinău","47.0","29.0","todo"
"Buckingham","52.0","-1.0","todo"
"Buffalo, NE","41.0","-100.0","todo"
"Butamwa, Kigali","-2.0","30.0","todo"
"Cadafais, Lisboa","39.0","-9.0","todo"
"Calais","51.0","2.0","todo"
"Calgary","51.0","-114.0","todo"
"Canal de São Vicente","17.0","-25.0","todo"
"Cape Charles","37.0","-76.0","been"
"Cape May","39.0","-75.0","been"
"Cattaraugus","42.0","-79.0","todo"
"Centreville","39.0","-76.0","todo"
"Champlain","38.0","-77.0","todo"
"Charbonnières-les-Vieilles","46.0","3.0","todo"
"Cologne","51.0","7.0","been"
"Concord","38.0","-122.0","todo"
"Corçà","42.0","3.0","todo"
"Dalmuir","54.0","-113.0","todo"
"Dendermonde","51.0","4.0","been"
"Derby Line","45.0","-72.0","todo"
"Dimona","31.0","35.0","todo"
"Drums","41.0","-76.0","been"
"East Berlin","40.0","-77.0","been"
"Elk Grove Village","42.0","-88.0","todo"
"Elkhart","37.0","-102.0","todo"
"Enscherange","50.0","6.0","been"
"Erfurt","51.0","11.0","todo"
"Española","36.0","-106.0","todo"
"Espiritu Santo","-15.0","167.0","todo"
"Exeter","43.0","-71.0","been"
"Fletching","51.0","0.0","todo"
"Fleurac","45.0","1.0","todo"
"Four Corners","60.0","-102.0","todo"
"Franklin","45.0","-73.0","todo"
"Fredericktown","40.0","-80.0","todo"
"Froxfield","51.0","-1.0","todo"
"Fryeburg","44.0","-71.0","todo"
"Fūka, Matrūh","31.0","28.0","todo"
"Galway","43.0","-74.0","todo"
"Gangelt","51.0","6.0","been"
"Gap","40.0","-76.0","been"
"Gattendorf","48.0","17.0","been"
"Gemünden","51.0","9.0","been"
"Golden Beach","26.0","-80.0","been"
"Gortipohl","47.0","10.0","todo"
"Grafton","44.0","-72.0","todo"
"Grand Island","43.0","-79.0","been"
"Greenwich Observatory","51°28′40.1″N","0°0′5.3″W","been"
"Hacienda Heights","34.0","-118.0","todo"
"Hancock","43.0","-72.0","todo"
"Helsinki","60.0","25.0","todo"
"Hershey, NE","41.0","-100.0","todo"
"Hoquiam","47.0","-124.0","been"
"Hvaleyri, Hafnarfjörður","64.0","-22.0","todo"
"Isles-les-Meldeuses","49.0","3.0","todo"
"Jaskonys","54.0","24.0","todo"
"Josefsthal","49.0","15.0","been"
"Jupiter","27.0","-80.0","been"
"Kaolack","14.0","-16.0","been"
"Kasese","0.0","30.0","been"
"Kazliški","56.0","27.0","todo"
"Keta Lagoon","6.0","1.0","todo"
"Kirkjubæjarklaustur","64.0","-18.0","todo"
"Kouřim","50.0","15.0","been"
"Kraków","50.0","20.0","todo"
"Kreuztal","51.0","8.0","been"
"Kreuztal-Littfeld","51.0","8.0","todo"
"Kröv-Bausendorf","50.0","7.0","been"
"Kuldīga","57.0","22.0","todo"
"Langezwaag, Friesland","53.0","6.0","todo"
"Lantriac","45.0","4.0","been"
"Lapalme","43.0","3.0","todo"
"Lawrenceville","42.0","-77.0","been"
"Le Roy","43.0","-78.0","been"
"Les Ternes","45.0","3.0","todo"
"Lewisburg","41.0","-77.0","been"
"Lincoln","44.0","-73.0","todo"
