"name","latitude","longitude","been"
"Oriental Sports Center","31°9′19.22″N","121°28′32.84″E","todo"
"Siam","13°44′44.23″N","100°32′3.22″E","todo"
"Euston","51.5284°N","0.1331°W","been"
"T-Centralen","59°19′54″N","18°03′39″E","todo"
"Mehringdamm","52°29′40″N","13°23′19″E","been"
"Presidente Altino","23.53125°S","46.76175°W","todo"
"Shinjuku","35°41′22″N","139°42′02″E","been"
"Van der Madeweg","52°19′47″N","4°55′49″E","todo"
"Highbury and Islington","51.5458°N","0.105°W","been"
"Plaza Miserere","34°36′35.7″S","58°24′26.2″W","todo"
"Geumjeong","37°22′21″N","126°56′36″E","todo"
"Gare de Bruxelles-Midi","50°50′6.58″N","4°20′6.8″E","been"
"Prince Edward","22.3245°N","114.1683°E","todo"
"Gimpo Airport","37°33′45″N","126°48′3″E","todo"
"Nanluoguxiang","39.933848°N","116.404192°E","todo"
"Wittenbergplatz","52°30′07″N","13°20′35″E","been"
"Akasaka-Mitsuke","35.676821°N","139.737119°E","todo"
"Bayfront","01°16′57″N","103°51′34″E","todo"
"Fullerton","41.925051°N","87.652866°W","been"
"Toronto Union Station","43°38′43″N","79°22′50″W","been"
"Beaux-Arts","48.85680555555555","2.333277777777778","been"
"Wilson","41.965285°N","87.657965°W","been"
"Slussen","59°19′9″N","18°4′19″E","todo"
"Beijing West","39.894914°N","116.322062°E","todo"
"Eram-e Sabz","35.7176°N","51.302°E","todo"
"Omotesandō","35°39′54.5328″N","139°42′45.0756″E","been"
"Casa de Campo","40.42291°N","3.75595°W","been"
"Guting","25.0266°N","121.5228°E","todo"
"Spring Garden","39.9621°N","75.1615°W","been"
"Amagasaki","34°43′7.18″N","135°25′2.31″E","todo"
"Baker Street","51.522°N","0.157°W","been"
"Kuntsevskaya","55.7307°N","37.4459°E","todo"
"Hammersmith","51.4927°N","0.2244°W","been"
"Mong Kok","22.3191°N","114.1694°E","todo"
"DeKalb Avenue","40.690254°N","73.982277°W","been"
"Finsbury Park","51.564653°N","0.106366°W","been"
"Chatswood","33.797324°S","151.180887°E","todo"
"Nizhegorodskaya","55.7325°N","37.728611°E","todo"
"Hongqiao Airport Terminal 2","31.193926°N","121.326508°E","todo"
"Beekkant","50°51′13″N","4°19′22″E","been"
"Turnham Green","51.49527°N","0.255°W","been"
"Lexington Avenue–63rd Street","40.764649°N","73.966398°W","been"
"Stockwell","51.4725°N","0.122°W","been"
"Ipswich","27.613°S","152.7603°E","todo"
"Kenmore","42°20′56.13″N","71°5′44.19″W","been"
"Acton Town","51°30′10″N","0°16′48″W","been"
"Howard","42.019161°N","87.673093°W","been"
"Seventh Avenue","40.762959°N","73.981891°W","been"
"Yancun East","39.729028°N","116.100817°E","todo"
"Tretyakovskaya","55.7412°N","37.6274°E","todo"
"Finchley Road","51.5472°N","0.18027°W","been"
"Bornholmer Straße","52°33′16″N","13°23′53″E","been"
"MacArthur","37.8291°N","122.2671°W","been"
"Louis Blanc","48.881137°N","2.364839°E","been"
"Raffles Place","1°17′2″N","103°51′5″E","todo"
"Daikokuchō","34°39′21.86″N","135°29′52.09″E","todo"
"Putra Heights","2°59′45.8″N","101°34′32.0″E","todo"
"Anand Vihar","28°39′2.79″N","77°18′54.86″E","todo"
"Hongqiao Railway","31.193987°N","121.31891°E","todo"
"Park Pobedy","55.7362°N","37.5182°E","todo"
"National Library","39.943114°N","116.32519°E","todo"
"Admiralty station","22.2788°N","114.1646°E","todo"
"Tsuruhashi","34°39′55.25″N","135°31′52.67″E","todo"
"Queensboro Plaza","40°45′2.35″N","73°56′25.24″W","been"
"Shirokane-Takanawa","35°38′35.46″N","139°44′2.86″E","todo"
"Snowdon","45°29′08″N","73°37′41″W","been"
"Barons Court","51°29′26″N","0°12′49″W","been"
"Guogongzhuang","39.814322°N","116.301889°E","todo"
"Baixa-Chiado","38°42′38″N","9°8′24″W","been"
"Newmarket Station","36.869626°S","174.778882°E","todo"
"Olney Transportation Center","40.0389°N","75.1447°W","been"
"Stratford","51.5422°N","0.0033°W","been"
"Kashirskaya","55.6551°N","37.6487°E","todo"
"Puerta de Arganda","40.4013157°N","3.5959768°W","todo"
"Chiang Kai-shek Memorial Hall","25.0327°N","121.5183°E","todo"
"Längenfeldgasse","48.1845°N","16.3344°E","been"
"Kwasa Damansara","3°10′35.3″N","101°34′21.2″E","todo"
"Elmers End","51°23′52.0″N","0°2′59.6″W","been"
"Erie","40.0093°N","75.1512°W","been"
"Príncipe Pío","40.424°N","3.718°W","been"
"Brás","23.545833°S","46.616389°W","todo"
"Kudanshita","35.6954°N","139.7514°E","todo"
"Gamla Stan","59°19′22″N","18°4′3″E","todo"
"Jurong East","1.333415°N","103.742119°E","todo"
"Prospect Park","40.661507°N","73.962461°W","been"
"Ochanomizu","35°41′59″N","139°45′50″E","todo"
"Amsterdam Zuid","52°20′20″N","4°52′23″E","been"
"Wembley Park","51.5636°N","0.2794°W","been"
"Basarab station","44.45073°N","26.06944°E","todo"
"Misasagi","34°59′46.04″N","135°48′5.84″E","todo"
"Lai King","22.3484°N","114.1261°E","todo"
"Moskovskaya","56°19′17″N","43°56′43″E","todo"
"Tun Razak Exchange","3°8′32.65″N","101°43′12.56″E","todo"
"New Territories","22.41°N","114.125°E","todo"
"Bensheimer Straße","49°28′52″N","8°26′07″E","todo"
"Central Secretariat","28.615","77.20583333","todo"
"Chan Sow Lin","3°7′40″N","101°42′55″E","todo"
"Girard","39.9715°N","75.1594°W","been"
"Amstel","52°20′47″N","4°55′4″E","been"
"Berlin East","52°30′36″N","13°26′05″E","been"
"Paraíso","23.574903°S","46.640595°W","todo"
"Cadorna FN","45°28′05″N","9°10′36″E","todo"
"Hoyt–Schermerhorn","40°41′20.48″N","73°59′10.11″W","been"
"Sportivnaya","59.952083°N","30.290611°E","todo"
"Nollendorfplatz","52°29′57″N","13°21′14″E","been"
"Kitay-Gorod","55.7553°N","37.6333°E","been"
"Perrache","45.7483°N","4.825605°E","been"
"Osasco","23.536111°S","46.634722°W","todo"
"Gare du Nord","48°52′52″N","02°21′19″E","been"
"12th Street Oakland","37.803608°N","122.272006°W","been"
"Zhuxinzhuang","40.104297°N","116.313698°E","todo"
"19th Street Oakland","37.807869°N","122.26898°W","been"
"Campo Grande","38°45′37″N","9°09′28″W","been"
"Châtelet-Les Halles","48.8615°N","2.3465°E","been"
"Ximen","25.0422°N","121.5083°E","todo"
"City Hall","01°17′36″N","103°51′08″E","todo"
"Petrovsko-Razumovskaya","55.8351°N","37.5745°E","todo"
"Tai Wai","22.3731°N","114.1786°E","todo"
"Wuhletal","52.5126","13.5752","been"
"Vicuña Mackenna","33°31′10.83″S","70°35′46.20″W","todo"
