"name","latitude","longitude","been"
"Rotterdam","51.92°N","4.48°E","been"
"Nova Gorica","45°57′21″N","13°38′36″E","todo"
"Santiago de Compostela","39.5°N","3.7°W","todo"
"Mons","50.45472222222222","3.9525","been"
"Liepāja","56°30′42″N","21°00′50″E","todo"
"Istanbul","41°00′49″N","28°57′18″E","been"
"Lille","50.6278°N","3.0583°E","been"
"Genoa","44°24′40″N","8°55′58″E","been"
"Guimarães","41°27′N","8°18′W","todo"
"Cork","51°53′50″N","8°28′12″W","todo"
"Stavanger","58°58′12″N","05°43′53″E","todo"
"Weimar","50°58′52″N","11°19′46″E","todo"
"Riga","56°56′56″N","24°6′23″E","been"
"Linz","48°18′21″N","14°17′11″E","todo"
"Évora","38°34′N","07°54′W","todo"
"Galway","53°16′19″N","9°2′56″W","todo"
"Sibiu","45.792784°N","24.152069°E","been"
"Oulu","65°00′51″N","25°28′19″E","todo"
"Maribor","46°33′27″N","15°38′44″E","todo"
"Tallinn","59°26′14″N","24°44′43″E","been"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Plovdiv","42°9′N","24°45′E","been"
"Madrid","40°25′01″N","03°42′12″W","been"
"Århus","56.1572°N","10.2107°E","been"
"Athens","37°59′03″N","23°43′41″E","todo"
"Antwerp","51°13′04″N","04°24′01″E","been"
"Marseille","43.2964°N","5.37°E","todo"
"Thessaloniki","40.640277777777776","22.935555555555556","been"
"Stockholm","59°19′46″N","18°4′7″E","been"
"Dublin","53°21′00″N","06°15′37″W","been"
"Chemnitz","50°50′N","12°55′E","todo"
"Kaunas","54°53′50″N","23°53′10″E","todo"
"Pécs","46°04′15″N","18°13′59″E","todo"
"Rijeka","45°19′38″N","14°26′28″E","todo"
"Luxembourg","49°36′42″N","6°7′55″E","been"
"Trenčín","48°53′31″N","18°02′12″E","been"
"Timișoara","45°45′35″N","21°13′48″E","been"
"Novi Sad","45°15′15″N","19°50′33″E","been"
"Liverpool","53°24′0″N","2°59′0″W","been"
"Turku","60°27′N","022°16′E","todo"
"Porto","39.3°N","8°W","been"
"Bruges","51°12′32″N","03°13′27″E","been"
"Salamanca","39.5°N","3.7°W","todo"
"Lisbon","38°43′31″N","09°09′00″W","been"
"San Sebastián","43°19′17″N","1°59′8″W","todo"
"Graz","47°04′15″N","15°26′19″E","been"
"Matera","40°40′N","16°36′E","todo"
"Plzeň","49°44′51″N","13°22′39″E","todo"
"Copenhagen","55°40′34″N","12°34′06″E","todo"
"Bologna","44°29′38″N","11°20′34″E","been"
"Vilnius","54°41′14″N","25°16′48″E","todo"
"Berlin","52°30′00″N","13°16′48″E","been"
"Reykjavík","64°08′48″N","21°56′24″W","been"
"Košice","48°43′N","21°15′E","been"
"Prague","50°05′15″N","14°25′17″E","been"
"Umeå","63°49′30″N","20°15′50″E","todo"
"Brussels","50°50′48″N","04°21′09″E","been"
"Paphos","34°46′N","32°25′E","todo"
"Patras","38°15′N","21°44′E","todo"
"Bergen","60°23′22″N","5°19′48″E","been"
"Bad Ischl","47°43′13″N","13°38′0″E","todo"
"Esch-sur-Alzette","49.496944444444","5.9805555555556","todo"
"Glasgow","55°51′40″N","04°15′00″W","been"
"Eleusis","38°2′N","23°32′E","todo"
"Kraków","50°03′41″N","19°56′14″E","todo"
"Veszprém","47.09296°N","17.91377°E","todo"
"Helsinki","60°10′15″N","24°56′15″E","been"
"Valletta","35°53′54″N","14°30′45″E","todo"
"Wrocław","51°06′36″N","17°01′57″E","todo"
"Bodø","67.2827°N","14.3751°E","todo"
"Tartu","58°23′N","26°43′E","todo"
"Avignon","43°57′00″N","04°48′27″E","been"
"Florence","43°46′17″N","11°15′15″E","todo"
"Essen","51°27′3″N","7°0′47″E","todo"
"Leeuwarden","53°12′N","5°47′E","todo"
"Paris","48.85666666666667","2.352222222222222","been"
