"name","latitude","longitude","been"
"Loyola","42.001076°N","87.660974°W","been"
"Place d’Italie","48.831483°N","2.355692°E","been"
"Fontenay-aux-Roses","48.78932°N","2.28877°E","been"
"Astor Place","40°43′47″N","73°59′30″W","been"
"Mansion House","51.5122°N","0.0941°W","been"
"Elmhurst Avenue","40.741795°N","73.88104°W","been"
"Saint-Georges ","48.8784492150952°N","2.3373815417289734°E","been"
"Farringdon","51°31′14″N","00°06′18″W","been"
"South Ferry","40.702472","-74.012833","been"
"City Hall","40.7126°N","74.0067°W","been"
"Sheepshead Bay","40.587168°N","73.953266°W","been"
"Dyckman Street","40°51′50.42″N","73°55′34.58″W","been"
"Bastille","48.85333°N","2.36917°E","been"
"5th Avenue","40.774078","-73.965863","been"
"Charles de Gaulle–Étoile","48°52′26″N","2°17′42″E","been"
"Chicago/Franklin","41.896467°N","87.635833°W","been"
"14th Street–Union Square","40°44′05″N","73°59′25″W","been"
"Metropolitan Avenue/Lorimer Street","40.7041","-73.9479","been"
"Michelbeuren","48°13′15.4″N","16°20′38.2″E","been"
"Sheridan","41.953883°N","87.655269°W","been"
"Lo Wu","22.5283°N","114.1134°E","todo"
"Cité Universitaire","48.8789°N","2.4097°E","been"
"Ternes","48.878178°N","2.298671°E","been"
"High Street","40°41′56″N","73°59′23″W","been"
"Bushwick Avenue—Aberdeen Street","40.682851°N","73.905158°W","been"
"Bourg-la-Reine","48.7796°N","2.3151°E","been"
"Parkside Ave","40.65535°N","73.961651°W","been"
"Paddington","51.5186°N","0.1785°W","been"
"Waterloo","51.5025°N","0.113°W","been"
"Embankment","51.507°N","0.122°W","been"
"Gambetta","48.864961785905024°N","2.398982495069504°E","been"
"Gumpendorfer Straße","48.1909","16.3375","been"
"Grand Street","40.711906°N","73.940735°W","been"
"Gare de l’Est","48.876726660988105°N","2.358129769563675°E","been"
"Cité","48°51′20.3396″N","2°20′44.6712″E","been"
"Central Park North–110th Street","40.798749°N","73.952275°W","been"
"West Farms Square–East Tremont Avenue","40.84°N","73.88°W","been"
"Piccadilly Circus","51.5101°N","0.134°W","been"
"Wood Lane","51°30′35.27″N","0°13′27″W","been"
"8th Avenue","40°38′4.41″N","74°0′38.5″W","been"
"Kew Gardens–Union Turnpike","40.714151°N","73.830786°W","been"
"Bank","51.513°N","0.088°W","been"
"Nation","48.8484657505532°N","2.39590574456544°E","been"
"Beverly Road","40.644625°N","73.964472°W","been"
"Times Square–42nd Street","40°45′21.6″N","73°59′13.2″W","been"
"Fort Hamilton Parkway","40°39′5.24″N","73°58′33.08″W","been"
"Place des Fêtes","48.87684°N","2.39296°E","been"
"University","22.4134°N","114.2102°E","todo"
