"name","latitude","longitude","been"
"Vozrozhdeniya Island","45°09′N","59°19′E","todo"
"Migingo Island","0°52′58″S","33°56′17″E","todo"
"Doumeira","12°42′40″N","43°8′0″E","todo"
"Snake Island","45.255","30.204166666667","todo"
"Noktundo","42.333333333333336","130.68333333333334","todo"
"Saudi / Emirates","22.697217592593","55.215277777778","todo"
"Golan Heights","33°00′N","35°45′E","been"
"Bhutan","27°28.0′N","89°38.5′E","todo"
"South Kuril Islands","44°6′N","146°42′E","todo"
"Aksai Chin","35.0°N","79.0°E","todo"
"Greater and Lesser Tunbs","26°15′N","55°16′E","todo"
"Ntem River","2°21′0″N","9°49′0″E","todo"
"Bukit Jeli","6°28′30″N","99°39′12″E","todo"
"Stung Treng Province","13°31′N","105°57′E","todo"
"Donbas","48.0","37.8","todo"
"Malyy Zhemchuzhnyy","45°55′28″N","49°34′40″E","todo"
"Sabah","5°15′N","117°0′E","todo"
"Isfara Valley","40°07′N","70°38′E","todo"
"Ilha Brasileira","30.185°S","57.63°W","todo"
"Siachen Glacier","35.421226°N","77.109540°E","todo"
"Tigri Area","2.5°N","57.25°W","todo"
"Pedra Branca","1°19′49″N","104°24′21″E","todo"
"Preah Vihear Temple","14°23′26″N","104°40′49″E","todo"
"Sakhalin","51°N","143°E","todo"
"Bir Tawil","21°52′9″N","33°44′52″E","todo"
"Moyo District","03°39′N","31°43′E","todo"
"Dragonja River","45°28′42″N","13°35′10″E","todo"
"Shebaa Farms","33°17′N","35°42′E","been"
"Abyei","9.595°N","28.436°E","todo"
"Mazraat Deir al-Ashayer","33°34′31″N","36°0′45″E","todo"
"Guayana Esequiba","6.3°N","59.7°W","todo"
"Sveta Gera","45°46′N","15°19′E","todo"
"David Gareja Monastery","41.4473°N","45.3765°E","todo"
"Nagorno-Karabakh","39°49′02″N","46°45′02″E","todo"
"Umm al Maradim","28°40′50″N","48°39′06″E","todo"
"Okpara River","6°26′N","2°33′E","todo"
"Sastavci","43.5582°N","19.4249°E","todo"
"Northern Ireland","54°35′47″N","5°55′48″W","been"
"Ashmore and Cartier Islands","12°15′30″S","123°02′30″E","todo"
"Gagauzia","46°19′N","28°40′E","been"
"Western Sahara","25°N","13°W","todo"
"Mbamba Bay","11°17′0″S","034°46′18″E","todo"
"Fergana Valley","40°54′03″N","71°45′28″E","todo"
"Khuriya Muriya Islands","17°30′N","56°00′E","todo"
"Transnistria","46°50′25″N","29°38′36″E","been"
"Gibraltar","36.14°N","5.35°W","todo"
"Conejo Island","13°20′52″N","87°44′34″W","todo"
"Kashmir","34.5°N","76.5°E","todo"
"Ghat","24°57′52″N","10°10′41″E","todo"
"Mayotte","12°50′35″S","45°8′18″E","todo"
"Kutuzov Island","47°04′32″N","134°08′54″E","todo"
"Tromelin Island","15°53′32″S","54°31′29″E","todo"
"Navassa Island","18°24′10″N","75°0′45″W","todo"
"Kosovo","42°40′N","21°10′E","todo"
"Danube River","48°05′44″N","08°09′18″E","todo"
"Wake Island","19°17′43″N","166°37′52″E","todo"
"Kpéaba","7°52′N","8°6′W","todo"
"South Ossetia","42°13′30″N","43°58′12″E","todo"
"Shatt al-Arab","30°24′15.59″N","48°09′3.60″E","todo"
"Abkhazia","43°0′0″N","41°1′40″E","todo"
"Doi Lang","19.98777778","99.14638889","todo"
"Outer Mongolia","48°N","106°E","todo"
"Drina River","43.34861111111111","18.839444444444446","todo"
"Imia / Kardak","37°03′03″N","27°09′04″E","todo"
"Ilemi Triangle","4°59′29″N","35°19′39″E","todo"
"Gaza Strip","31°30′53″N","34°27′15″E","todo"
"Wadi Halfa Salient","22°05′31″N","31°24′20″E","todo"
"French Guiana","3.9339°N","53.1258°E","todo"
"Taiwan","24°N","121°E","todo"
"Hatay Province","36°25′49″N","36°10′27″E","todo"
"Falkland Islands","51°41′43″S","57°50′58″W","todo"
"Melilla","35°18′N","2°57′W","todo"
"Koalu","11.022417°N","0.939749°E","todo"
"Serranilla Bank","15°50′N","79°50′W","todo"
"Diego Garcia","7°18′48″S","72°24′40″E","todo"
"Somaliland","9°33′N","44°03′E","todo"
"Ambalat","3°47′50″N","118°51′15″E","todo"
"Naf River","20°43′N","92°22′E","todo"
"Artsvashen","40°38′46″N","45°30′56″E","todo"
"Mekong River","33°42.5′N","94°41.7′E","todo"
"Vilnius Region","54°30′N","25°25′E","todo"
"Abu Musa","25°52′N","55°02′E","todo"
"Congo River","0°29′33.7776″N","25°12′24.8688″E","todo"
"Pweto","8.46667°S","28.9°E","todo"
"Northern Cyprus","35°15′N","33°45′E","todo"
"Åland","60°07′N","019°54′E","todo"
"Ivangorod","59°22′N","28°13′E","been"
"Kalapani","30.214°N","80.984°E","todo"
"Wakhan Corridor","37°N","73°E","todo"
"Minerva Reefs","23°38′S","178°54′W","todo"
"Swains Island","11°03′20″S","171°04′40″W","todo"
"Three Pagodas Pass","15°18′6″N","98°24′7″E","todo"
"Mont Blanc","45°49′58″N","06°51′54″E","been"
"KaNgwane","-25.677","31.298","todo"
"Hala’ib Triangle","22°28′09″N","35°31′23″E","todo"
"Cueta","35°53′18″N","5°18′56″W","todo"
"West Bank","32°00′N","35°21′E","been"
"Zhenbao Island","46°29′08″N","133°50′40″E","todo"
"Sapodilla Cay","16.146°N","88.281°W","todo"
"Akanyaru River","2.07504°S","30.018929°E","todo"
"Socotra Archipelago","12.4510°N","53.6120°E","todo"
"Korea","38.316666666667","127.23333333333","been"
"Prevlaka","42°23′57″N","18°31′04″E","todo"
"Ungar-Too","41°26′9″N","71°43′49″E","todo"
