"name","latitude","longitude","been"
"Bergenline Avenue","40.782077°N","74.02185°W","been"
"Caledonian Road","51°32′54″N","0°07′07″W","been"
"Goodge Street","51.52083°N","0.13444°W","been"
"Hampstead","51.5569°N","0.1783°W","been"
"181st Street (IRT)","40.849°N","73.934°W","been"
"168th Street","40.841022°N","73.939791°W","been"
"Beacon Hill","47°34′46″N","122°18′41″W","been"
"Washington Park","45.510661°N","122.716869°W","todo"
"Lamarck–Caulaincourt","48.889849°N","2.338693°E","been"
"Sai Ying Pun","22.2856°N","114.1427°E","todo"
"Abbesses","48.884849°N","2.338688°E","been"
"Bunker Hill","42.376361111111","-71.060777777778","todo"
"Lexington Avenue–63rd Street","40.764649°N","73.966398°W","been"
"Covent Garden","51.513°N","0.1243°W","been"
"Sofia","42.7°N","23.33°E","todo"
"Lei Tung","22.2421°N","114.1562°E","todo"
"Forest Glenn","39.0153°N","77.043°W","been"
"Clark Street","40°41′51″N","73°59′35″W","been"
"HKU","22.2841°N","114.1356°E","todo"
"Saint-Maur–Créteil","48.8068972°N","2.47277222°E","todo"
"181st Street (IND)","40.8517°N","73.9380°W","been"
