"name","latitude","longitude","been"
"Madha","25°17′4″N","56°19′59″E","todo"
"Valréas","44.385°N","4.9911°E","todo"
"Sankovo-Medvezhye","52°29′N","31°33′E","todo"
"Martín García","34°10′57″S","58°15′00″W","todo"
"Grand-Failly","49.4214°N","5.515°E","been"
"Baarle-Nassau","51°27′N","4°56′E","been"
"Büsingen am Hochrhein","47°41′49″N","08°41′25″E","todo"
"Steinstücken","52°23′24″N","13°7′51″E","todo"
"Sarvan","40.9231°N","70.6600°E","todo"
"Međurečje","43.5561°N","19.4128°E","todo"
"Barkhudarli","40°59′36″N","045°13′31″E","todo"
"Lesotho","29°18′54″S","27°29′13″E","todo"
"Liberty Island","40.69","-74.045","been"
"Nakhchivan","39°20′N","45°30′E","todo"
"Siga","35.2663°N","1.4499°W","todo"
"Gambia","13°27′00″N","16°34′30″W","been"
"Barak","40°40′N","72°46′E","todo"
"Yukhari Askipara","41°03′58″N","45°01′24″E","todo"
"San Marino","43°56′N","12°26′E","been"
"Shohimardon","39°59′N","71°48′E","todo"
"Brezovica Žumberačka","45°41′20″N","15°18′29″E","todo"
"Saint Pierre and Miquelon","46.7778°N","56.1778°W","todo"
"Ceuta","35°53′18″N","5°18′56″W","todo"
"Kaliningrad","54°42′01″N","20°27′11″E","todo"
"Dubrovnik","42°38′25″N","18°06′30″E","been"
"Baarle-Hertog","51°27′N","04°56′E","been"
"Monaco","43°43′52″N","07°25′12″E","been"
"Jungholz","47°34′25″N","10°26′50″E","todo"
"Campione d’Italia","45°58′N","08°58′E","been"
"Likoma & Chizumulu","12°04′S","34°44′E","todo"
"Appenzell","47.3461°N","9.3419°E","todo"
"Nagorno-Karabakh","39°48′55″N","46°45′7″E","todo"
"Vorukh","39°51′12″N","70°34′37″E","todo"
"Brunei","4°53.417′N","114°56.533′E","todo"
"Cabinda","35°53′18″N","5°18′56″W","todo"
"Lutepää","57°54′59″N","27°42′40″E","todo"
"Sokh","39.9500°N","71.1200°E","todo"
"Vennbahn","50.424°N","6.221°E","been"
"Île des Faisans","43°20′34″N","1°45′56″W","todo"
"Vatican City","41°54.2′N","12°27.2′E","been"
"Northwest Angle","49°16′N","95°3′W","todo"
"Karki","39°47′08″N","44°56′37″E","todo"
"Llívia","42°27′52″N","1°58′51″E","todo"
"Point Roberts","48°59′05″N","123°04′05″W","todo"
"Nahwa","25°16′6″N","56°16′49″E","todo"
