"name","latitude","longitude","been"
"Lake Vida","77°23′S","161°56′E","todo"
"Death Valley","36°14′49″N","116°49′01″W","been"
"Uvs Nuur basin","50°10′N","93°50′E","todo"
"Great Salt Lake","41°10′N","112°32′W","been"
"Caspian Sea Basin","42.0°N","50.5°E","been"
"Neusiedlersee","47°50′N","16°45′E","todo"
"Ethiopian Rift Valley","3°00′N","36°20′E","been"
"Algeria","34.35°N","0.5°E","todo"
"Tibetan Plateau","33°N","88°E","todo"
"Makgadikgadi Pans","20°48′S","25°20′E","todo"
"Anatolian Basin","38.0478","30.9867","todo"
"Aral Sea","45°N","60°E","todo"
"Great Lakes Depression","49.3108","92.6376","todo"
"Qattara Depression","30°0′N","27°30′E","been"
"Lasithi Plateau","35°11′N","25°28′E","todo"
"Iranian Plateau","36.283333","59.05","todo"
"Lake Elmenteita","0°27′S","36°15′E","been"
"Lake Chad Basin","16.5","18.0","todo"
"Laguna de Gallocanta","40°58′00″N","1°29′50″W","todo"
"Estany de Banyoles","42°07′31″N","2°45′19″E","todo"
"Dead Sea","31°30′N","35°30′E","been"
"Altiplano Basin","18°28′S","67°20′W","todo"
"Laguna de Mar Chiquita","30°30′S","62°40′W","todo"
"Lake Valencia","10°11′N","67°44′W","todo"
"Dzungarian Basin","46°16′8″N","86°40′2″E","todo"
"Etosha Basin","18°56′43″S","15°53′52″E","todo"
"Lake Chilwa","15°18′S","35°42′E","todo"
"Afar Depression","11.5°N","41.0°E","been"
"Kauhakō Crater","21°11′16″N","156°57′58″W","todo"
"Lake Eyre Basin","25.99686697°S","137.99905382°E","todo"
"Lake Turkana","3°35′N","36°7′E","todo"
"Gobi Desert","42.59°N","103.43°E","todo"
"Lake Trasimeno","43.14°N","12.10°E","been"
"Sutton Salt Lake","45°34′35″S","170°5′12″E","todo"
"Lake Tanganyika","6.1°S","29.5°E","been"
"Fucine Lake","41°59′42″N","13°32′50″E","todo"
"Great Basin","40°40′N","117°40′W","been"
"Kalahari Basin","23°S","21°E","todo"
"Lake Naivasha","0°46′6.70″S","36°21′2.32″E","been"
"Syrian Desert","33.3333°N","38.8333°E","todo"
