"name","latitude","longitude","been"
"Chester","53.19°N","2.89°W","been"
"Lancashire","53.8°N","2.6°W","been"
"Râșnov","45°35′36″N","25°27′37″E","been"
"Iona","56°19′48″N","06°24′36″W","been"
"Belgrade","44°49′04″N","20°27′25″E","been"
"Manchester","53°28′0″N","2°14′0″W","been"
"Uzhhorod","48°37′26″N","22°17′42″E","been"
"Trenčín","48°53′31″N","18°02′12″E","been"
"Oslo","59°54′48″N","10°44′20″E","been"
"Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch","53.2232°N","4.2008°W","been"
"Eger","47.89902°N","20.3747°E","been"
"Sovata","46°35′46″N","25°4′28″E","been"
"Aberdeen","57.15°N","2.11°W","been"
"Innsbruck","47°16′06″N","11°23′36″E","been"
"Tighina","46°50′N","29°29′E","been"
"Caithness","58°25′N","3°30′W","been"
"Dover","51.1295°N","1.3089°E","been"
"Constanța","44°10′N","28°38′E","been"
"Calgary Bay","56.583°N","6.272°W","been"
"Balchik","43°25′37″N","28°09′42″E","been"
"Berwick","55.76916666666666","-2.0025","been"
"Gagauzia","46°19′N","28°40′E","been"
"Tiraspol","46°50′25″N","29°38′36″E","been"
"Winchester","51.062°N","1.31525°W","been"
"Staines","51.434°N","0.511°W","been"
"Miskolc","48°06′15″N","20°47′30″E","been"
"Scarborough","54.2825","-0.4","been"
"Bath","51.381389","-2.358611","been"
"Haynes Motor Museum","51.0355°N","2.5655°W","been"
"Llandudno","53.3225","-3.825","been"
"Rila Monastery","42°08′00″N","23°20′25″E","been"
"Sofia","42.7°N","23.33°E","been"
"Sognefjord","61°06′N","5°10′E","been"
"Bratislava","48°08′38″N","17°06′35″E","been"
"Tîrgu Mureș","46°32′44″N","24°33′45″E","been"
"Nyíregyháza","47.95306°N","21.72713°E","been"
"Spišský Hrad","49.000555555556","20.768333333333","been"
"Saffron Walden","52.022°N","0.243°E","been"
"Newcastle","54.977777777778","-1.6133333333333","been"
"Žilina","49°13′22″N","18°44′24″E","been"
"Paris","48.85666666666667","2.352222222222222","been"
"Genoa","44°24′40″N","8°55′58″E","been"
"Chisinau","47°0′N","28°55′E","been"
"Zurich","47°22′28″N","08°32′28″E","been"
"Kintra","56.343°N","6.349°W","been"
"Plovdiv","42°9′N","24°45′E","been"
"Bistrița-Năsăud","47.1389°N","24.5003°E","been"
"Tregaron","52.21962°N","3.93517°W","been"
"Rheinfall","47.67778°N","8.61503°E","been"
"Lviv","49°50′33″N","24°01′56″E","been"
"Split","43.51","16.44","been"
"Edirne","41°40′37″N","26°33′20″E","been"
"Lübeck","53°52′11″N","10°41′11″E","been"
"Ullapool","57.9°N","5.166°W","been"
"Egham","51.429°N","0.548°W","been"
"Arendal","58°27′39″N","08°45′59″E","been"
"Levoča","49°01′31″N","20°35′17″E","been"
"Malá Fatra","49.18769°N","19.03088°E","been"
"San Marino","43°56′N","12°26′E","been"
"Niedersachsen","52°45′22″N","9°23′35″E","been"
"Århus","56.1572°N","10.2107°E","been"
"Scotland","55°51′40″N","4°15′00″W","been"
"Cluj-Napoca","46°46′N","23°35′E","been"
"Belfast","54°35′49″N","05°55′45″W","been"
"Sighișoara","46°13′1″N","24°47′28″E","been"
"Sluis","51°18′30″N","3°23′10″E","been"
"Thessaloniki","40.640277777777776","22.935555555555556","been"
"Larne","54°51′06″N","05°48′48″W","been"
"Luxembourg","49°48′52″N","06°07′54″E","been"
"Vaduz","47.141°N","9.521°E","been"
"Giant’s Causeway","55°14′27″N","6°30′42″W","been"
"Lochbuie","56.35615°N,"5.87298°W","been"
"Košice","48°43′N","21°15′E","been"
"Galații Bistriței","46°59′N","24°24′E","been"
"Bologna","44°29′38″N","11°20′34″E","been"
"Edinburgh","55°57′12″N","03°11′21″W","been"
"Salzburg","47°48′00″N","13°02′42″E","been"
"Bruges","51°12′32″N","03°13′27″E","been"
"Sucevița","47°47′N","25°43′E","been"
"Appenzell","47.3461°N","9.3419°E","been"
"Llanberis","53.119°N","4.131°W","been"
"Ardennes","50°15′N","5°40′E","been"
"Ivano-Frankivsk","48°55′22″N","24°42′38″E","been"
"Maramureș","47.95","23.65","been"
"Geneva","46°12′06″N","06°08′49″E","been"
"Calais","50°56′53″N","01°51′23″E","been"
"Glen Clova","56.83°N","2.94°W","been"
"Cambridge","52°12′18″N","00°07′21″E","been"
"Thurso","58.596°N","3.521°W","been"
"Ancona","43°37′01″N","13°31′00″E","been"
"Varna","43.211375","27.91108","been"
"Lăpușna","46.884166666667","28.411944444444","been"
"Rimini","44°03′34″N","12°34′06″E","been"
"Satu Mare","47°47′24″N","22°53′24″E","been"
"Bergen","60°23′22″N","5°19′48″E","been"
"Derby","52.9247°N","1.478°W","been"
"Aberystwyth","52°25′N","4°04′W","been"
"Debrecen","47°31′54″N","21°37′28″E","been"
"Bristol","51°27′13″N","02°35′51″W","been"
"Glens of Antrim","55°09′36″N","6°06′00″W","been"
"Caernarfon","53.14°N","4.27°W","been"
"Dubrovnik","42°38′25″N","18°06′30″E","been"
"Troon","55.54°N","4.66°W","been"
"Isle of Mull","56°27′N","6°00′W","been"
"Moldovița","47°41′N","25°33′E","been"
"Telemark","59.5°N","8.7°E","been"
"Veliko Tarnovo","43°04′40″N","25°37′00″E","been"
"Reghin","46°46′33″N","24°42′30″E","been"
"Wismar","53°54′N","11°28′E","been"
"Brașov","45°40′N","25°37′E","been"
"Zlaté Piesky","48°11′05″N","17°11′22″E","been"
"Kirriemuir","56.66921°N","3.0051°W","been"
"Istanbul","41°00′49″N","28°57′18″E","been"
"Blagoevgrad","42°00′43″N","23°05′23″E","been"
"Kamianets-Podilskyi","48°41′00″N","26°35′00″E","beelocn"
"Sibiu","45.792784°N","24.152069°E","been"
"Kiel","54°19′24″N","10°08′22″E","been"
"Conwy","53.28°N","3.83°W","been"
"Fritzlar","51°8′N","9°17′E","been"
"Cheshire","53°10′N","2°35′W","been"
"Stamford","52.65108°N","0.47834°W","been"
