"name","latitude","longitude","been"
"Pfaffenthal-Kirchberg Funicular","49°37′8.27″N","6°8′0.58″E","been"
"Ambert","45.5503°N","3.7425°E","been"
"Menton","43.775°N","7.5°E","been"
"Maschio Angioino","40.838408°N","14.253307°E","been"
"Pyramides d’Euseigne","46.171667","7.422778","been"
"Col de Galibier","45.064","6.408","been"
"Col des Limites","45.5394","3.9745","been"
"Meersel Dreef","51.4978°N","4.7750°E","been"
"Château de Caillac","44.9128","2.52667","been"
"Fort de Bruissin","45.730532","4.738508","been"
"Poelaert Elevators","50°50′16.9″N","4°21′04″E","been"
"Col de Vars","44.5389","6.70275","been"
"Chamonix","45.9231°N","6.8697°E","been"
"Col de la Croix de l’Homme Mort","45.544","3.9925","been"
"Château Lagrézette","44.4878","1.3639","been"
"Château de Carbonat","44.9089","2.4877","been"
"Fort de Champvillard","45.6713","4.81169","been"
"Lyon Thermes Romains","45.7571","4.81989","been"
"Bourges Cathedral","47°04′55″N","2°23′58″E","been"
"Fort de Charlemont","50.134831362333706","4.811826820600982","been"
"Château des Junies","44.53916667","1.23611111","been"
"Strasbourg Tram","48°35′03.7″N","7°44′39.2″E","been"
"Centrale Nucléaire de Chooz","50.09","4.790556","been"
"Château de Rocamadour","44°47′12″N","1°36′48″E","been"
"Fort de Côte-Lorette","45.6985","4.78395","been"
"Tour Métallique de Fourvière","45.763769444444","4.8222666666667","been"
"Fort de Bron","45.73222222","4.92166667","been"
"Naples","40.83583333333333","14.248611111111112","been"
"Conflans","45.672033°N","6.3972753°E","been"
"Giessbachbahn","46.7349°N","8.0225°E","been"
"Funicolare Centrale","40.8406°N","14.2414°E","been"
"Château Panassau","44.842222222222","1.1186111111111","been"
"Château de Montrond","45.6438888889°N","4.23138888889°E","been"
"Château de Fayrac","44.83025","1.144694","been"
"Vianden Castle","49°56′06″N","6°12′08″E","been"
"Monaco Monte Carlo","43.738175","7.419869","been"
"Strasbourg","48°35′00″N","07°44′45″E","been"
"Troisvierges","50.116666666667","6.0","been"
"Centro Direzionale","40.8577°N","14.2816°E","been"
"Niesen","46°38′46″N","7°39′9″E","been"
"Château de Commarque","44.941666666667","1.1019444444444","been"
"Fort du Télégraphe","45.21061°N","6.44708°E","been"
"Grimselpass","46°33.72′N","08°20.34′E","been"
"Grande-Dixence","46.080555555556","7.4038888888889","been"
"Ouvrage de Fressinéa","44.06314","7.11731","been"
"St. Beatus-Höhlen","46.68465","7.7823","been"
"Château de Fleckenstein","49.044722222222","7.7719444444444","been"
"Causses and Cévennes","44°13′13″N","3°28′23″E","been"
"Château de Saint-Sulpice","44.570048°N","1.787585°E","been"
"Baarle-Nassau","51°27′N","4°56′E","been"
"Mont Blanc","45.83277777777778","6.865","been"
"Friedrichsbad","48.7631°N","8.2422°E","been"
"Cahors","44.4483°N","1.4414°E","been"
