"name","latitude","longitude","been"
"Rome","41°53′36″N","12°28′58″E","been"
"Gothenburg","57°42′27″N","11°58′03″E","todo"
"Belgrade","44°49′04″N","20°27′25″E","been"
"Düsseldorf","51°14′N","6°47′E","todo"
"Turin","45°04′45″N","07°40′34″E","been"
"Kyiv","50.4°N","30.54°E","todo"
"Rotterdam","51.92°N","4.48°E","been"
"Cannes","43.5513°N","7.0128°E","been"
"Tallinn","59°26′14″N","24°44′43″E","been"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Riga","56°56′56″N","24°6′23″E","been"
"Jerusalem","31°46′44″N","35°13′32″E","been"
"Istanbul","41°00′49″N","28°57′18″E","been"
"Oslo","59°54′48″N","10°44′20″E","been"
"Lausanne","46°31.19′N","6°38.01′E","been"
"Munich","48°08′15″N","11°34′30″E","todo"
"Lugano","46°00′18″N","08°57′09″E","todo"
"Moscow","55°45′21″N","37°37′2″E","been"
"Stockholm","59°19′46″N","18°4′7″E","been"
"Birmingham","52.4793°N","1.9029°W","been"
"Madrid","40°25′01″N","03°42′12″W","been"
"Vienna","48°12′30″N","16°22′21″E","been"
"Baku","40°23′43″N","49°52′56″E","todo"
"Dublin","53°21′00″N","06°15′37″W","been"
"The Hague","52°04′48″N","04°18′36″E","been"
"Millstreet","52.0604°N","9.06415°W","todo"
"Harrogate","53°59′31″N","01°32′16″W","todo"
"Naples","40.83583333333333","14.248611111111112","been"
"Hilversum","52°14′N","5°10′E","todo"
"Edinburgh","55°57′12″N","03°11′21″W","been"
"Brighton","50°49′15″N","00°08′15″W","been"
"Bergen","60°23′22″N","5°19′48″E","been"
"London","51°30′26″N","00°07′39″W","been"
"Paris","48.85666666666667","2.352222222222222","been"
"Copenhagen","55°40′34″N","12°34′06″E","todo"
"Brussels","50°50′48″N","04°21′09″E","been"
"Malmö","55°35′N","12°55′E","todo"
"Frankfurt","50°06′38″N","08°40′56″E","been"
"Luxembourg","49°36′42″N","6°7′55″E","been"
"Helsinki","60°10′15″N","24°56′15″E","been"
"Lisbon","38°43′31″N","09°09′00″W","been"
"Athens","37°59′03″N","23°43′41″E","todo"
"Tel Aviv","32°5′N","34°48′E","been"
"Zagreb","45°48′47″N","15°58′39″E","been"
"Liverpool","53°24′0″N","2°59′0″W","been"
