"name","latitude","longitude","been"
"Ras Nouadhibou","20°46′17″N","17°2′50″W","todo"
"Dirk Hartog Island","25°50′S","113°05′E","todo"
"Cape Byron","28.632778°S","153.638889°E","todo"
"Mono River","6.2959°N","1.9299°E","been"
"East Cape","37.6892°S","178.5483°E","todo"
"Zentendorf","51°16′44″N","15°1′46″E","todo"
"Land’s End","50°04′07″N","05°42′58″W","todo"
"Cape Froward","53.8929535°S","71.3064158°W","todo"
"Bray-Dunes","51.0717°N","2.5283°E","been"
"Grand Popo","6°17′N","1°50′E","been"
"Siwa Oasis","29°12′19″N","25°31′10″E","been"
"Deutsch Jahrndorf","48°1′N","17°6′E","been"
"Cape Maria van Diemen","34.472316°S","172.64062°E","todo"
"Borgarnes","64°32′N","21°55′W","been"
"Cape Fligely","81°50′35″N","59°14′22″E","todo"
"Shiretoko","44°5.8′N","145°9.2′E","been"
"Nuorgam","70°04′50″N","027°52′30″E","todo"
"Isenbruch","51.0414","5.88","been"
"Timbuktu","16°46′33″N","3°00′34″W","been"
"Sōyamisaki 宗谷岬","45°31′22″N","141°56′11″E","been"
"Dunnet Head","58.644745","-3.375652","todo"
"South East Cape","43°38′37″S","146°49′39″E","todo"
"Punta Gallinas","12°27′28″N","71°39′56″W","todo"
"Cape York","-15.0","143.0","todo"
"Lomé","06°07′51″N","01°12′55″E","been"
"Balzers","47.06812°N","9.48118°E","todo"
"Krásná","50°14′6″N","12°10′5″E","todo"
"Torgny","49.5072°N","5.4758°E","been"
"De Panne","51°06′N","02°35′E","been"
"Kuttingen","50.7603","5.9169","been"
"Noumea","22.2758°S","166.458°E","been"
"Cape Purekkari","59°40′31″N","25°41′49″E","todo"
"Severní","51°2′6″N","14°18′56″E","todo"
"Lavry","57°34′32″N","27°28′46″E","todo"
"Herceg Novi","42°27′10.62″N","18°31′52.33″E","todo"
"Futuna","19°32′S","170°13′E","been"
"Sveti Martin na Muri","46°32′N","16°22′E","todo"
"Cape Chelyushkin","77°44′0″N","104°15′0″E","todo"
"Cinkassé","11.096876","0.016393","todo"
"Ras Hafun","10°25′0″N","51°16′0″E","todo"
"Bargen","47.040277777778","7.2638888888889","todo"
"Karisöödi","57°33′0″N","26°33′0″E","todo"
"Surré","49°54′N","5°47′E","been"
"South Pole","90°S","0°E","todo"
