"name","latitude","longitude","been"
"Far Rockaway","40.601°N","73.757°W","been"
"Megijima","34°23′43″N","134°3′0″E","been"
"Harwich–Nantucket","41°38′53.2″N","70°16′45.2″W","been"
"Oslo","59°54′48″N","10°44′20″E","been"
"Bainbridge Island","47°39′19″N","122°32′6″W","been"
"Dar es Salaam","06°48′58″S","39°16′49″E","todo"
"Naples","40.83583333333333","14.248611111111112","been"
"Alcatraz","37°49′36″N","122°25′22″W","been"
"Århus","56.1572°N","10.2107°E","been"
"Harwich","51.934°N","1.266°E","been"
"Staten Island","40°34′19″N","74°8′49″W","been"
"Martha’s Vineyard","41°24′N","70°37′W","been"
"Osaka","34°41′38″N","135°30′8″E","todo"
"Vladivostok","43.115","131.8852777777778","todo"
"San Juan Islands","48.532066°N","123.029251°W","been"
"Talinn","59°26′14″N","24°44′43″E","been"
"Wakkanai","45°24′56″N","141°40′23″E","been"
"Barcelona–Mallorca","41°20′15″N","2°9′8″E","been"
"Hong Kong","22.3°N","114.2°E","been"
"Tarifa","36.014°N","5.606°W","todo"
"Palermo","38°06′40″N","13°21′06″E","todo"
"Ellis Island","40°41′58″N","74°02′23″W","been"
"Governors Island","40°41′29″N","74°0′58″W","been"
"Lausanne","46°31.19′N","6°38.01′E","todo"
"Świnoujście","53°55′N","14°15′E","todo"
"Hurghada","27°15′28″N","33°48′42″E","been"
"Cape May–Lewes","38°30.90′N","074°30.90′W","been"
"Sète","43.4053°N","3.6975°E","been"
"Split","43°30′36″N","16°26′24″E","been"
"Singapore","1°17′N","103°50′E","todo"
"Calais","50°56′53″N","01°51′23″E","been"
"Larne","54°51′06″N","05°48′48″W","been"
"Marseille","43.2964°N","5.37°E","todo"
"Foundiougne","14°08′N","16°28′W","been"
"Liverpool","53°24′0″N","2°59′0″W","been"
"Barra","56.9833°N","7.4667°W","been"
