"name","latitude","longitude","been"
"Donauinsel","48°14′N","16°24′E","been"
"Maeslantkering","51°57′19″N","4°9′50″E","been"
"River Foss Barrier","53°57′08.4″N","1°04′42.3″W","todo"
"Hartelkering","51°51′58″N","4°18′34″E","been"
"Eider Barrage","54°15′51.7″N","8°50′43.7″E","todo"
"MOSE","45.4318°N","12.4085°E","been"
"Oosterscheldekering","51°38′01″N","3°42′16″E","been"
"Lake Borgne Surge Barrier","30°0′20″N","89°54′5″W","todo"
"Saint Petersburg Dam","59°59′32″N","29°41′46″E","todo"
"Haringvlietdam","51°50′0″N","4°03′0″E","been"
"Thames Barrier","51°29′49″N","0°2′12″E","been"
"Fox Point Hurricane Barrier","41.81601°N","71.40149°W","todo"
