"name","latitude","longitude","been"
"Fort d’Issy","48°49′1″N","2°16′8″E","been"
"Porte de Hal/Hallepoort","50°49′59″N","4°20′41″E","been"
"Briançon","44.8964°N","6.6356°E","been"
"Fort 7","52°25′01″N","16°52′05″E","todo"
"Bellinzona","46°11′43.336″N","9°01′46.835″E","todo"
"Castell de Montjuïc","41°21′48″N","2°09′58″E","been"
"Grand-Failly","49.4214°N","5.515°E","been"
"Fort McClary","43.0817°N","70.7094°W","been"
"Citadelle de Lille","50°38′28″N","3°02′40″E","todo"
"Fort Saint-Jean","45°46′14.08″N","4°48′54.37″E","been"
"Stack Rock Fort","51.7024°N","5.0921°W","todo"
"Fort van ’s Gravenwezel","51°15′43″N","4°35′24″E","todo"
"Fort Adams","41.47866°N","71.33788°W","todo"
"Fort Stark","43°03′27″N","70°42′46″W","been"
"Fort Schuyler","40°48′20″N","73°47′31″W","been"
"Citadelle de Namur","50.4579514°N","4.8587311°E","been"
"Vardøhus","70°22′20″N","31°05′41″E","todo"
"Kingsbridge Armory","40°52′04.46″N","73°53′54.81″W","been"
"Beaufort Castle","33.3244°N","35.532°E","todo"
"Qaitbay Citadel","31.213°N","29.8852°E","been"
"Fort Jay","40°41′28.89″N","74°0′57.63″W","been"
"Longwy","49.52°N","5.7606°E","been"
"Fort van Zwijndrecht","51°12′30″N","4°18′30″E","todo"
"Fort Lee","42°31′55″N","70°52′28″W","been"
"Park Avenue Armory","40°46′03″N","73°57′58″W","been"
"Fort Lafayette","40°36′30″N","74°02′19″W","been"
"Fort d’Ivry","48°48′8″N","2°23′24″E","been"
"Saint-Vaast-la-Hougue","49.5886°N","1.2661°W","todo"
"Gorée","14°40′01″N","17°23′54″W","been"
"Fort Clonque","49.7138°N","2.233°W","todo"
"Ouvrage de Fressinéa","44°03′45.44″N","7°07′1.68″E","been"
"Mont-Louis","42.5092°N","2.1208°E","todo"
"Fort de Saint-Priest","45.69467°N","4.966314°E","been"
"Baku","40°23′43″N","49°52′56″E","todo"
"Fort Totten (Queens)","40°47′31.3″N","73°46′33.9″W","been"
"Fort du Télégraphe","45.21061°N","6.44708°E","been"
"Fort Stevens","38.96417°N","77.02889°W","been"
"Fort van Oelegem","51°13′29″N","4°36′51″E","todo"
"Fort de Corbas","45.677622°N","4.906543°E","been"
"Fort Dauphin","44.8982°N","6.6577°E","been"
"Fort de Villeurbanne","45.751789°N","4.862823°E","been"
"Fort Tilden","40°34′N","73°53′W","been"
"Fort de Charlemont","50.135833°N","4.803611°E","been"
"Fort de Montcorin","45.67805°N","4.806889°E","been"
"Villefranche-de-Conflent","42.586825°N","2.366815°E","todo"
"Fort Foster","28.150278","-82.220556","been"
"Fort de Russy","38.963056°N","77.051111°W","been"
"Camaret-sur-Mer","48.2767°N","4.5956°W","todo"
"Fort de Côte-Lorette","45.6984°N","4.7839°E","been"
"Fort Farnsworth","38.7941°N","77.0753°W","been"
"Fort Ticonderoga","43°50′30″N","73°23′15″W","todo"
"Fort De Perel","51°16′1.64″N","4°17′24.76″E","todo"
"Blaye/Cussac-Fort-Médoc","45.1147°N","0.7297°W","todo"
"Fort van Brasschaat","51°19′44″N","4°29′44″E","todo"
"Ouvrage du Four-à-Chaux","48°59′38″N","07°47′45″E","been"
"Fort Hamilton","40°36′22″N","74°01′51″W","been"
"Fort Walker","38°07′04″N","77°16′35″W","been"
"Fort Astoria","46.18820278°N","123.8274694°W","been"
"Fort Casey","48°09′51″N","122°40′44″W","been"
"Fort van Kruibeke","51°11′20.82″N","4°19′15.08″E","todo"
"Al Fahidi Fort","25°15′47″N","55°17′50″E","been"
"Castle Clinton","40.7035°N","74.0168°W","been"
"Fort de Bicêtre","48.80558°N","2.35498°E","been"
"Besançon","47°14′24″N","6°1′12″E","todo"
"Fort Núñez Gaona","48°21′56″N","124°36′56″W","been"
"Arras","50.292°N","2.78°E","todo"
"Neuf-Brisach","48.0177°N","7.5285°E","been"
"Fort Sint-Filips","51°15′35.11″N","4°18′27.72″E","todo"
"Fort Lillo","51.304385°N","4.28941°E","todo"
"Fort Wadsworth","40°36′18″N","74°03′24″W","been"
"Bastion Saint-Laurent","45.774497°N","4.836558°E","been"
"Ouvrage du Schœnbourg","48.96642°N","7.91225°E","been"
"Fort Mason","37°48′28″N","122°25′47″W","todo"
"Fort van Sint-Katelijne-Waver","51°3′33.88″N","4°30′49.92″E","todo"
"Fort 1","51°13′19.93″N","4°30′4.29″E","todo"
"Fort d’Aubervilliers","48°54′39″N","02°24′22″E","been"
"Masada","31°18′56″N","35°21′14″E","been"
"Fort de Feyzin","45.671644°N","4.8669°E","been"
"Fort de Bron","45.732187°N","4.921567°E","been"
"Fort Totten (DC)","38.947056°N","77.004139°W","been"
"Saint-Martin-de-Ré","46.2031°N","1.3672°W","todo"
"Fort Duquesne","40°26′29.9″N","80°00′39.4″W","been"
"Fort Warren","42°19′12.84″N","070°55′39.5″W","todo"
"Fort de Vanves","48°48′42″N","2°17′22″E","been"
"Fort Pickering","42°31′37″N","70°52′2″W","been"
"Korean Demilitarized Zone","38.32°N","127.2°E","been"
"Antwerp","51°13′04″N","04°24′01″E","todo"
"Fort van Merksem","51°15′48″N","4°27′27″E","todo"
"Fort Reno","38.952°N","77.0759°W","been"
"Teaneck Armory","40.910247°N","73.998024°W","been"
"Fort Stamford","41°5′6″N","73°34′42″W","todo"
"Het Steen","51.2227°N","4.3974°E","been"
"Mont-Dauphin","44.67°N","6.6244°E","been"
"Fort Carré d’Antibes","43.590278°N","7.127222°E","been"
"Fort de Vincennes","48.84221°N","2.44208°E","been"
"Fort Pitt","40.4411","-80.009","been"
"Castle Williams","40°41′34″N","74°01′09″W","been"
"Fort van Breendonk","51°03′23″N","4°20′29″E","todo"
"Fort de Montrouge","48.807832°N","2.321613°E","been"
"Conflans","45.672033°N","6.3972753°E","been"
"Modlin Fortress","52°26′18″N","20°40′55″E","been"
"Hochbunker Augustinerhof","49.7514","6.63306","been"
"Fort de Champvillard","45.671254°N","4.81169°E","been"
"Fort Washington","38°42′39″N","77°01′59″W","been"
"Vyborg Castle","60°42′57″N","28°43′45″E","todo"
"Fort Slocum","38°57′36.7″N","77°00′38.9″W","been"
"Fort Bunker Hill","38.93539°N","76.98775°W","been"
"Fort de Bruissin","45.730532°N","4.738508°E","been"
"69th Regiment Armory","40°44′29″N","73°59′03″W","been"
"Suomenlinna","60°08′37″N","24°59′04″E","todo"
