"name","latitude","longitude","been"
"Lot-et-Garonne","44°20′N","0°30′E","todo"
"Guyane","3.9339°N","53.1258°E","todo"
"Loire","45°05′N","04°05′E","been"
"Martinique","14°39′00″N","61°00′54″W","todo"
"Meurthe-et-Moselle","48°40′N","06°10′E","been"
"Guadeloupe","16°15′N","61°30′W","todo"
"Aveyron","44°15′N","02°42′E","been"
"Corrèze","45°20′N","1°50′E","been"
"Corse-du-Sud","41°51′N","9°2′E","todo"
"Hautes-Alpes","44°40′N","6°20′E","been"
"Indre-et-Loire","47°15′N","0°40′E","been"
"Meuse","49°00′N","05°20′E","been"
"Yonne","47°48′N","3°34′E","been"
"Val-d'Oise","49°3′43″N","2°5′10″E","been"
"Haute-Vienne","45°50′N","1°16′E","been"
"Nord","50°23′N","03°19′E","been"
"Seine-et-Marne","48°36′N","03°00′E","been"
"Charente-Maritime","45°57′N","0°58′W","todo"
"Côtes-d'Armor","48°20′N","02°50′W","todo"
"Haute-Marne","48°05′N","05°15′E","been"
"Finistère","48°15′N","04°00′W","todo"
"Bouches-du-Rhône","43°30′N","5°5′E","been"
"Paris","48.85666666666667","2.352222222222222","been"
"Landes","44°0′N","0°50′W","todo"
"Puy-de-Dôme","45°42′N","3°13′E","been"
"Dordogne","45°0′N","0°40′E","been"
"Aisne","49°30′N","3°30′E","been"
"Orne","48°42′N","0°0′E","been"
"Doubs","47°10′N","06°25′E","todo"
"Vaucluse","44°00′N","05°10′E","been"
"Eure-et-Loir","48°20′N","01°25′E","been"
"Territoire de Belfort","47°45′N","7°00′E","todo"
"Morbihan","47°50′N","02°50′W","todo"
"Oise","49°23′N","02°25′E","been"
"Calvados","49°02′N","0°15′E","been"
"Marne","49°00′N","04°15′E","been"
"Nièvre","47°05′N","03°30′E","been"
"Allier","46°20′N","3°10′E","been"
"Tarn-et-Garonne","44°0′N","1°20′E","todo"
"Yvelines","48°50′N","1°55′E","been"
"Charente","45°50′N","0°20′E","todo"
"Maine-et-Loire","47°27′N","0°36′W","been"
"Savoie","45°35′N","6°20′E","been"
"Jura","46°40′31″N","5°33′16″E","been"
"Pyrénées-Atlantiques","43°15′N","0°50′E","todo"
"Haut-Rhin","47°57′51″N","7°19′11″E","been"
"Seine-Saint-Denis","48°54′N","02°29′E","been"
"Sarthe","48°17′N","0°13′E","been"
"Gironde","44°50′N","0°40′W","todo"
"Cantal","45°2′N","3°6′E","been"
"Rhône","45°50′N","04°40′E","been"
"Hérault","43°21′N","3°13′E","been"
"Mayotte","12°50′35″S","45°8′18″E","todo"
"Manche","49°03′N","01°15′E","been"
"Mayenne","48°10′N","0°40′W","been"
"Tarn","43°49′N","2°12′E","been"
"Haute-Corse","42°28′N","9°12′E","todo"
"Val-de-Marne","48°45′N","2°25′E","been"
"Ardennes","49°30′N","4°40′E","been"
"Hauts-de-Seine","48°50′N","02°12′E","been"
"Loire-Atlantique","47°20′N","1°40′W","been"
"Somme","49°53′N","02°25′E","been"
"Vendée","46°40′14″N","1°25′36″W","todo"
"Saône-et-Loire","46°40′N","04°42′E","been"
"Haute-Loire","45°0′N","4°0′E","been"
"Deux-Sèvres","46°30′N","00°20′E","todo"
"Loir-et-Cher","47°16′N","00°40′E","been"
"Gers","43°39′N","0°35′E","todo"
"Eure","49°5′N","1°0′E","been"
"Hautes-Pyrénées","43°14′0″N","0°4′5″E","todo"
"Bas-Rhin","48°49′N","7°47′E","been"
"Pyrénées-Orientales","42°30′N","2°45′E","been"
"Haute-Saône","47°35′N","06°00′E","todo"
"La Réunion","21°06′52″S","55°31′57″E","todo"
"Aube","48°20′N","4°10′E","todo"
"Gard","44°7′41″N","4°4′54″E","been"
"Loiret","47°55′N","02°10′E","been"
"Essonne","48°30′N","02°17′E","been"
"Drôme","44°45′N","05°10′E","been"
"Isère","45°20′N","05°30′E","been"
"Ardèche","44°40′N","4°25′E","been"
"Cher","47°0′N","2°35′E","been"
"Aude","43°5′N","2°25′E","been"
"Lozère","44°20′N","3°36′E","been"
"Côte-d'Or","47°25′N","04°50′E","been"
"Haute-Savoie","46°00′N","06°20′E","been"
"Vienne","45.5221°N","4.8453°E","todo"
"Moselle","49°02′02″N","6°39′43″E","been"
"Indre","46°46′N","1°36′E","been"
"Ain","46°5′N","5°20′E","been"
"Creuse","46°07′20″N","1°54′46″E","todo"
"Lot","44°35′N","01°35′E","been"
"Haute-Garonne","43°25′N","1°30′E","been"
"Pas-de-Calais","50°57′N","1°51′E","been"
"Alpes-de-Haute-Provence","44°0′N","6°10′E","been"
"Alpes-Maritimes","43°50′N","7°10′E","been"
"Var","43°30′N","06°20′E","been"
"Seine-Maritime","49°40′N","0°50′E","been"
"Vosges","48°10′N","06°25′E","been"
"Ille-et-Vilaine","48°10′N","01°40′W","been"
"Ariège","43°00′N","1°30′E","been"
