"name","latitude","longitude","been"
"Évian-les-Bains","46.3833°N","6.5833°E","todo"
"Lycabettus Funicular","37.9804°N","23.744°E","todo"
"Carmelit","32.80971","34.99241","been"
"Hornblower Niagara Funicular","43.0888°N","79.0725°W","been"
"Funicular dos Guindais","41°8′27.6″N","8°36′34.2″W","been"
"Kurwaldbahn","50.3322°N","7.7252°E","todo"
"Spa Funicular","50°29′33″N","5°51′51″E","been"
"Funicular de Montjuïc","41.375°N","2.1686°E","been"
"Funicular de Vallvidrera","41.4093229°N","2.1112435°E","been"
"Old Quebec Funicular","46.812545°N","71.203959°W","todo"
"Elevador da Ribeira","41°8′27.5″N","8°36′40″W","todo"
"Hungerburgbahn","47.28301°N","11.40095°E","todo"
"Funiculaire Sierre–Montana–Crans","46.303","7.5127","todo"
"Wellington Cable Car","41°17′07.25″S","174°46′04.17″E","todo"
"Gelmer Funicular","46°36′49″N","08°18′31″E","todo"
"Montecatini Terme","43°52′58″N","10°46′16″E","todo"
"Castle Shannon Incline No. 2","40.423°N","80.003°W","been"
"Flying Dutchman Funicular","34.351692°S","18.487051°E","todo"
"Standseilbahn Stuttgart","48°45′21″N","9°08′32″E","todo"
"Hudson Yards","40.75611111111111","-74.00055555555555","been"
"Funicular de la Santa Cova","41°35′32.72″N","1°50′22.05″E","been"
"Outeiro da Glória","22°55′15″S","43°10′25″W","todo"
"Funiculaire de Belleville","48.8726","2.3791","been"
"Fisherman’s Walk Cliff Railway","50.721083°N","1.817352°W","todo"
"Funiculaire du Capucin","45.5711583°N","2.80920278°E","todo"
"Niesenbahn","46.639356°N","7.69021°E","been"
"Lugano Città–Stazione Funicular","46.004906°N","8.948262°E","todo"
"Johnstown Inclined Plane","40°19′32″N","78°55′43″W","been"
"Mount Oliver Incline","40.4244°N","79.9864°W","been"
"Plan Incliné de Ronquières","50.597786°N","4.221582°E","been"
"Poma 2000","49.5668","3.62893","been"
"Baku Funicular","40.3584°N","49.8285°E","todo"
"Vladivostok","43.115","131.8852777777778","todo"
"Metro Alpin","46°3′28″N","7°54′18″E","todo"
"Knoxville Incline","40.424°N","79.988°W","been"
"Bridgnorth Cliff Railway","52.534°N","2.417°W","todo"
"Stoosbahn","46°59′7.5″N","8°40′15.2″E","todo"
"Buda Castle","47°29′52″N","19°2′21″E","todo"
"Valle de los Caídos","40°38′31″N","4°09′19″W","todo"
"Heidelberger Bergbahnen","49.40725","8.71498889","todo"
"Reißzug","47.795388°N","13.050162°E","been"
"Keifuku Cable Line","35°3′54.4″N","135°48′56.2″E","todo"
"Katoomba Scenic Railway","33.7285°S","150.301°E","todo"
"East Hill Cliff Railway","50°51′24.55″N","0°35′43.1″E","todo"
"Zagreb Funicular","45°48′51″N","15°58′24″E","todo"
"Duquesne Incline","40°26′21″N","80°1′5″W","been"
"Kaprun","47°13′32.26″N","12°43′14.67″E","todo"
"Hong Kong Peak Tram","22°16′19.36″N","114°9′17.52″E","been"
"Fenelon Place Elevator","42.49645°N","90.66905°W","todo"
"Turmbergbahn","48°59′52.34″N","8°28′59.92″E","todo"
"Ljubljana Castle","46°3′0.44″N","14°30′34.99″E","been"
