"name","latitude","longitude","been"
"Griefswalder Straße","52.53619°N","13.43299°E","been"
"Westring","52.12976°N","11.60532°E","todo"
"Quellenplatz","48°10′32.3″N","16°22′24.7″E","been"
"I. P. Pavlova","50.07543°N","14.43021°E","been"
"Rondo Czyżyńskie","50°4′24.31″N","20°1′2.89″E","todo"
"Spadina / King","43°38′43.73″N","79°23′42.09″W","been"
"Anton / Leipziger Straße","51°3′47.55″N","13°44′13.53″E","todo"
"Römerkreis","49.40547°N","8.68445°E","todo"
"Rondo Mogilskie","50.06553°N","19.95892°E","todo"
"Stadhaus / Puschkinpromenade","51°45′39.86″N","14°19′51.39″E","todo"
"Entenfang","49.01030°N","8.35887°E","todo"
"Balaclava Junction","37.87266°S","145.024717°E","todo"
"Jana Pawła II","52°23′57.53″N","16°57′8.97″E","todo"
"Jugoslávská","49°12′16.24″N","16°37′25.54″E","been"
"Vogelweide","51.45679°N","11.97213°E","todo"
"Albertplatz","51.06377°N","13.74681°E","todo"
"Allee-Center","52.13100°N","11.63631°E","todo"
"Westplatz","51°20′20.36″N","12°21′44.96″E","todo"
"Felsenkeller","51°19′56.49″N","12°20′19.68″E","todo"
"Barbarossaplatz","50°55′42.9″N","6°56′33.7″E","todo"
"Pirneischer Platz","51.04946°N","13.74421°E","todo"
"Tullastraße","49.00641°N","8.43112°E","todo"
"Waldheim","52.34631°N","9.77495°E","todo"
"Palackého","49°35′44.42″N","17°14′50.27″E","been"
"Palackého Náměstí","50°4′23.19″N","14°24′50.30″E","been"
"Hasselbachplatz","52.12057°N","11.62758°E","todo"
"Vukovarska / Držićeva","45.80113°N","15.999°E","todo"
"Rondo Nowaka-Jeziorańskiego","52°24′9.54″N","16°53′20.65″E","todo"
"Paradeplatz","49.48777°N","8.46620°E","todo"
"Hagenmarkt","52.26773°N","10.52460°E","todo"
"Allee der Kosmonauten","52.52595°N","13.51956°E","been"
"Overtoom","52.36290126","4.87517309","been"
"Kilińskiego-Praybyszewskiego","51.74544°N","19.47609°E","todo"
"Reileck","51.49541°N","11.96624°E","todo"
"Plac Rodła","53.43181°N","14.55480°E","todo"
"Rüppurrer Tor","49.00443°N","8.41039°E","todo"
"49th & Woodland","39.94087°N","75.21263°W","been"
"Zentralhaltstelle","50.83139°N","12.92227°E","todo"
"Starowiślna","50.05651°N","19.94541°E","todo"
"Józefa Dietla","50°3′6.26″N","19°56′30.22″E","todo"
"Spui / Grotemarktstraat","52.07611","4.31111","been"
"Otakarova","50.06532°N","14.43972°E","been"
"Berliner Allee","51.21889°N","6.78199°E","todo"
"Saalburg / Wittelsbacherallee","50.12459°N","8.71341°E","todo"
"Waldplatz","51°20′31.31″N","12°21′31.15″E","todo"
"Mercatorplein","52.369444","4.850556","been"
"Vasteland / Westzeedijk","51.90389","4.45583","been"
"Gare de Saint Denis","48.93622°N","2.34688°E","been"
"Dreieck","51.24076°N","6.78214°E","todo"
"Kilińskiego-Narutowicza","51.77120°N","19.46341°E","todo"
"Rondo Olszewskiego","53.45860°N","14.50217°E","todo"
"Dufferin / King","43°38′20.15″N","79°25′38.45″W","todo"
"Landsberger Allee","52.52638°N","13.44773°E","been"
"Adler","51°19′12.95″N","12°19′48.80″E","todo"
"Weinbrennerplatz","49.00565°N","8.37781°E","todo"
"Piłsudskiego–Śmigłego-Rydza","51.76155°N","19.48509°E","todo"
"Palmovka","50°6′12.65″N","14°28′23.89″E","been"
"South Hills Junction","40.4209°N","80.0073°W","been"
"Hattulantie","60.19450°N","24.95700°E","todo"
"Ostfriedhof","48°07′8.6″N","11°35′1″E","todo"
"Schweiggerstraße","49.44150°N","11.08997°E","todo"
"Schaerbeek","50.87278°N","4.36922°E","been"
"Kilińskiego-Piłsudskiego","51.76026°N","19.46879°E","todo"
"Rondo Kosmyrzowskie","50°4′46.65″N","20°1′38.49″E","todo"
"Marienhospital","51.23510°N","6.78274°E","todo"
"Marxlou Pollmann","51°30′7.44″N","6°45′25.78″E","todo"
"Hobujaama","59.43724°N","24.75728°E","todo"
"Bathurst / King","43°38′38.14″N","79°24′9.50″W","todo"
"Aeschenplatz","47°33′4.83″N","7°35′41.89″E","been"
"Mollstraßse/Prenzlauer Allee","52.52702°N","13.41568°E","been"
"De Pijp","52°21′11″N","4°53′46″E","been"
"Hauptbahnhof","51.04057°N","13.73420°E","todo"
"Legionów–Zachodnia","51.77656°N","19.45215°E","todo"
"Monstersestraat","52°04′23″N","4°17′32″E","been"
"Berliner Platz","48.77812°N","9.16772°E","todo"
"Dąbrowskiego-Kilińskiego","51.73844°N","19.47877°E","todo"
"Rohnbachstraße","50.12747°N","8.69212°E","todo"
"Franckeplatz","51.47852°N","11.97028°E","todo"
"Helenenstraße","51.46070°N","6.98021°E","todo"
"Schumann Straße","51°21′44.93″N","12°21′55.79″E","todo"
"Rathaus / Fünffensterstraße","51°18′43.02″N","9°29′29.64″E","todo"
"Morsestraße","51.21102°N","6.78267°E","todo"
"Franklina Roosevelta","52°24′37.94″N","16°54′48.53″E","todo"
"Kościuszki-Zielona","51.77037°N","19.45342°E","todo"
"Simonkatu","60.1699°N","24.9385°E","todo"
