"name","latitude","longitude","been"
"Kirstenbosch","33°59′15″S","18°25′57″E","todo"
"Kew Gardens","51°28′44″N","00°17′37″W","been"
"Crystal Palace","51.4226°N","0.0756°W","been"
"Serres Royales de Laeken","50.888391°N","4.360354°E","been"
"Ballarat Botanical Gardens","37°32′48″S","143°49′20″E","todo"
"Amazon Spheres","47.615555555556","-122.33944444444","been"
"Barbican Conservatory","51.5202°N","0.095°W","been"
"Biosphere 2","32.578778 °N","110.850594 °W","todo"
"Beijing Botanical Garden","39.992789°N","116.20934°E","todo"
"Bloedel Floral Conservatory","49.2421°N","123.1138°W","todo"
"Belfast Botanic Gardens","54°34′50″N","5°55′50″W","todo"
"Lincoln Park Conservatory","41.924°N","87.6353°W","been"
"Lalbagh Botanical Garden","12.95°N","77.59°E","been"
"Botanischer Garten Berlin","52.455","13.3036","todo"
"Franklin Park Conservatory","39.965859°N","82.95289°W","todo"
"Centennial Park Conservatory","43°38′58″N","79°35′18″W","todo"
"Muttart Conservatory","53.53522°N","113.4765°W","todo"
"New York Botanical Garden","40°51′49″N","73°52′42″W","been"
"Springburn Winter Gardens","55°53′20.5″N","4°13′37.1″W","todo"
"Eden Project","50°21′43″N","4°44′41″W","todo"
"Tollcross Winter Gardens","55.8437°N","4.1719°W","todo"
"United States Botanic Garden","38.888°N","77.013°W","been"
"Botanic Gardens of Baltimore","39°19′7″N","76°38′46″W","todo"
"Assiniboine Park Conservatory","49°51′46″N","97°14′40″W","todo"
"Conservatory of Flowers","37°46′19.2″N","122°27′36″W","been"
"Jardin des Plantes","48.84396°N","2.3596°E","been"
"Copenhagen Botanical Gardens","55°41′13″N","12°34′26″E","todo"
"Phipps Conservatory","40.438948°N","79.947705°W","been"
"Gardens by the Bay","1°17′5″N","103°51′54″E","todo"
"Sefton Park","53°23′N","2°56′W","todo"
"Anthæum, Hove","50.8259°N","0.1637°W","todo"
"Shanghai Botanical Garden","31.147778°N","121.438056°E","todo"
"Stanley Park","53.433981°N","2.959614°W","todo"
"Helsinki Botanic Garden","60°10′20″N","24°56′51″E","todo"
"Allan Gardens","43°39′42″N","79°22′28″W","todo"
"South China Botanical Garden","23.1868°N","113.3642°E","todo"
"Adelaide Botanic Gardens","34.9181°S","138.6107°E","todo"
"Chatsworth Great Conservatory","53°13′40″N","1°36′36″W","todo"
"Hanging Gardens of Babylon","32.5355°N","44.4275°E","todo"
"Royal Botanic Garden","55°57′54″N","3°12′36″W","todo"
"Palmenhaus Schönbrunn","48°11′05″N","16°18′10″E","been"
"Fitzroy Gardens, Melbourne","-37.8126","144.98","todo"
