"name","latitude","longitude","been"
"Clapham Junction","51.4646°N","0.1705°W","been"
"Massy–Palaiseau","48.724114°N","2.259434°E","been"
"Nation","48.8484657505532°N","2.39590574456544°E","been"
"Epping","51.6938°N","0.1137°E","been"
"Ashmont","42.2843°N","71.0638°W","been"
"Palettes","46.2103","6.14333","been"
"Trinitat Nova","41°26′54.89″N","2°11′6.89″E","been"
"69th Street","39.963076°N","75.259995°W","been"
"Estadio Metropolitano","40.4333937°N","3.6001502°W","todo"
"Porte de Vincennes","48°50′50″N","2°24′40″E","been"
"Pittsburg/Bay Point","38.029166666667","-121.96166666667","todo"
"Pinar de Chamartin","40.4744°N","3.6697°W","todo"
"Obelya","42°44′27″N","23°16′35″E","todo"
"Villejuif–Louis Aragon","48.787175476521305°N","2.3675644397735596°E","been"
"Hainault","51.6033°N","0.0933°E","been"
