"name","latitude","longitude","been"
"Mount Hermon","33°24′58″N","35°51′27″E","todo"
"Ta’Dmejrek","35.845833333333","14.396388888889","todo"
"Yu Shan","23°28′12″N","120°57′26″E","todo"
"Chappal Waddi","07°02′10″N","11°42′54″E","todo"
"Mount Greylock","42.63726°N","73.16599°W","been"
"Gerlachovský Štít","49°09′50.5″N","20°08′02.5″E","todo"
"Mount Rainier","46°51′11″N","121°45′38″W","been"
"Triglav","46°22′42″N","13°50′12″E","todo"
"Mont Blanc","45°49′58″N","06°51′54″E","been"
"Mount Washington","44°16′13.8″N","71°18′11.7″W","todo"
"Puy de Sancy","45°31′42″N","2°48′51″E","been"
"Tai Mo Shan","22°24′42.52″N","114°7′23.32″E","todo"
"Ismoil Somoni Peak","38°56′36″N","72°00′58″E","todo"
"Zla Kolata","42°29′06″N","19°53′50″E","todo"
"Kneiff","50°9′27.7″N","6°2′13.8″E","been"
"Mount Frissell","42.051093558°N","73.481977744°W","been"
"Mount Kosciuszko","36°27′21″S","148°15′49″E","todo"
"Maldives","4.18°N","73.51°E","todo"
"Aconcagua","32°39′11″S","70°00′42″W","todo"
"Mount Ararat","39.7019°N","44.2983°E","todo"
"K2","35.87318°N","76.57692°E","todo"
"Mount Mansfield","44.543946911°N","72.814309717°W","todo"
"Velika Rudoka","41°55′6″N","20°46′35″E","todo"
"Emlembe","25°55′00″S","31°08′00″E","todo"
"Mount Rogers","36.6598406°N","81.5445575°W","been"
"Carrauntoohil","51.999445°N","9.742693°W","todo"
"Musala","42°10′47″N","23°35′12″E","todo"
"Gangkhar Puensum","28°02′54″N","90°27′15″E","todo"
"Mount Davis","39.7861908°N","79.1758631°W","todo"
"High Point","41.32095°N","74.66155°W","been"
"The Bluff","19°44′00″N","79°45′00″W","todo"
"Marshall Islands","7°7′N","171°4′E","todo"
"Mount Constitution","48.677569028°N","122.831162383°W","been"
"Mount Paektu","41°59′36″N","128°04′39″E","todo"
"Pico da Neblina","0°48′17″N","66°00′24″W","todo"
"Hoverla","48°09′36″N","24°30′01″E","todo"
"Kékes","47°52′44″N","20°0′37″E","todo"
"Hoye-Crest","39.237329°N","79.4853308°W","todo"
"Mount Catherine","28°30′42″N","33°57′09″E","todo"
"Jerimoth Hill","41.8495431°N","71.778681°W","been"
"Monte Titano","43°56′06″N","12°27′00″E","todo"
"Mount Fuji","35°21′39″N","138°43′39″E","been"
"Snowdon","53.068865°N","4.075588°W","been"
"Vaalserberg","50°45′17″N","6°01′15″E","been"
"Mount Apo","6°59′15″N","125°16′15″E","todo"
"Khan Tengri","42°12′39″N","80°10′30″E","todo"
"Mont Panié","20°35′18″S","164°46′15″E","todo"
"Bukit Timah Hill","1°21′16.85″N","103°46′34.95″E","todo"
"Mount Olympus","40°05′08″N","22°21′31″E","todo"
"Montanha do Pico","38°28′08″N","28°23′56″W","todo"
"Korab","41°47′28″N","20°32′52″E","todo"
"Mount Yasur","19°31′42″S","169°26′54″E","been"
"Dufourspitze","45°56′12.6″N","7°52′01.4″E","todo"
"Grossglockner","47°04′29.52″N","12°41′42.9″E","todo"
"Midžor","43°23′38″N","22°40′54″E","todo"
"Volcán Citlaltépetl","19°01′48″N","97°16′12″W","todo"
"Suur Munamägi","57°42′52″N","27°03′33″E","todo"
