"name","latitude","longitude","been"
"Cabrini-Green Homes","41°54′1.5″N","87°38′24.5″W","been"
"Hernandez Houses","40.7221°N","73.9895°W","been"
"Victor-Adler-Hof","48.1725","16.3528","been"
"Frederick Douglass Houses","40.79757°N","73.96466°W","been"
"Polo Grounds Towers","40.8326°N","73.9393°W","been"
"Goethehof","48.229851","16.4194","been"
"Farragut Houses","40.7°N","73.983°W","been"
"Gompers Houses","40.7181°N","73.9819°W","been"
"Pruitt-Igoe","38°38′32.24″N","90°12′33.95″W","todo"
"Cité Radieuse de Marseille","43.2614","5.39639","todo"
"Wagner Houses","40.80026°N","73.9323°W","been"
"Karl-Seitz-Hof","48.262694","16.388387","been"
"Chelsea Houses","40.74888°N","74.00153°W","been"
"George-Washington-Hof","48.17021111111111","16.34761111111111","been"
"Baruch Houses","40.7175°N","73.9772°W","been"
"Patterson Houses","40.8139896°N","73.9234703°W","been"
"Bay View Houses","40.63461°N","73.88792°W","been"
"Prospect Plaza","40.67272°N","73.91783°W","been"
"Bridge Apartments","40.8476°N","73.9349°W","been"
"Sotomayor Houses","40.826618°N","73.866358°W","been"
"LaGuardia Houses","40.71263°N","73.98726°W","been"
"Isaacs Houses","40.78132°N","73.94551°W","been"
"Lassalle-Hof","48.223407","16.401349","been"
"Forest Hills Houses","40.7362°N","73.8508°W","been"
"St. Nicholas Houses","40.81054°N","73.94811°W","been"
"Morrisania Air Rights","40.824258°N","73.917453°W","been"
"Williamsburg Houses","40°42′36″N","73°56′36″W","been"
"Alfred E. Smith Houses","40.711°N","73.999°W","been"
"Riis Houses","40.723917°N","73.974659°W","been"
"Breevort Houses","40.67933°N","73.92258°W","been"
"Friedrich-Engels-Platz","48.2458","16.3779","been"
"Stuyvesant Town","40.732°N","73.978°W","been"
"Carver Houses","40.7906°N","73.9506°W","been"
"First Houses","40°43′25″N","73°59′9″W","been"
"Bronx River Houses","40.83382°N","73.87667°W","been"
"South Jamaica Houses","40.6977°N","73.796°W","been"
"Red Hook East Houses","40.675838°N","74.004608°W","been"
"Co-op City","40.874°N","73.829°W","been"
"Glenwood Houses","40.636106°N","73.919218°W","been"
"Soundview Houses","40.816°N","73.868°W","been"
"Amsterdam Houses","40.773139°N","73.986444°W","been"
"Council Estates in the UK","51.487°N","0.14°W","todo"
"Paul-Speiser-Hof","48.252719","16.399789","been"
"Elliott Houses","40.74888°N","74.00153°W","been"
"Seth Low Houses","40.6683°N","73.86699°W","been"
"Piazza Grande","44.645924","10.925614","been"
"Marcy Houses","40.697°N","73.951°W","been"
"Manhattanville Houses","40.81623°N","73.95714°W","been"
"Karl-Marx-Hof","48°15′10″N","16°21′54″E","been"
"Fulton Houses","40.74325°N","74.003972°W","been"
"Harlem River Houses","40°49′33″N","73°56′12″W","been"
"Grant Houses","40.81383°N","73.95791°W","been"
"Holmes Towers","40.781319°N","73.945511°W","been"
"Forest Houses","40.82504°N","73.90466°W","been"
"Clinton Houses","40.7973°N","73.94258°W","been"
"Rutgers Houses","40.711852°N","73.991001°W","been"
"Sandleitenhof","48.22265","16.305119444444443","been"
"Baisley Park Houses","40.6849°N","73.7823°W","been"
"Breukelen Houses","40.651°N","73.894°W","been"
"Queensbridge Houses","40.755°N","73.945°W","been"
"Metzleinstaler Hof","48.181330555555554","16.34881111111111","been"
"Peter Cooper Village","40.732°N","73.978°W","been"
"Reumannhof","48.18265","16.347880555555555","been"
"Walt Whitman Houses","40.69346°N","73.96592°W","been"
