"name","latitude","longitude","been"
"San José de la Estrella","33°33′12.95″S","70°35′11.61″W","todo"
"Takanawa Gateway","35.636389°N","139.741389°E","todo"
"10th Avenue","40.759°N","73.996°W","todo"
"Prince Edward","22.3245°N","114.1683°E","todo"
"Mong Kok","22.3191°N","114.1694°E","todo"
"Wilhelminaplein","51°54′26″N","4°29′38″E","been"
"Oakton–Skokie","42.0273°N","87.7476°W","todo"
"Assembly","42°23′32.48″N","71°4′38.40″W","been"
"Saint Louis","13.7209°N","100.5268°E","todo"
"Walkley","45°22′08″N","75°40′02″W","todo"
"West 3rd","41°30′15″N","81°41′57″W","todo"
"NoMa–Gallaudet U","38.9070253°N","77.0031528°W","been"
"Wood Lane","51°30′35.27″N","0°13′27″W","been"
"Casa de Campo","40.4032414°N","3.7610123°W","been"
"Zia Road","35.6464°N","105.957°W","todo"
"Fo Tan","22.3953°N","114.1982°E","todo"
"Capstan","49.189254°N","123.131677°W","todo"
"Toranomon Hills","35.667156°N","139.747657°E","todo"
"Tameike-Sannō","35.672803°N","139.741416°E","todo"
"Morgan","41.8856°N","87.6522°W","todo"
"Beitaipingzhuang","39.96644","116.363963","todo"
"Tiantongyuan","40.075222°N","116.412759°E","todo"
"Farmdale","34.024°N","118.346°W","todo"
"Créteil-Pompadour","48.771705°N","2.435188°E","been"
"Yau Ma Tei","22.3129°N","114.1707°E","todo"
"Yongdu","37.574°N","127.03807°E","todo"
"Gangmae","37.6123°N","126.8435°E","todo"
"Wonheung","37.650444°N","126.873777°E","todo"
"Nam Cheong","22.3268°N","114.1533°E","todo"
"Årstaberg","59°18′0″N","18°1′45″E","todo"
"Corso Italia","45°24′15″N","75°42′52″W","todo"
"Sunny Bay","22.3318°N","114.0288°E","todo"
"Oldenfelde","53°37′4″N","10°7′44″E","todo"
"North York Centre","43°46′06″N","79°24′46″W","todo"
"Qinghe","40°02′19″N","116°18′36″E","todo"
"Dover","1°18′40.73″N","103°46′43.17″E","todo"
"Beiyunhedong","39.902006°N","116.701131°E","todo"
"Darwol","37.3801°N","126.7454°E","todo"
"Príncipe Pío","40.4210681°N","3.7203687°W","been"
"First Avenue","40.4375°N","79.9966°W","been"
"Tai Wai","22.3731°N","114.1786°E","todo"
"Dongmyo","37°34′19″N","127°00′51″E","todo"
"American Boulevard","44.85873°N","93.22314°W","todo"
"Imae","37°23′44.63″N","127°07′42.12″E","todo"
"Jukjeon","37°19′30″N","127°06′37″E","todo"
"Damen","41°53′6″N","87°40′37″W","todo"
"Tai Wo","22.4511°N","114.1611°E","todo"
"Franklin Square","39.95465°N","75.14953°W","todo"
"Eugenia de Montijo","40.3843858°N","3.7512112°W","todo"
"Rosa Parks","48°53′47″N","2°22′27″E","been"
"West Dublin/Pleasanton","37°39′30.28″N","121°52′55.9″W","todo"
"Embarcadero","37°47′35″N","122°23′50″W","been"
"Kowloon Tong","22.337°N","114.1762°E","todo"
"Peachtree Center","33.759677°N","84.387548°W","todo"
"Dangjeong","37°20′40″N","126°56′54″E","todo"
"Langdon Park","51.515173°N","0.014119°W","been"
"Lake City Way","49.25458°N","122.93903°W","todo"
"Potomac Yard","38.83335°N","77.04635°W","todo"
"Zhoujiazhuang","39.8551°N","116.47066°E","todo"
"Quincy Adams","42.232894°N","71.008083°W","been"
"Canal","40.4384107°N","3.7043304°W","todo"
"Cermak–McCormick Place","41.8531548°N","87.626423°W","todo"
"Erligou","39.931025°N","116.327294°E","todo"
"Northumberland Park","55.0331107°N","1.5198212°W","todo"
"Kandan","39.833599°N","116.26654°E","todo"
"Canberra","01°26′35″N","103°49′47″E","todo"
"Pudding Mill Lane","51.5341°N","0.0138°W","been"
