"name","latitude","longitude","been"
"Lake Volta","6°30′N","0°0′E","todo"
"Crater Lake","42.91183°N","122.14807°W","todo"
"Lake Powell","36°56′10″N","111°29′03″W","todo"
"Lake Quinault","47°28′34.96″N","123°52′12.59″W","been"
"Lake Naivasha","0°46′6.70″S","36°21′2.32″E","been"
"Bussloo","52.1981°N","6.1314°E","todo"
"Lake Winnipeg","52°7′N","97°15′W","todo"
"Great Salt Lake","41°10′N","112°32′W","been"
"Lake Victoria","1°S","33°E","been"
"Uvs Lake","50°18′N","92°42′E","todo"
"Lake Erie","42.2°N","81.2°W","been"
"IJsselmeer","52°49′N","5°15′E","been"
"Étang de Lavalduc","43°27′51″N","4°58′8″E","been"
"Lake Superior","47.7°N","87.5°W","todo"
"Mono Lake","38.0165908°N","119.0093116°W","todo"
"Lake Trasimeno","43.14°N","12.10°E","been"
"Lake Tanganyika","6.1°S","29.5°E","todo"
"Lake Lugano","45°59′N","8°58′E","been"
"Lake Tana","12°0′N","37°15′E","been"
"Reindeer Lake","56.336°N","103.2825°W","todo"
"Lake Malawi","12°00′S","34°30′E","todo"
"Loch Ness","57°18′N","4°27′W","been"
"Lake Ahémé","6.495°N","1.975°E","been"
"Lake Balaton","46°51′00″N","17°43′12″E","todo"
"Lake Huron","44.8°N","82.4°W","todo"
"Lake Congamond","42°03′17″N","72°46′15″W","been"
"Lake Titicaca","15°49′30″S","69°19′30″W","todo"
"Lake Morat","46°56′N","7°5′E","been"
"Sarygamysh Lake","42°00′N","57°20′E","todo"
"Lake Onega","61°41′26″N","35°39′20″E","todo"
"Lake Balkhash","46°10′N","74°20′E","todo"
"Cayuga Lake","42°41′17″N","76°42′8″W","been"
"Lake Albert","1°41′N","30°55′E","todo"
"Aral Sea","45°N","60°E","todo"
"Mountain Lake","43.93888889","-94.92972222","been"
"Lake Geneva","46°27′N","6°33′E","been"
"Lake Baikal","53°30′N","108°0′E","todo"
"Lake Manitoba","50°59′N","98°48′W","todo"
"Grimselsee","46°34′10.52″N","8°19′38.66″E","been"
"Lake Vostok","77°30′S","106°00′E","todo"
"Lake Kivu","2°0′S","29°0′E","been"
"Gour de Tazenat","45°59′N","2°59′E","todo"
"Lake Chaubunagungamaug","42°02′30″N","71°50′30″W","been"
"Lake of the Woods","49°14′59″N","94°45′03″W","todo"
"Lake Nicaragua","11°37′N","85°21′W","todo"
"Lake Turkana","3°35′N","36°7′E","todo"
"Loch Lomond","56°04′N","4°35′W","been"
"Lake Como","46°00′N","9°16′E","todo"
"Lake Michigan","44°N","87°W","been"
"Saimaa","61°15′N","028°15′E","todo"
"Seneca Lake","42°39′20″N","76°53′51″W","been"
"Lake Crescent","48.06°N","123.83°W","been"
"Lake Constance","47°35′N","9°28′E","todo"
"Leaser Lake","40°40′07″N","75°50′05″W","been"
"Caspian Sea","42.0°N","50.5°E","todo"
"Lake Okeechobee","26°56′N","80°48′W","todo"
"Keuka Lake","42°29′47″N","77°08′46″W","been"
"Lake Ladoga","61°00′N","31°30′E","todo"
"Lake Pontchartrain","30°11′20″N","90°06′05″W","todo"
"Great Bear Lake","65°50′01″N","120°45′06″W","todo"
"Thunersee","46°41′N","7°43′E","been"
"Lake Athabasca","59°22′1″N","108°0′4″W","todo"
"Lake Washington","47°37′N","122°16′W","been"
"Kenoza Lake","41°44′00″N","74°56′59″W","been"
"Dublin Pond","42°54′23″N","72°05′02″W","been"
"Lake Peipus","58°41′N","27°29′E","todo"
"Lake Champlain","44.53°N","73.33°W","todo"
"Dechantlacke","48.183333°N","16.516667°E","been"
"Lake Elmenteita","0°27′S","36°15′E","been"
"Vänern","58°55′N","13°30′E","todo"
"Lake Ontario","43.7°N","77.9°W","been"
"Lake Chad","DD°MM′SS″N","DD°MM′SS″W","todo"
