"name","latitude","longitude","been"
"Nauset","41°51′36.5″N","69°57′10.6″W","been"
"Navesink Twin Lights","40°23′46.4″N","73°59′8.8″W","been"
"Cape Cod","42°2′22.282″N","70°3′39.377″W","been"
"Little Red Lighthouse","40.850278","-73.946944","been"
"Fort Pickering","42°31′35.3″N","70°51′59.3″W","been"
"Cape Charles","37.12292°N","75.90647°W","been"
"Hillsboro Inlet Light","26°15′32″N","80°4′51″W","been"
"Absecon","39°21′58″N","74°24′51″W","been"
"Fenwick Island","38.45137°N","75.05496°W","been"
"Akranes","64.3158059°N","22.09466°W","been"
"Race Point*","42°3′44.4″N","70°14′34.9″W","been"
"Cape May","38°55′58.8″N","74°57′37.5″W","been"
"Blackwell Island","40°46′22″N","73°56′24.6″W","been"
"Portsmouth Harbor","43°4′15.7″N","70°42′30.9″W","been"
"Point Perpendicular Light","35.09393°S","150.80458°E","todo"
"Chatham","41°40′16.704″N","69°57′.554″W","been"
"Assateague","37.91118°N","75.356°W","been"
"Alexandria","31.2148°N","29.886°E","been"
"Montauk","41.07099°N","71.85709°W","been"
"Whaleback Light","43°3′31.534″N","70°41′46.701″W","been"
"Fort Washington","38.712","-77.037","been"
"Slettnes","71°05′22.6″N","28°13′06.2″E","todo"
"Devín","48°10′25″N","16°58′42″E","been"
"Jupiter Inlet Light","26.94861°N","80.08204°W","been"
"Rondout Light","41°55′15″N","73°57′45″W","been"
"Watch Hill","41°18′14″N","71°51′30.3″W","been"
"Cape Disappointment","46.2756°N","124.0518°W","been"
"Nubble Light","43°9′54.733″N","70°35′27.943″W","been"
"Admiralty Head","48°9′38.75″N","122°40′52.2″W","been"
"North Head","46.2990°N","124.0785°W","been"
"Fire Island","40°37′56.8″N","73°13′6.9″W","been"
"Hospital Point","42°32′47.4″N","70°51′21.4″W","been"
"Jones Point","38°47′25.4″N","77°2′26.3″W","been"
"Long Point","42.03313°N","70.16865°W","been"
"Five Mile Point","41.248889","-72.903889","been"
"Wood End","42°1′16.4″N","70°11′36.6″W","been"
"Märkets Fyr","60°18′03″N","19°07′53″E","todo"
"Cape Flattery","48.3917°N","124.7366°W","been"
"Fort Wadsworth","40°36′21″N","74°3′14″W","been"
"Faro de Punta Orchilla","27.706665°N","18.147496°W","todo"
