"name","latitude","longitude","been"
"14th & Colorado","38.95558° N","77.03317° W","been"
"40th & Filbert","39.95787° N","75.20183° W","been"
"41st & Parkside","39.97527° N","75.20664° W","been"
"45th & Lancaster","39.96959° N","75.21271° W","been"
"61st & Baltimore","39.94353° N","75.24664° W","been"
"63rd & Girard","39.97036° N","75.24516° W","been"
"63rd & Malvern","39.98391° N","75.24610° W","been"
"69th St Transportation Center","39.963076°N","75.259995°W","been"
"80th & Eastwick","39.89886° N","75.23939° W","been"
"Ahrensfelde/Stadtgrenze","52.57315° N","13.57430° E","been"
"Alfred-Adler-Straße","48.18291° N","16.38131° E","been"
"Alt-Schmöckwitz","52.37496° N","13.64985° E","been"
"Altes Wasserwerk","52.44811° N","13.63972° E","been"
"Altitude Cent","50.81664° N","4.33671° E","been"
"Anděl","50.06953° N","14.40448° E","been"
"Ansan Street","39.01863°N","125.71740°E","todo"
"Antonigasse","48.22614° N","16.33056° E","been"
"Antwerpen Centraal","51.21844° N","4.42115° E","been"
"Arabia","60.20862° N","24.97888° E","todo"
"Arden Mines","40.21837°N","80.26107°W","todo"
"Arnold Spoelplein","52.05477° N","4.23375° E","been"
"Ashmont","42.28366° N","71.06345° W","been"
"Aspern","48.21705° N","16.48135° E","been"
"Asperngasse","47.07301° N","15.41170° E","been"
"Astronomická","48.15888° N","17.17860° E","been"
"Augasse","48.23002° N","16.35711° E","been"
"Avaz","43.84420° N","18.33508° E","been"
"Babická","49.22809° N","16.65272° E","been"
"Bankaplein","52.09312° N","4.30296° E","been"
"Baumgarten","48.19937° N","16.27075° E","been"
"Bay Head","40.07661° N","74.05233° W","been"
"Baščaršija","43.859°N","18.43°E","been"
"Bellevue","45.41573° N","4.39365° E","been"
"Belvedere","48.18716° N","16.38250° E","been"
"Bern Bahnhof","4646.94681° N","7.43995° E","been"
"Bienfaiteurs","50.85800° N","4.38423° E","been"
"Blok 45","44.79295° N","20.37449° E","been"
"Boechout","51.16875° N","4.49332° E","todo"
"Bolivarplaats","51.20429° N","4.38852° E","been"
"Boston College","42°20′06″N","71°10′13″W","been"
"Breitenzee","48.19868° N","16.30657° E","been"
"Brunnen Westside","46.94434° N","7.37480° E","todo"
"Bruno-Marek-Allee","48.22892° N","16.39235° E","been"
"Burggasse Stadthalle","48.20192° N","16.33835° E","been"
"Bílá Hora","49.19633° N","16.65427° E","been"
"Börse","48.21612° N","16.36550° E","been"
"Bümpliz","46.93745° N","7.38036° E","been"
"Cabin John","38.96645° N","77.13803° W","todo"
"Calvert Bridge","38.92353° N","77.04709° W","been"
"Campolide","38.72716° N","9.16202° W","been"
"Campus 2","49.21309° N","0.36471° W","been"
"Canarsie Pier","40.62991° N","73.88528° W","been"
"Canarsie–Rockaway Parkway","40.64562° N","73.90204° W","been"
"Castricumplein","52.05980° N","4.26564° E","been"
"Castro","37.76315° N","122.43371° W","been"
"Causeway Bay","22.27217° N","114.18290° E","todo"
"Cemitério Ajuda","38.70957° N","9.20314° W","been"
"Charles de Gaulle-Étoile","48.8744076036607°N","2.29576268465124°E","been"
"Charlotte Street","43.64636° N","79.39460° W","been"
"Chevy Chase","38.96652° N","77.07703° W","been"
"Churchill","50.81191° N","4.35394° E","been"
"City Hall","40.7126°N","74.0067°W","been"
"Croydon","51.37646° N","0.10124° W","been"
"Darby Transportation Center","39.9192°N","75.2624°W","been"
"De Panne","51.07797° N","2.60047° E","been"
"De Savornin Lohmanplein","52.06746° N","4.24492° E","been"
"De Uithof","52.03936° N","4.24586° E","been"
"Delft Tanthof","51.98095° N","4.35171° E","been"
"Den Haag Centraal","52°4′54″N","4°19′45″E","been"
"Denfert-Rochereau","48.83290° N","2.33382° E","been"
