"name","latitude","longitude","been"
"Black Volta","8°41′00″N","1°33′00″W","todo"
"Neusiedlersee","47°50′N","16°45′E","been"
"Amu Darya","37°06′21″N","68°18′23″E","todo"
"Saint Peter’s Square","41.9022°N","12.4572°E","been"
"Neuendorf-Sachsenbande","53°57′45″N","09°20′00″E","todo"
"Lagos Island","6°27′N","3°24′E","been"
"Limpopo River","24.1913°S","26.8708°E","todo"
"White Nile","2°16′56″S","29°19′52″E","todo"
"Neman","53°15′10″N","27°18′21″E","todo"
"Sabkhat Ghuzayyil","29°50′N","19°45′E","todo"
"Death Valley","36°15′01″N","116°49′33″W","been"
"Zuidplaspolder","52.02°N","4.614722°E","been"
"Qattara Depression","30°0′N","27°30′E","been"
"Gran Valira","42.5116°N","1.5357°E","been"
"Nemunas Delta","55°18′00″N","21°00′00″E","todo"
"Lagunillas","21.58333333","-99.56666667","todo"
"White Drin","42°5′30″N","20°23′41″E","todo"
"Lake Champlain","44.53°N","73.33°W","todo"
"Ruzizi River","02°29′27″S","28°53′35″E","todo"
"Lake Enriquillo","18°30′N","71°35′W","todo"
"Danakil Depression","14.2417°N","40.3°E","todo"
"Vestfold Hills","68°33′S","78°15′E","todo"
"Vpadina Akchanaya","41.05","58.25","todo"
"Caspian Sea","42.0°N","50.5°E","todo"
"Lammefjord","55.77°N","11.5°E","todo"
"Timok River","43°55′12″N","22°17′52″E","todo"
"Lake Assal","11°39′N","42°25′E","todo"
"Harpers Ferry","39°19′40″N","77°44′47″W","been"
"Sebjet Tah","27.713°N","12.777°W","todo"
"Lake Maggiore","46°05′53″N","08°42′53″E","been"
"Ubangi River","4°7′41.2824″N","22°25′59.682″E","todo"
"Makhaleng River","30.3253°S","27.3764°E","todo"
"Debed","41.3753°N","44.9652°E","todo"
"Dead Sea","31°30′N","35°30′E","been"
"Shatt al Gharsah","34.07°N","7.52°E","todo"
"Lake Tanganyika","6.1°S","29.5°E","todo"
"Runde River","21.3133°S","32.4025°E","todo"
"Shire River","14°25′25″S","35°14′10″E","todo"
"Tisza","48°4′29″N","24°14′40″E","todo"
"Kuttanad","9°25′30″N","76°27′50″E","todo"
"Lake Eyre","28°40′S","137°20′E","todo"
"Hoh Nuur","49°30′47.8″N","115°34′51.9″E","todo"
"Karagiye Depression","43°24′0″N","51°47′24″E","todo"
"Dniester","49°12′44″N","22°55′40″E","been"
"Sebkha Tah","27.713°N","12.777°W","todo"
"Kara Darya","40.6487°N","73.4228°E","todo"
"Syr Darya","40°54′03″N","71°45′27″E","todo"
"Paraguay River","14.627°S","56.502°W","todo"
"Sebkha de Ndrhamcha","18.45°N","15.48°W","todo"
"Zambezi","11°22′11″S","24°18′30″E","todo"
"Hachiro-gata","39°54′50″N","140°01′15″E","todo"
"Elbe","50°46′32.59″N","15°32′10.14″E","been"
"Niger River","09°05′50″N","10°40′58″W","todo"
"Vardar","40°30′27″N","22°43′3″E","been"
"Sariqarnish Kuli","42°00′N","57°20′E","todo"
"Holme Fen","52.486°N","0.224°W","todo"
"Jolanda di Savoia","44°53′N","11°59′E","todo"
"Epitalio","37°37.6′N","21°29.6′E","todo"
"Veurne","51°04′N","02°39′E","been"
"Maputo River","26°11′S","32°42′E","todo"
"Marzęcino","54°14′9″N","19°13′54″E","todo"
"Laguna Salada","32.36°N","115.65°W","todo"
"Mekong","33°42.5′N","94°41.7′E","todo"
"Chott Melrhir","34°20′N","6°20′E","todo"
"Senegal River","10.395°N","12.135°W","been"
"Ausa River","44.0635°N","12.5475°E","been"
"Laguna del Carbón","49.5762°S","68.3514°W","todo"
"Moselle River","50°21′58″N","7°36′25″E","been"
"Kristianstad","56°01′46″N","14°09′24″E","todo"
"Kuyalnik Estuary","46°38′N","30°43′E","todo"
"Momona","45°55′S","170°13′E","todo"
"Lake Kulul","14°23′N","40°21′E","todo"
"Étang de Lavalduc","43°27′51″N","4°58′8″E","been"
"Ayding Lake","42°39′27″N","89°16′14″E","todo"
"Rhine","51°58′52″N","4°5′35″E","been"
"North Slob","52.38°N","6.38°W","todo"
"Drangme Chhu","26.217°N","90.633°E","todo"
"Mukhiyapatti Musharniya","26°36′20″N","85°52′50″E","todo"
"Bodrog","48°07′N","21°25′E","todo"
