"name","latitude","longitude","been"
"Pentagon City","38°51′47.6″N","77°3′38.6″W","been"
"Bronx Terminal Market","40.82037","-73.930264","been"
"Ikeja City Mall","6.5833°N","3.3333°E","been"
"Westlake Center","47°36′42″N","122°20′14″W","been"
"White Flint","39°2′30″N","77°6′26″W","been"
"K in Kortrijk","50°49′36″N","3°16′13″E","been"
"Aventura","25°57′29″N","80°08′35″W","been"
"West Edmonton Mall","53°31′22″N","113°37′23″W","been"
"Santa Monica Place","34.013621°N","118.493726°W","been"
"Chinook Centre","50°59′54″N","114°04′26″W","been"
"Créteil Soleil","48.78°N","2.457°E","been"
"Les Quatre Temps","48°53′21.603″N","02°14′17.523″E","been"
"Tysons Corner Center","38.91713°N","77.22224°W","been"
"Belle Épine","48°45′34″N","2°23′7″E","been"
"Holyoke","42°12′11″N","72°37′26″W","been"
"Sarit Centre","1°15′35″S","36°48′5″E","been"
"Val d'Europe","48.8536°N","2.7807°E","todo"
"Pacific Centre","49.28339°N","123.117911°W","todo"
"Bridgewater Commons","40°35′09″N","74°37′10″W","been"
"Westlands","01°16′12″S","36°48′36″E","been"
"Glendale Fashion Center","34.1484419°N","118.2481995°W","been"
"Mall of the Netherlands","52°5′19″N","4°23′3″E","been"
"Rosny 2","48.8836","2.47735","been"
"Fashion Show","36°7′38″N","115°10′19″W","been"
"Cherry Hill","39.941°N","75.025°W","been"
"Silesia City Center","50°16′11″N","19°00′15″E","been"
"World Trade Center","40°42′41″N","74°00′43″W","been"
"Vélizy 2","48°46′52″N","2°13′13″E","been"
"Via del Corso","41°54′21.7″N","12°28′41.78″E","todo"
"Westquay","50.90327°N","1.40692°W","been"
"Montgomery Mall","39.024278°N","77.147194°W","been"
"Gateway Center","40.44172","-80.00413","been"
"Noyelles","50.4125°N","2.977°E","been"
"Bay Plaza","40°52′4″N","73°49′31″W","been"
"Mall of America","44°51′15″N","93°14′32″W","todo"
"Manhattan Mall","40.749°N","73.989°W","been"
"Confluence","45.741405°N","4.815853°E","been"
"Docks Bruxsel","50.879167","4.372778","todo"
"Gasometer","48.185°N","16.420°E","todo"
"Carrousel du Louvre","48.860395°N","2.337599°E","been"
"Atlantic Terminal","40.684533°N","73.976781°W","been"
"COEX","37°30′43″N","127°3′32″E","been"
"Surrey Quays","51.49537°N","0.04697°W","been"
"Stratford City","51.545935°N","0.009248°W","been"
"Mall of Egypt","29.971702°N","31.017132°E","todo"
"DeVargas Center","35°41′34.03″N","105°57′2.27″W","been"
"South Hills Village","40°20′36.43″N","80°3′17.11″W","been"
"Great Mall of the Bay Area","37.415773°N","121.898012°W","been"
"Plac Unii","52°12′45″N","21°01′12″E","been"
"Willowbrook","40.889°N","74.26°W","been"
"La Part-Dieu","45°45′41″N","4°51′21″E","been"
"Mall of the Emirates","25°7′5″N","55°12′2″E","todo"
"Christiana","39°40′43″N","75°39′10″W","been"
"Dadeland","25°41′25″N","80°18′43″W","been"
"Two Rivers Mall","1°12′38″S","36°47′40″E","todo"
"Carré Sénart","48.616164°N","2.540584°E","been"
"Stanford Shopping Center","37°26′35″N","122°10′16″W","been"
"Mazza Gallerie","38.9597°N","77.0857°W","been"
"Mapleview Centre","43.3257°N","79.8202°W","been"
"American Dream","40°48′36″N","74°04′03″W","been"
"Metreon","37.784374°N","122.403424°W","been"
"Italie 2","48°49′49″N","2°21′19″E","been"
"Tysons Galleria","38.92391°N","77.22505°W","been"
"Brickell City Centre","25.767159°N","80.193087°W","been"
"Ušće","44°48′58″N","20°26′13″E","been"
"Forum des Halles","48.8625","2.34474","been"
"Vallco","37.3263°N","122.0144°W","been"
"Hudson Yards","40.7534619","-74.001186","been"
"Dubai Mall","25.1975","55.279166666667","been"
"Westgate","1°15′25″S","36°48′12″E","been"
"Palms","6°26′9″N","3°27′4″E","been"
"Woluwe","50°53′N","4°27′E","been"
"Georgetown Park","38°54′16.78″N","77°3′49.5″W","been"
"Market Street","42°32′20″N","71°02′55″W","been"
"Lotte World","37.51°N","127.1°E","been"
"Wijnegem","51.2219°N","4.4997°E","been"
"Valley Fair","37.325095°N","121.942508°W","been"
"Battersea Power Station","51°28′54″N","0°8′41″W","been"
"Bluewater","51.4396°N","0.2712°E","been"
"The Grove","34.071964°N","118.357515°W","been"
"Maine Mall","43°38′0″N","70°20′5″W","been"
"King of Prussia","40°5′18″N","75°23′25″W","todo"
"Bercy 2","48.826334°N","2.393153°E","been"
"Jaude Centre","45.7745°N","3.0838°E","been"
"Park City Center","40.0673°N","76.339°W","been"
