"name","latitude","longitude","been"
"Newkirk Avenue–Little Haiti","40.639912°N","73.94846°W","todo"
"Rizhsky Vokzal","55°47′34″N","37°37′57″E","been"
"Palermo","38°06′40″N","13°21′06″E","been"
"Strasbourg–Saint-Denis","48.869591497765406°N","2.3540085554122925°E","been"
"Florenc","50.091°N","14.439°E","todo"
"Javastraat","52.36375806","4.93710324","todo"
"Gallery Place–Chinatown","38°53′56″N","77°01′18″W","been"
"Wyoming","40.0246°N","75.1479°W","been"
"Alabama Avenue","40.67683°N","73.900008°W","been"
"Harlem","41.87349°N","87.806961°W","been"
"Argentine","48.875533092935","2.2893216639617","todo"
"Mexikoplatz","48.22657°N","16.4047°E","been"
"Surinameplein","52.358333333333334","4.852777777777778","todo"
"Dover","1°18′40.73″N","103°46′43.17″E","been"
"Liège","48.879626°N","2.326983°E","todo"
"Oporto","40.3884681°N","3.7313214°W","been"
"Zaragoza","39.5°N","3.7°W","been"
"Canada Water","51°29′49.31″N","0°2′53.71″W","been"
"República Argentina","34°36′S","58°23′W","todo"
"Toledo","40.8424°N","14.2493°E","todo"
"Sevilla","40.418054°N","3.6992503°W","todo"
"Place de Metz","49.6073°N","6.12847°E","been"
"Plaza de España","40.423391666667","-3.7122333333333","been"
"Warschauer Straße","52.506416666667","13.450955555556","been"
"Liverpool Street","51.5186°N","0.0813°W","been"
"Place d’Italie","48.831483°N","2.355692°E","been"
"Pyramides","48.8669463020695°N","2.33366506577888°E","been"
"La Paz","10°29′06.8″N","66°56′48.3″W","todo"
"Anvers","48.88278","2.34472","been"
"Dublin/Pleasanton","37°39′30.28″N","121°52′55.9″W","been"
"Waterloo","51.5025°N","0.113°W","been"
"Ecuador","00°13′12″S","78°30′43″W","todo"
"Jamaica–179th Street","40.712459°N","73.78448°W","todo"
"Florence","33.9748°N","118.243°W","todo"
"Maryland","51.546°N","0.0059°E","been"
"Kyivska","50°0′4.15″N","36°16′12.87″E","todo"
"Belgica","50°52′04″N","4°20′10″E","been"
"Vienna","38.8776013°N","77.2722884°W","been"
"Rennes","48.848193140038724°N","2.3277631402015686°E","been"
"Schwedenplatz","48.2118°N","16.3777°E","been"
"Jourdain","48.87490790405191°N","2.3892782628536224°E","todo"
"Roma","38°44′56″N","9°08′30″W","been"
"Indiana","34.0343°N","118.1922°W","been"
