"name","latitude","longitude","been"
"Dhaka","23°48′15″N","90°24′55″E","todo"
"Novosibirsk","55°03′N","82°57′E","todo"
"Santo Domingo","18°28′N","69°57′W","todo"
"Stockholm","59°19′46″N","18°4′7″E","been"
"Hamburg","53.544198°N","9.979411°E","todo"
"Dnipro","48°28′03″N","35°02′24″E","todo"
"Copenhagen","55°40′34″N","12°34′06″E","todo"
"London","51°30′26″N","00°07′39″W","been"
"Manila","14°35′45″N","120°58′38″E","todo"
"Doha","25°17′12″N","51°32′0″E","todo"
"Catania","37°30′0″N","15°5′25″E","todo"
"Washington","38.895","-77.036666666667","been"
"Kazan","55°47′47″N","49°06′32″E","todo"
"Kyoto","35°0′42″N","135°46′6″E","todo"
"Hong Kong","22.3°N","114.2°E","been"
"Tashkent","41°18′40″N","69°16′47″E","todo"
"Guangzhou","23°07′48″N","113°15′36″E","todo"
"Tokyo","35°41′23″N","139°41′32″E","been"
"Bangkok","13°45′09″N","100°29′39″E","todo"
"Nizhny Novgorod","56°19′37″N","44°00′27″E","todo"
"Berlin","52°31′12″N","13°24′18″E","been"
"Beijing","39.9138°N","116.3916°E","todo"
"Seoul","37°33′36″N","126°59′24″E","been"
"Medellín","6°13′51″N","75°35′26″W","todo"
"Chicago","41°52′55″N","87°37′40″W","been"
"Monterrey","25.684444444444445","-100.31805555555556","todo"
"Bilbao","43°15′25″N","2°55′25″W","todo"
"Sydney","33°52′04″S","151°12′36″E","todo"
"Lahore","31°32′59″N","74°20′37″E","todo"
"Kuala Lumpur","03°08′52″N","101°41′43″E","todo"
"Vancouver","49°15′39″N","123°06′50″W","todo"
"Delhi","28°36′36″N","77°13′48″E","todo"
"Nuremberg","49°27′14″N","11°04′39″E","todo"
"Jakarta","6.191716°S","106.823004°E","todo"
"Bucharest","44°25′57″N","26°6′14″E","todo"
"Lima","12°2′36″S","77°01′42″W","todo"
"Montréal","45°30′32″N","73°33′15″W","been"
"Turin","45°04′45″N","07°40′34″E","todo"
"New York","40.7","-74.0","been"
"Vienna","48°12′28″N","16°22′17″E","been"
"Boston","42°19′7″N","70°59′28″W","been"
"Lyon","45.76°N","4.84°E","been"
"Toronto","43°44′30″N","79°22′24″W","been"
"Yokohama","35°27′N","139°38′E","todo"
"Istanbul","41°00′49″N","28°57′18″E","todo"
"Milan","45°28′01″N","09°11′24″E","todo"
"Busan","35°10′48″N","129°04′30″E","been"
"Budapest","47°29′33″N","19°03′05″E","been"
"Cairo","30°2′40″N","31°14′9″E","been"
"Buenos Aires","34°36′12″S","58°22′54″W","todo"
"Atlanta","33°44′56″N","84°23′24″W","todo"
"Naples","40.83583333333333","14.248611111111112","been"
"Tehran","35°41′46″N","51°25′23″E","todo"
"Nagoya","35°11′N","136°54′E","todo"
"Shenzhen","22°33′N","114°06′E","todo"
"Helsinki","60°10′15″N","24°56′15″E","todo"
"Taipei","25°02′15″N","121°33′45″E","todo"
"Mexico City","19°26′N","99°8′W","todo"
"Kobe","34°41′24″N","135°11′44″E","todo"
"Shanghai","31°13′43″N","121°28′29″E","todo"
"Kharkiv","49.985°N","36.28°E","todo"
"Saint Petersburg","59°56′15″N","30°18′31″E","been"
"Oslo","59°54′48″N","10°44′20″E","todo"
"Sapporo","43°03′43″N","141°21′16″E","todo"
"Ōsaka","34°41′38″N","135°30′8″E","todo"
"Panama City","8°59′N","79°31′W","todo"
"Quito","00°13′12″S","78°30′45″W","todo"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Lagos","6.455027°N","3.384082°E","been"
"Prague","50°05′15″N","14°25′17″E","been"
"Baltimore","39°17′22″N","76°36′55″W","todo"
"Rotterdam","51.92°N","4.48°E","been"
"Marseille","43.2964°N","5.37°E","todo"
"Baku","40°23′43″N","49°52′56″E","todo"
"Athens","37°59′03″N","23°43′41″E","todo"
"Rome","41°53′36″N","12°28′58″E","been"
"Almaty","43°14′24″N","76°54′54″E","todo"
"Algiers","36°43′57″N","03°05′14″E","todo"
"Tblisi","41°43′21″N","44°47′33″E","todo"
"Rio de Janeiro","22°54′40″S","43°12′20″W","todo"
"Singapore","1°17′N","103°50′E","todo"
"Philadelphia","39.9528°N","75.1636°W","been"
"San Francisco","37°46′39″N","122°24′59″W","been"
"Pyongyang","39°01′00″N","125°44′51″E","todo"
"São Paulo","23°33′S","46°38′W","todo"
"Lille","50.6278°N","3.0583°E","been"
"Madrid","40°25′01″N","03°42′12″W","been"
"Cleveland","41°28′56″N","81°40′11″W","been"
"Warsaw","52°13′48″N","21°00′40″E","been"
"Samara","53°12′10″N","50°08′27″E","todo"
"Yekaterinburg","56°50′08″N","60°36′46″E","todo"
"Paris","48.85666666666667","2.352222222222222","been"
"Honolulu","21.390694°N","157.988123°W","todo"
"Caracas","10°28′50″N","66°54′13″W","todo"
"Dubai","25.2697°N","55.3095°E","been"
"Barcelona","39.5°N","3.7°W","been"
"Munich","48°08′15″N","11°34′30″E","todo"
"Moscow","55°45′21″N","37°37′2″E","been"
"Ankara","39.941°N","32.864°E","todo"
"Minsk","53°53′41″N","27°32′53″E","todo"
"Los Angeles","34°03′N","118°15′W","been"
"Lausanne","46°31.19′N","6°38.01′E","todo"
"Toulouse","43.6045°N","1.444°E","been"
"Guadalajara","20°40′36″N","103°20′51″W","todo"
"Hyderabad","17.361666666666668","78.47472222222223","todo"
"Lisbon","38°43′31″N","09°09′00″W","been"
"Fukuoka","33°35′24″N","130°24′06″E","todo"
"Yerevan","40°10′53″N","44°30′52″E","todo"
"Hanoi","21.00°N","105.85°E","todo"
"Sofia","42.7°N","23.33°E","been"
"Navi Mumbai","19.02°N","73.02°E","todo"
"Brussels","50°50′48″N","04°21′09″E","been"
"San Juan","18.39055°N","66.10618°W","todo"
"Genoa","44°24′40″N","8°55′58″E","todo"
"Miami","25.78°N","80.21°W","been"
"Santiago","33°26′15″S","70°39′00″W","todo"
"Sendai","38°16′5.6″N","140°52′9.9″E","todo"
"Kyiv","50.4°N","30.54°E","todo"
"Bangalore","12°58′44″N","77°35′30″E","been"
