"name","latitude","longitude","been"
"Faisal","33.729944°N","73.038436°E","todo"
"Touba","14.8667","-15.8667","been"
"Paris","48.841944444444","2.355","been"
"Makhachkala","42°58′09″N","47°29′38″E","todo"
"Badjanani","11.699°S","43.256°E","todo"
"Ouagadougou","12°22′07″N","01°31′39″W","been"
"Juma","40°37′36.5″N","48°38′37.7″E","todo"
"Kharkiv","49°59′07″N","36°13′13″E","todo"
"Al-Aqsa","31°46′34″N","35°14′09″E","been"
"Haji Piyada","36°43′47.1″N","66°53′7.1″E","todo"
"Jamkaran","34°34′59.5″N","50°54′50″E","todo"
"New York","40°47′7″N","73°56′55″W","been"
"Al-Saleh","15°19′32.88″N","44°12′27.72″E","todo"
"Gazi Husrev","43°51′33″N","18°25′44.5″E","been"
"Ouakam","14.715694444444445","-17.4905","been"
"Kilwa","8°58′00.0″S","39°32′00.0″E","todo"
"Kufa","32°01′43″N","44°24′03″E","todo"
"Grand Yoff","14.739555555556","-17.457833333333","been"
"Kano","11°59′41″N","8°31′03″E","todo"
"Seydina Issa Rohou Laye","14.767222222222","-17.430027777778","been"
"Al-Askari","34.1989°N","43.8735°E","todo"
"Abu Dahab","30.046066°N","31.261755°E","been"
"Korijib","11°47′N","42°53′E","todo"
"Quba","24°26′21″N","39°37′02″E","todo"
"Sana’a","15.3531°N","44.2149°E","todo"
"Ar-Rahma","50°27′54″N","30°29′59″E","todo"
"Qatar","25°18′N","51°31′E","todo"
"Al-Omari","33.8976°N","35.5052°E","todo"
"Abu Hagag","25°42′00″N","32°38′22″E","been"
"Fakr Ad-Din","2°02′01″N","45°20′09″E","todo"
"Taj-ul-Masajid","23.263°N","77.393°E","todo"
"Hassan II","33.6085°N","7.6327°W","todo"
"Malindi","6.1592356°S","39.191476°E","todo"
"Arba’a Rukun","2°02′06″N","45°20′33″E","todo"
"Al-Fateh","26°13′08″N","50°35′53″E","todo"
"Khartoum","15.6°N","32.5°E","todo"
"Djamaa el Djazaïr","36°44′09″N","3°08′17″E","todo"
"Cotonou","6.361846°N","2.397802°E","been"
"Kul Sharif","55°47′54.49″N","49°06′17.32″E","todo"
"Sultanovskaya Mechet","55°46′33″N","49°07′07″E","been"
"Uganda National Mosque","0.315539°N","32.568591°E","todo"
"Dubai Grand Mosque","25°15′52″N","55°17′48″E","been"
"Fayçal","9.533175","-13.684129","todo"
"Washington","38°55′1.6″N","77°3′24.3″W","been"
"Sacred Monument","21°23′33″N","39°56′16″E","todo"
"Al-Nejashi","13°52′32.0″N","39°35′55.3″E","todo"
"Astana","51.0730°N","71.4105°E","todo"
"Sultan al-Muayyad","30°02′35″N","31°15′27″E","been"
"Et’hem Bey","41°19′40″N","19°49′9″E","todo"
"Imam Husayn","32°36′59″N","44°01′57″E","todo"
"Bajrakli","44.8222°N","20.4575°E","been"
"Po-i-Kalyan","39°46′33″N","64°24′51″E","todo"
"Lagos","6°27′26.4″N","3°23′17.2″E","been"
"Abuja","9°03′39″N","7°29′23″E","todo"
"Abu al-Abbas al-Mursi","31°12′19.7″N","29°52′55.8″E","been"
"Al-Qiblatayn","11°21′14″N","43°28′26″E","todo"
"Sultan Hasan","30.0319°N","31.2567°E","been"
"Siwa Oasis","29°12′19″N","25°31′10″E","been"
"Babri Masjid","26.7956°N","82.1945°E","todo"
"Massawa","15°36′43″N","39°28′50″E","todo"
"Hagia Sophia","41°00′30″N","28°58′48″E","been"
"Askia Tomb","16°17′23″N","0°02′40″W","been"
"Dakar","14.67777778","-17.44222222","been"
"Brussels","50.843333","4.387778","todo"
"Al-Rifa’i","30°9′16.43″N","31°18′37.46″E","been"
"Saint Louis","16°02′N","16°30′W","been"
"Istiqlal","6°10′11.29″S","106°49′51.32″E","todo"
"Al-Salam","46°28′22″N","30°44′22″E","todo"
"Atiq, Awjila","29.127464°N","21.291016°E","todo"
"Riyadha, Lamu","2°16′10″S","40°54′8″E","been"
"Agadez","16°58′27.0″N","7°59′18.2″E","todo"
"Guediawaye","14.782819444444","-17.376013888889","been"
"Imam Reza","36.288°N","59.6157°E","todo"
"Ibrahimi","31.5247°N","35.1107°E","todo"
"Masjid al-Haram","21°25′21″N","39°49′34″E","todo"
"Al-Fatah ","1°59′37″S","30°02′39″E","todo"
"Dome of the Rock","31.778°N","35.2354°E","been"
"Chinguetti","20°27′48″N","12°22′0″W","todo"
"Khamis","26.2082°N","50.5483°E","todo"
"Al-Abrar","6°27′47″N","79°58′34″E","todo"
"Djingareyber","16°46′17″N","3°0′36″W","been"
"Kairouan","35°40′53″N","10°06′14″E","todo"
"Larabanga","9.2203°N","1.8599°W","todo"
"Al-Masjid an-Nabawi","24°28′6″N","39°36′39″E","todo"
"Sultan Qaboos","23°35′02″N","58°23′21″E","todo"
"Sheikh Zayed","24°24′43.2″N","54°28′26.4″E","todo"
"Baitul Mukarram","23.7294°N","90.4128°E","todo"
"Sultan Sharif Ali","4°54′20.5″N","114°54′47.8″E","todo"
"Umayyad","33°30′41″N","36°18′24″E","todo"
"Djenné","13.905277777778","-4.5555555555556","todo"
"Grand Jamia","25.0479°N","67.3232°E","todo"
"White Mosque","31°55′39.21″N","34°51′57.67″E","todo"
"Hadum","42.3792°N","20.4273°E","todo"
"Blue Mosque","41.0053851°N","28.9768247°E","todo"
"Al-Azhar","30.045709°N","31.262683°E","been"
"Gaddafi","6.172689°S","35.745721°E","todo"
