"name","latitude","longitude","been"
"Bernina Pass","46°24′39″N","10°01′39″E","todo"
"Mount Rainier","46°51′11″N","121°45′38″W","been"
"Mount Catherine","28°30′42″N","33°57′09″E","todo"
"Klein Matterhorn","45°56′18″N","7°43′47″E","been"
"Mount Baker","48.7766298°N","121.8144732°W","been"
"Mount Karthala","11.76028°S","43.35306°E","todo"
"Col de Vars","44.5389°N","6.70275°E","been"
"Puy Mary","45°06′34″N","2°40′34″E","been"
"Mount Etna","37°45.3′N","14°59.7′E","been"
"Mount Everest","27°59′18″N","86°55′31″E","todo"
"Puy de Dôme","45°46′19″N","02°57′45″E","been"
"Mount Olympus","40°05′08″N","22°21′31″E","been"
"Karakoram Pass","35.513333333333","77.823055555556","todo"
"Col de la Bonette","44°19′37.2″N","06°48′25.2″E","todo"
"Mount Yasur","19°31′42″S","169°26′54″E","been"
"Col de Fix-Saint-Geneys","45.15101°N","3.656927°E","been"
"Jungfraujoch","46°32′50″N","7°58′50″E","todo"
"Col de la Croix de l’Homme Mort","45°32′49″N","3°57′52″E","been"
"Mount Kenya","0°9′03″S","37°18′27″E","been"
"Timmelsjoch","46°54′19″N","11°5′48″E","been"
"Col du Grand-Saint-Bernard","45°52′08″N","7°10′14″E","todo"
"Cascade Pass","48°28.1′N","121°3.6′W","been"
"Snowdon","53.068865°N","4.075588°W","been"
"Mount Kigali","1°58′01″S","30°2′17″E","been"
"Semmering Pass","47°37′57″N","15°49′47″E","been"
"Mount Hood","45°22′25″N","121°41′45″W","been"
"Colle della Maddalena","44.421841°N","6.898386°E","been"
"Mount Elbert","39°07′03.9″N","106°26′43.2″W","been"
"Col des Issartets","44°38′57″N","03°14′52″E","been"
"Col des Pradeaux","45.526077°N","3.845379°E","been"
"Grimsel Pass","46°33.72′N","08°20.34′E","been"
"Whitehorse Mountain","48.2114961°N","121.6781825°W","been"
"La Rhune","43°18′33″N","1°38′08″W","todo"
"Mont Blanc","45°49′58″N","06°51′54″E","been"
"Mount Fuji","35°21′39″N","138°43′39″E","been"
"Mount St. Helens","46.1912000°N","122.1944000°W","been"
"Plomb du Cantal","45°03′31″N","2°45′41″E","been"
"Colle dell’Agnello","44°41′2″N","06°58′46″E","todo"
"Mount Constitution","48.677569028°N","122.831162383°W","been"
"Rohtang Pass","32°22′17″N","77°14′47″E","todo"
"Col des Limites","45.542878°N","3.947016°E","been"
"Passo dello Stelvio","46°31′43″N","10°27′10″E","todo"
"Puy de Sancy","45°31′42″N","2°48′51″E","been"
"Tianmen","29°2′59.57″N","110°28′44.00″E","todo"
"Furka Pass","46°34′21″N","08°24′54″E","been"
"Matterhorn","45°58′35″N","7°39′31″E","been"
"Großglockner Hochalpenstraße","47°05′00″N","12°50′34″E","todo"
"Col de Galibier","45.064216°N","6.407832°E","been"
"Col de la Fageole","45°06′04″N","03°07′41″E","been"
"Col de l’Iseran","45.416944444444","7.0308333333333","todo"
