"name","latitude","longitude","been"
"Jeu de Paume","48°51′57″N","2°19′26″E","been"
"New Museum","40.722239°N","73.993219°W","been"
"Natural History Museum","51°29′46″N","00°10′35″W","been"
"Basque Railway Museum","43.1858°N","2.2614°W","todo"
"Tate Britain","51.490833°N","0.127222°W","been"
"Centre Pompidou","48.860642","2.352245","been"
"Metropolitan Museum of Art","40.7794°N","73.9631°W","been"
"American Museum of Natural History","40°46′51″N","73°58′28″W","been"
"Guggenheim","40°46′59″N","73°57′32″W","todo"
"Fotomuseum Den Haag","52.09056","4.27972","been"
"Rijksmuseum","52.36","4.885277777777778","been"
"9/11 Museum ","40°42′42″N","74°0′49″W","been"
"National Museum of African American History","38°53′28″N","77°01′58″W","been"
"National Air & Space Museum","38°53′18″N","77°01′12″W","been"
"National of Museum Unity","7.384937°N","3.868776°E","been"
"Kunstmuseum Den Haag","52.08972222222222","4.280555555555556","been"
"British Museum","51.519444444444446","-0.12694444444444444","been"
"Muziekinstrumentenmuseum","50°50′34″N","4°21′32″E","been"
"Musée Rodin","48.855356","2.315819","been"
"Pratt Street Power Plant","39°17′9.7″N","76°36′25.6″W","been"
"Museu Picasso","41.385216°N","2.180893°E","been"
"Grand Palais","48.8666°N","2.3116°E","been"
"Nikola Tesla Museum","44.8051°N","20.4707°E","been"
"Kunsthaus Graz","47.0714","15.434","been"
"Sackler Gallery","38.88796°N","77.02644°W","been"
"International Friendship Exhibition","40.008828°N","126.227975°E","todo"
"World Heritage Centre","48°50′58″N","2°18′22″E","todo"
"Liberty Bell","39.947778°N","75.148056°W","been"
"SFMOMA","37.7858","-122.401","been"
"National Museum of Natural History","38.8913°N","77.0259°W","been"
"Autoworld","50.8392664","4.3933172","been"
"Philadelphia Mint","39.9536°N","75.1474°W","been"
"National Archives","38°53′34″N","77°01′23″W","been"
"Mauritshuis","52.08038888888889","4.314305555555555","been"
"Modern Art Museum of Fort Worth","32.749287°N","97.363069°W","been"
"Musée du Luxembourg","48.8486°N","2.334°E","been"
"Holocaust Museum","38°53′12″N","77°01′57″W","been"
"Victoria & Albert","51°29′47″N","00°10′19″W","been"
"Cité Nationale de l’Immigration","48°50′7″N","2°24′34″E","been"
"Fundación Miró","41°22′07″N","2°09′36″E","been"
"National Museum of the American Indian","38.8883°N","77.0166°W","been"
"Hirshhorn","38.8882°N","77.023°W","been"
"Tate Modern","51.507777777777775","-0.09944444444444445","been"
"Conservatoire des Arts et Métiers","48.866944444444","2.3544444444444","been"
"Makah Museum","48°22′5.88″N","124°35′56.4″W","been"
"Vander Ende–Onderdonk House","40°42′40″N","73°55′12″W","been"
"Korean Central History Museum","39.020701°N","125.754646°E","todo"
"Cold War Museum","38.7431°N","77.6765°W","been"
"Palais de Tokyo","48.86408","2.29713","been"
"Corcoran Gallery","38.8958°N","77.0399°W","been"
"Musée du Moyen Âge","48.850555555556","2.3433333333333","been"
"Musée d’Orsay","48.86","2.326388888888889","been"
"Musée du Louvre","48.861111111111114","2.3358333333333334","been"
"Escher in Het Paleis","52.083333","4.314167","been"
"Ellis Island","40°41′58″N","74°02′23″W","been"
"Bureau of Engraving & Printing","38.88563191483391","-77.03315377079856","been"
"Victorious War Museum","39.03833°N","125.74056°E","todo"
"Icelandic Phallological Museum","64.14862°N","21.93583°W","been"
"Octagon House","38°53′46.68″N","77°2′29.40″W","been"
