"name","latitude","longitude","been"
"Yosemite","37°44′33″N","119°32′15″W","todo"
"Big Bend","29°15′0″N","103°15′0″W","todo"
"Northumberland","55°19′N","2°13′W","been"
"Darien","41.07871","-73.46929","been"
"Redwood","41.3°N","124°W","been"
"Mesa Verde","37.1838°N","108.4887°W","been"
"Peak District","53°23′0″N","1°52′2″W","been"
"Cévennes","51°50′N","3°30′W","been"
"Brecon Beacons","51°50′N","3°30′W","been"
"Great Sand Dunes","37.732777777778","-105.51222222222","todo"
"New River Gorge","37°57′39″N","81°4′54″W","todo"
"Fort Washington","38°42′39″N","77°01′59″W","been"
"Saloum Delta","13°50′7″N","16°29′55″W","been"
"North Cascades","48°49′58″N","121°20′51″W","todo"
"Joshua Tree","33.748381","-115.819308","been"
"Denali","63°52′5.96″N","149°46′8.39″W","todo"
"Yellowstone","44°35′47″N","110°32′50″W","todo"
"Virgin Islands","18.338055555556","-64.733333333333","todo"
"Pyrénées","51°50′N","3°30′W","been"
"Lake District","54°30′N","3°10′W","been"
"Dry Tortugas","24°37′43″N","82°52′24″W","todo"
"Cuyahoga Valley","41.39309°N","81.628565°W","todo"
"Kings Canyon","36.78928°N","118.67286°W","todo"
"Carlsbad Caverns","32°10′31″N","104°26′38″W","todo"
"Livradois-Forez","51°50′N","3°30′W","been"
"Yorkshire Dales","54°15′N","2°13′W","been"
"Pinnacles","36°29′13″N","121°10′01″W","been"
"Loch Lomond","51°50′N","3°30′W","been"
"Olympic","47.96935°N","123.49856°W","been"
"Hawaiʻi Volcanoes","19°23′N","155°12′W","todo"
"Lewis & Clark","46°8′1″N","123°52′39″W","been"
"Saguaro","32°10′45″N","110°44′13″W","todo"
"Haleakalā","20°42′35″N","156°15′12″W","todo"
"Arches","38°43′41″N","109°32′24″W","been"
"Causses du Quercy","44.57256088°N","1.68910993°E","been"
"Biscayne","25°28′10″N","80°11′10″W","todo"
"Gateway National Recreation Area","40.454°N","73.99699°W","been"
"Snowdonia","53°4′6.59″N","4°4′34.43″W","been"
"Glacier","48.7550°N","113.8000°W","todo"
"White Sands","32°46′45″N","106°10′19″W","todo"
"Grand Teton","43°50′00″N","110°42′03″W","todo"
"Sequoia","36°33′53″N","118°46′22″W","todo"
"Lassen Volcanic","40°29′53″N","121°25′39″W","todo"
"Rocky Mountain","40.3466°N","105.7364°W","been"
"Crater Lake","42.91183°N","122.14807°W","todo"
"Zion","37°18′N","113°00′W","been"
"Canyonlands","38.16691°N","109.75966°W","todo"
"Voyageurs","48.5","-92.883333333333","todo"
"Montserrat","16°45′N","62°12′W","been"
"Niokolo-Koba","13°04′N","12°43′W","been"
"Shenandoah","40.3466°N","105.7364°W","been"
"Everglades","25.3125°N","80.6875°W","todo"
"American Samoa","14°15′30″S","170°41′00″W","todo"
"Badlands","43°45′N","102°30′W","todo"
"Great Basin","39.00581°N","114.21969°W","todo"
"Grand Canyon","36.3°N","112.75°W","been"
"Bryce Canyon","37°35′N","112°11′W","been"
"Volcans d’Auvergne","51°50′N","3°30′W","been"
"Cape Cod National Seashore","41°50′14″N","69°58′22″W","been"
"Petrified Forest","35°05′17″N","109°48′23″W","been"
"Gateway Arch","38.6246°N","90.18497°W","been"
"Mount Rainier","46°51′N","121°45′W","been"
"Death Valley","36°14′31″N","116°49′33″W","been"
