"name","latitude","longitude","been"
"Tazeh Qaleh, East Azerbaijan","37°08′07″N","46°04′04″E","todo"
"Qaleh Now, Pishva","35°21′17″N","51°46′09″E","todo"
"Castelnau-Valence","44.0097°N","4.2528°E","todo"
"Akhaltsikhe","41°38′20″N","42°59′10″E","todo"
"De Castelnau","45°32′07″N","73°37′12″W","been"
"Qaleh Now, Khomeyn","33°44′08″N","50°08′44″E","todo"
"Castelnuovo di Ceva","44°21′N","8°8′E","todo"
"Castelnuovo della Misericordia","43°26′33″N","10°27′0″E","todo"
"Castelnau-Durban","43.0019°N","1.3425°E","todo"
"Palatinate-Neuburg","48°44′N","11°11′E","todo"
"Newcastle on Clun","52.434°N","3.107°W","todo"
"Castelnuovo Bocca d'Adda","45°7′N","9°52′E","todo"
"Tazeh Qaleh, Bukan","36°36′24″N","46°04′03″E","todo"
"Castelnuovo di Val di Cecina","43°13′N","10°54′E","todo"
"Neuchâtel-Urtière","47.38°N","6.73°E","todo"
"Qaleh Now-ye Hakim","33°50′33″N","48°45′01″E","todo"
"Castelnau-Montratier","44.27°N","1.354°E","todo"
"Castelnuovo Scrivia","44°58′N","8°52′E","todo"
"Châteauneuf-Villevieille","43.8°N","7.2833°E","todo"
"Castelnuovo di Porto","42°8′N","12°30′E","todo"
"Châteauneuf-de-Galaure","45.2328°N","4.9575°E","todo"
"Castelnuovo","46°3′N","11°29′E","todo"
"Castelnuovo Calcea","44°47′N","8°17′E","todo"
"Neufchâtel-sur-Aisne","49.43°N","4.04°E","todo"
"Newcastle under Lyme","53.0109°N","2.2278°W","todo"
"Neuburg Abbey","49°25′08″N","8°44′27″E","todo"
"Châteauneuf-Grasse","43.6758°N","6.9756°E","todo"
"Châteauneuf-de-Randon","44.6414°N","3.6761°E","todo"
"Châteauneuf-d'Entraunes","44.1292°N","6.8328°E","todo"
"Châteauneuf-le-Rouge","43.4906°N","5.5706°E","todo"
"Castelnuovo del Garda","45°26′N","10°46′E","todo"
"Castelnuovo Nigra","45°26′N","7°42′E","todo"
"Neuburg an der Kammel","48°17′N","10°22′E","todo"
"Qaleh Now-ye Showkati","33°45′42″N","48°50′59″E","todo"
"Castelnaud-de-Gratecambe","44.4981°N","0.6692°E","todo"
"Qaleh-ye Now, Arak","34°05′51″N","49°55′03″E","todo"
"Castelnuovo di Farfa","42°14′N","12°45′E","todo"
"Qaleh-i-Nau, Derak","29°39′58″N","52°07′36″E","todo"
"Toodyay","31°33′S","116°27′E","todo"
"Qaleh Now, Kamfiruz","30°16′36″N","52°19′29″E","todo"
"Qaleh Now, Varamin","35°17′45″N","51°42′35″E","todo"
"Qaleh Now-e Naimabad","36°08′17″N","58°55′19″E","todo"
"Châteauneuf-d'Ille-et-Vilaine","48.5619°N","1.9286°W","todo"
"Qaleh Now-ye Anqolabi","37°01′23″N","57°18′11″E","todo"
"Newcastle upon Tyne","54.978°N","1.6102°W","been"
"Castelnau-d'Auzan","43.949°N","0.086°E","todo"
"Châteauneuf-du-Faou","48.1875°N","3.8131°W","todo"
"New Castle Township","40°45′06″N","76°15′29″W","todo"
"Castelnau-Magnoac","43.2956°N","0.5081°E","todo"
"Qaleh Now, Nishapur","36°08′19″N","58°49′22″E","todo"
"Castelnau-d'Arbieu","43.8836°N","0.7056°E","todo"
"Qaleh Now Shamsabad","32°19′00″N","48°26′00″E","todo"
"Qaleh Now-e Kharaqan","36°37′57″N","55°04′20″E","todo"
"Castelnau-d'Anglès","43.61°N","0.2964°E","todo"
"Castelnuovo Bozzente","45°46′N","8°57′E","todo"
"Castelnau-sur-Gupie","44.5608°N","0.1333°E","todo"
"Qaleh Now-ye Fariman","35°39′49″N","59°56′48″E","todo"
"Qaleh Now, Hashivar","28°39′58″N","54°28′25″E","todo"
"Qaleh Now, Omidiyeh","30°50′30″N","49°52′49″E","todo"
"Castel Nuovo","40.838408°N","14.253307°E","been"
"Shinshiro","34°53′56.18″N","137°29′51.79″E","todo"
"Qaleh-ye Now, Jiroft","28°37′31″N","57°45′26″E","todo"
"Tazeh Qaleh, Naqadeh","36°57′54″N","45°27′33″E","todo"
"Qaleh-ye Now, Marvdasht","30°11′34″N","52°38′38″E","todo"
"Qaleh Now, Kaftarak","29°33′33″N","52°38′26″E","todo"
"Castelnau-de-Lévis","43.9375°N","2.0836°E","todo"
"Qala e Naw","34°59′12″N","63°7′45″E","todo"
"Neufchâtel-Hardelot","50.62°N","1.64°E","todo"
"Châteauneuf-Miravail","44.1631°N","5.7272°E","todo"
"Newport","51°35′19″N","02°59′52″W","todo"
"Châteauneuf-Val-de-Bargis","47.2842°N","3.2272°E","todo"
"Qaleh Now, Sepidan","29°59′39″N","52°24′46″E","todo"
"Qaleh Now-e Amlak","35°28′04″N","51°35′58″E","todo"
"Neufchâtel-en-Bray","49.73°N","1.44°E","todo"
"Castelnau-de-Montmiral","43.9664°N","1.8217°E","todo"
"Castelnaud-la-Chapelle","44.8158°N","1.1494°E","been"
"Qaleh Now, Sarakhs","36°28′19″N","61°08′54″E","todo"
"Qaleh Now-ye Safiabad","35°16′30″N","59°44′42″E","todo"
"Qaleh Now, Darab","28°17′39″N","55°12′22″E","todo"
"Châteauneuf-les-Bains","46.0292°N","2.8972°E","todo"
"Châteauneuf-du-Pape","44.0569°N","4.8319°E","todo"
"Châteauneuf-de-Bordette","44.3361°N","5.1789°E","todo"
"Qaleh Now-e Jamshid","36°14′29″N","58°46′31″E","todo"
"Castello Nuovo","45°32′30″N","10°13′00″E","todo"
"Castelnuovo di Garfagnana","44°07′19″N","10°24′20″E","todo"
"Castelnuovo della Daunia","41°35′N","15°7′E","todo"
"Neufchâtel, Quebec","46°48′50″N","71°12′29″W","todo"
