"name","latitude","longitude","been"
"Los Angeles","34°03′N","118°15′W","been"
"Beijing","39°54′24″N","116°23′51″E","todo"
"Brisbane","27°28′04″S","153°01′41″E","todo"
"Rome","41°53′36″N","12°28′58″E","been"
"Paris","48.85666666666667","2.352222222222222","been"
"Salt Lake City","40.770833°N","111.921111°W","been"
"Barcelona","39.5°N","3.7°W","been"
"Oslo","59°54′48″N","10°44′20″E","been"
"London","51°30′26″N","00°07′39″W","been"
"Albertville","45.6767°N","6.3933°E","been"
"Tokyo","35°41′23″N","139°41′32″E","been"
"Seoul","37°33′36″N","126°59′24″E","been"
"Mexico City","19°26′N","99°8′W","todo"
"Vancouver","49°15′39″N","123°06′50″W","todo"
"Moscow","55°45′21″N","37°37′2″E","been"
"St. Louis","38.6386°N","90.2463°W","been"
"Sapporo","43°03′43″N","141°21′16″E","been"
"Sydney","33°52′04″S","151°12′36″E","todo"
"Athens","37°59′03″N","23°43′41″E","todo"
"Sarajevo","43°51′23″N","18°24′47″E","been"
"Munich","48°08′15″N","11°34′30″E","todo"
"Amsterdam","52°22′22″N","04°53′37″E","been"
"Berlin","52°31′12″N","13°24′18″E","been"
"Grenoble","45.171546°N","5.722387°E","been"
"Milan","45°28′01″N","09°11′24″E","todo"
"Stockholm","59°19′46″N","18°4′7″E","been"
"Atlanta","33°44′56″N","84°23′24″W","been"
"Olympia","37.638333333333335","21.63","todo"
"Turin","45°04′45″N","07°40′34″E","been"
"Innsbruck","47°16′06″N","11°23′36″E","been"
"Antwerp","51°13′04″N","04°24′01″E","been"
"Chamonix","45.9231°N","6.8697°E","been"
"Rio de Janeiro","22°54′40″S","43°12′20″W","todo"
"Helsinki","60°10′15″N","24°56′15″E","been"
