"name","latitude","longitude","been"
"Achwac Aquatic Complex","6.49662° N","3.36268° E","been"
"Allas Sea Pool","60°10′01.58″N","24°57′28.22″E","todo"
"Alte Donau","48.23251° N","16.42025° E","todo"
"Amalienbad","48.17427° N","16.37900° E","been"
"Aquaboulevard","48.83290° N","2.27603° E","been"
"Aquapalace Prague","50.0075°N","14.571111°E","been"
"Arbel Guest House","32.81341° N","35.48316° E","been"
"Asser Levy","40°44′10″N","73°58′32″W","been"
"Astoria Park","40.77896° N","73.92268° W","been"
"Azure, Pripyat","51.4068°N","30.0492°E","todo"
"Badanstalt","49.61367° N","6.12885° E","been"
"Bains de Bruxelles","50.8375","4.34611111","been"
"Bains de Saint-Josse-ten-Noode","50.85682° N","4.36543° E","been"
"Bethesda Pool","38.97399° N","77.10038° W","been"
"Betsy Head","40.66296° N","73.91271° W","been"
"Biotop Radotín","49.97943° N","14.35926° E","todo"
"Brigittenauer Bad","48.23559° N","16.36416° E","been"
"Brockwell Lido","51.453056°N","0.106389°W","todo"
"Brush Ranch","35.70726° N","105.68250° W","been"
"Bushwick","40.70206° N","73.93943° W","been"
"Chandlers Ford, Holiday Inn","50.97130° N","1.36949° W","been"
"Chelsea Pool","40.74828° N","74.00207° W","been"
"Claremont","31.97784° S","115.78087° E","been"
"Cleopatra Spring","29.19697° N","25.55011° E","been"
"Cleveland Pools","51.3908°N","2.3473°W","todo"
"Club Natació Atlètic Barceloneta","41.37057° N","2.18819° E","been"
"Commodore Barry","40.69784° N","73.97805° W","been"
"Constance Baker Motley","40.75644° N","73.96517° W","been"
"Crotona","40.83988° N","73.89812° W","been"
"Crown Plaza Tel Aviv Beach","32.08356° N","34.76873° E","been"
"De Blinkerd","52.10621° N","4.28294° E","been"
"De Houtzagerij","52.06997° N","4.30403° E","been"
"De Waterthor","52.06574° N","4.24822° E","been"
"Dolphin Beach Resort, Ain Sokhna","29.53010° N","32.37874° E","been"
"Douglass and DeGraw","40.68043° N","73.98595° W","been"
"Dry Dock","40.72539° N","73.97548° W","been"
"Džbán","50.09927° N","14.33738° E","todo"
"El Gancho","35.64301° N","105.92893° W","been"
"Fairfield by Marriott, Bengaluru","12.92801° N","77.68270° E","been"
"Fatnas Island","29.20392° N","25.47885° E","been"
"Fisher","40.75894° N","73.86926° W","been"
"Floating Pool","40.80486° N","73.88827° W","been"
"Flushing Meadows","40.75165° N","73.83715° W","been"
"Flúðir","64.13738° N","20.30940° W","been"
"Fort Totten","40.79220° N","73.77461° W","been"
"Foster","40.83192° N","73.92419° W","been"
"Gertrude Ederle","40.77141° N","73.98869° W","been"
"Haffen","40.87426° N","73.83921° W","been"
"Hamilton Fish","40.71974° N","73.98065° W","been"
"Hansborough","40.81290° N","73.93944° W","been"
"Harlem Meer","40.79634° N","73.95467° W","been"
"Het Zuiderpark","52.05285° N","4.28713° E","been"
"Hietzinger Bad","48.16842° N","16.29410° E","been"
"Highbridge","40.84247° N","73.93336° W","been"
"Hostivař","50°2′56.04″N","14°31′27.84″E","todo"
"Hotel La Perle","16.04210° N","16.45755° W","been"
"Hotel du Commerce","50.05393° N","6.02954° E","been"
"Howard","40.67248° N","73.90906° W","been"
"Hreppslaug","64.53765° N","21.70228° W","been"
"Hveragerði","64.00153° N","21.17986° W","been"
"Höfn Pool","64.25391° N","15.20853° W","been"
"Hütteldorfer Bad","48.20295° N","16.26435° E","been"
"Ironmonger Row Baths","51.526643°N","0.09483°W","been"
"Jackie Robinson","40.82423° N","73.94284° W","been"
"Jamsil","37°31′16″N","127°7′35″E","been"
"John Jay","40.76946° N","73.94886° W","been"
"Jubilee Pool","50.114784°N","5.531454°W","todo"
"Jörgerbad","48.21816° N","16.33502° E","been"
"Kelly Pool","39.97916° N","75.20788° W","been"
"Kentish Town Baths","51.54698° N","0.14387° W","todo"
"Kileleshwa","1.27478° S","36.79427° E","been"
"King Fahd Palace","14.74796° N","17.52367° W","been"
"Kosciuszko","40.69116° N","73.94958° W","been"
"La Grenouillère","48.76240° N","2.29239° E","been"
"Langeac","45.10916° N","3.49012° E","todo"
"Lowlands Hotel","0.04524° N","37.65373° E","been"
"Luzhniki","55°42′57″N","37°33′13″E","todo"
"Lázně Zlín","49.22133° N","17.66961° E","been"
"L’Aquabulle","45.28343° N","3.39832° E","been"
"L’Aquarium","14.73191° N","17.43451° W","been"
"Mapes","40.84646° N","73.88607° W","been"
"Marcus Garvey","40.80524° N","73.94333° W","been"
"Marina Grande on the Halifax","29.23321° N","81.02755° W","been"
"Marriott Coral Springs","26.30994° N","80.28357° W","been"
"Marshall Street Baths","51.5136","-0.138056","todo"
"McBurney YMCA","40.73800° N","73.99765° W","been"
"McCarren Park","40.72023° N","73.94931° W","been"
"Media One Hotel","25.09011° N","55.15277° E","been"
"Metropolitan","40.71502° N","73.96030° W","been"
"Motel 6, Las Vegas","36.09786° N","115.18192° W","been"
"Mount Baths","52.24158° N","0.89331° W","todo"
"Munsu Water Park","39.0396°N","125.7812°E","todo"
"Neptunium","50.86551° N","4.37869° E","todo"
"Neuwaldegger Bad","48.23373° N","16.28873° E","todo"
"Novotel Bengaluru","12.92979° N","77.68344° E","been"
"Oliver Bath House","40°25′46.54″N","79°59′19.83″W","been"
"Olympijski Bazen Otoka","43°50′50.7″N","18°21′34.4″E","todo"
"Olympique Club","14.69921° N","17.47461° W","been"
"Overbosch","52.08921° N","4.34743° E","been"
"O’Connor Pool","39.94613° N","75.18334° W","been"
"Parliament Hill Lido","51.556359°N","0.151379°W","todo"
"Petynka","50.09053° N","14.38134° E","todo"
"Piscina Municipal de Montjuïc","41°22′10.02″N","2°9′54.15″E","been"
"Piscina da Rodovia","41.55130° N","8.40740° W","been"
"Piscina de São Vicente","38.71416° N","9.12549° W","been"
"Piscinas Bernat Picornell","41.36568° N","2.15145° E","been"
"Piscine Alfred Nakache","48.87144° N","2.37894° E","been"
"Piscine Armand Massard","48.84324° N","2.32331° E","been"
"Piscine Château-Landon","48.88326° N","2.36370° E","been"
"Piscine Edouard Pailleron","48.88051° N","2.37770° E","been"
"Piscine Hélios","50.40611111111111","4.448333333333333","todo"
"Piscine Jaqueline Auriol","48.87640° N","2.30586° E","been"
"Piscine Joséphine Baker","48.83608° N","2.37617° E","been"
"Piscine Keller","48.84722° N","2.28194° E","been"
"Piscine Molitor","48.84516° N","2.25307° E","todo"
"Piscine Olympique Nationale","14.69580° N","17.46207° W","been"
"Piscine Pontoise","48.84912° N","2.35179° E","been"
"Piscine Roger le Gall","48.84167° N","2.41249° E","been"
"Piscine Saint-Merri","48.85899° N","2.35253° E","been"
"Piscine Suzanne Berlioux","48.86290° N","2.34423° E","been"
"Piscine Victor Boin","50.82665° N","4.34116° E","todo"
"Piscine de la Broucheterre","50.41701° N","4.44630° E","todo"
"Piscine de la Butte aux Cailles","48.82690° N","2.35290° E","been"
"Piscine du Rhône","45.75291° N","4.83720° E","been"
"Piscine d’Ixelles","50.83274° N","4.37865° E","todo"
"Plaváreň Pasienky","48.16633° N","17.13832° E","been"
"Podolí","50.05149° N","14.41801° E","been"
"Quality Inn Mount Vernon","48.43790° N","122.34187° W","been"
"Rahway","40.62093° N","74.28767° W","been"
"Red Hook","40.67273° N","74.00392° W","been"
"Red Roof Plus Miami Airport","25.80505° N","80.26355° W","been"
"Riverbank State Park","40.82628° N","73.95694° W","been"
"Roy Wilkins","40.68844° N","73.76949° W","been"
"Római","47.57494° N","19.05322° E","todo"
"Saint Flour Margeride","45.03422° N","3.07075° E","been"
"Saltdean Lido","50.80139° N","0.04208° W","todo"
"Saltsjöbadens Friluftsbad","59°16′30″N","18°19′04″E","todo"
"Santa Rosa, Ridgway","38.45043° N","122.71988° W","been"
"Schwimmhalle Finckensteinallee","52.43200° N","13.29789° E","todo"
"Schwimmhalle Fischerinsel","52.51246° N","13.40430° E","todo"
"Schönbrunner Bad","48.17951° N","16.31514° E","todo"
