"name","latitude","longitude","been"
"Philadelphia","39.94°N","75.12°W","been"
"Ancona","43°37′01″N","13°31′00″E","been"
"New Orleans","29°56′13″N","90°03′43″W","todo"
"Rio de Janeiro","22.8767°S","43.2072°W","been"
"Saint Louis","16°02′N","16°30′W","been"
"Bergen","60°23′31″N","5°18′43″E","been"
"Incheon","37°29′N","126°38′E","been"
"Palermo","38°07′50″N","13°21′53″E","been"
"Abu Dhabi","24°50′00″N","54°40′00″E","todo"
"Gdańsk","54°23′36″N","18°40′12″E","todo"
"Baltimore","39.275°N","76.5845°W","been"
"Split","43.505079°N","16.442156°E","been"
"Malmö","55°35′N","12°55′E","todo"
"Saint Petersburg","59°52′50″N","30°11′57″E","been"
"Tunis","36°48′23″N","10°10′54″E","todo"
"Lisbon","38.6989°N","9.1692°W","been"
"Le Havre","49°28.5′N","0°8′E","been"
"Riga","56°56′56″N","24°6′23″E","been"
"Fukuoka","33°35′24″N","130°24′06″E","been"
"Stockholm","59.351528°N","18.109158°E","been"
"Amsterdam","52.412°N","4.8079°E","been"
"Troon","55.54°N","4.66°W","been"
"Rotterdam","51.885°N","4.2867°E","been"
"Hamilton","43.2900°N","79.8350°W","been"
"Harwich","51.948°N","1.255°E","been"
"Oslo","59.902205°N","10.7407683°E","been"
"Larne","54°51′06″N","05°48′48″W","been"
"Antwerp","51°16′12″N","4°20′12″E","been"
"Wakkanai","45.415156°N","141.682957°E","been"
"Porto","39.3°N","8°W","been"
"Vancouver","49°16′37″N","123°07′15″W","todo"
"Naples","40°50′N","14°16′E","been"
"Melbourne","37°51′S","144°54′E","todo"
"Kaliningrad","54°42′01″N","20°27′11″E","todo"
"Belfast","54°37′04″N","5°54′06″W","been"
"Sète","43.4053°N","3.6975°E","been"
"Cork","51.85°N","8.27°W","todo"
"Valencia","39.4457°N","0.3199°W","todo"
"Scheveningen","52°6.247′N","4°16.095′E","been"
"Odesa","46°30′13″N","30°44′40″E","todo"
"Basra","30°22′00″N","47°48′00″W","todo"
"Miami","25°46′27″N","80°10′16″W","been"
"Hamburg","53.544198°N","9.979411°E","todo"
"Murmansk","68°58′48″N","33°03′22″E","todo"
"Busan","35°06′14″N","129°04′44″E","been"
"Assab","13°01′N","42°44′E","todo"
"Takamatsu","34°22′N","134°3′E","been"
"Dover","51°07′09″N","1°19′46″E","been"
"Dar es Salaam","6°50′6.40″S","39°17′37.65″E","todo"
"Tokyo","35°37′01″N","139°47′44″E","been"
"Panama City","8.956°N","79.58°W","been"
"Mombasa","4°03′19″S","39°39′07″E","been"
"Sydney","33°51′30″S","151°14′00″E","todo"
"Tel Aviv","32°5′47.34″N","34°46′23.71″E","been"
"Dunkirk","51.0383°N","2.3775°E","been"
"Hakodate","41.8072°N","140.7106°E","been"
"Seattle","47.61388889°N","122.35416667°W","been"
"Colón","9°21′26″N","79°53′55″W","todo"
"Long Beach","33°45′18″N","118°12′54″W","todo"
"Oakland","37°47′43.92″N","122°17′4.57″W","been"
"New York / New Jersey","40°40′06″N","74°02′44″W","been"
"Dubrovnik","42°38′25″N","18°06′30″E","been"
"Havana","23°7′58.87″N","82°20′30.38″W","todo"
"Nampo","38°44′08″N","125°24′32″E","todo"
"Szczecin","53°25′33″N","14°34′35″E","todo"
"Toronto","43°44′30″N","79°22′24″W","been"
"Manila","14°35′48″N","120°57′16″E","todo"
"Århus","56.93°N","10.1344°E","been"
"Eilat","29°31′56.07″N","34°56′25.54″E","todo"
"Mumbai","18.96°N","72.85°E","todo"
"Taipei","25°09′41.62″N","121°21′7.71″E","todo"
"Tangier","35.87498°N","5.52071°W","todo"
"Tallinn","59°26′14″N","24°44′43″E","been"
"Praia","14.9199°N","23.5071°W","been"
"Algiers","33°36′N","7°37′W","todo"
"Nouméa","22.2758°S","166.458°E","been"
"Casablanca","33°36′N","7°37′W","todo"
"Bordeaux","44°50′50″N","0°35′00″W","todo"
"Doha","25.2950°N","51.5439°E","todo"
"Port Vila","17°44′S","168°19′E","been"
"Oostende","51°13′28″N","2°54′35″E","been"
"Buenos Aires","34°35′S","58°22′W","been"
"Singapore","1.264°N","103.840°E","todo"
"Beirut","33°54′10″N","35°31′30″E","todo"
"Dakar","14.680556°N","17.427778°W","been"
"Houston","29°43′N","95°15′W","todo"
"Macau","22°11′47″N","113°42′38″E","been"
"Shanghai","30.626539°N","122.064958°E","todo"
"Genoa","44°24′40″N","8°55′58″E","been"
"Kuala Lumpur","3°0′0″N","101°24′0″E","todo"
"Nouadhibou","20°56′N","17°2′W","todo"
"Norfolk","36.9172°N","76.3247°W","been"
"Port Said","31°15′45″N","32°18′22″E","todo"
"Istanbul","41.0228°N","28.9783°E","been"
"Southampton","50.8965°N","1.3968°W","been"
"Ziguinchor","12°35′N","16°16′W","todo"
"Guangzhou","23.093865°N","113.437786°E","been"
"Port Sudan","19°37′N","37°13′E","todo"
"Copenhagen","55°40′34″N","12°34′06″E","todo"
"Sevastopol","44°36′56″N","33°31′35″E","todo"
"New Haven","41°16′45″N","72°55′0″W","been"
"London","51.5°N","0.05°E","been"
"Monaco","43.735°N","7.426°E","been"
"Thessaloniki","40.636°N","22.922°E","been"
"Varna","43°11′32″N","27°54′26″E","been"
"Hoek van Holland","51°58′52″N","4°7′43″E","been"
"Osaka","34°38′31.0″N","135°25′22.0″E","been"
"Banjul","13°27′11″N","16°34′39″W","been"
"Dubai","25.01126°N","55.06116°E","been"
"Mariupol","47.0558333433°N","37.50500001°E","todo"
"Dublin","53.34609°N","6.20831°W","been"
"Alexandria","31.2045796°N","29.8800659°E","been"
"Calais","50.9681°N","1.8564°E","been"
"Lomé","06°07′51″N","01°12′55″E","been"
"Helsinki","60°09′53″N","24°57′30″E","been"
"Key West","24°33′55″N","81°46′33″W","todo"
"Saigon","10.8225°N","106.754°E","todo"
"Jeddah","21°29′1.8348″N","39°10′24.2646″E","todo"
"Constanța","44°10′N","28°38′E","been"
"Venice","45°26′15″N","12°20′09″E","been"
"Lima","12°2′36″S","77°01′42″W","todo"
"Barcelona","41°20′15″N","2°9′8″E","been"
"Arkhangelsk","64°32′N","40°30′E","todo"
"Zeebrugge","51°19′49″N","3°12′23″E","been"
"Cape Town","33°54′S","18°26′E","todo"
"Hiroshima","34°21′7.8″N","132°27′18.43″E","been"
"Vladivostok","43°06.3′N","131°55.3′E","todo"
"Chicago","41.733°N","87.528°W","been"
"Gaza","31°31′33″N","34°25′50″E","todo"
"Djibouti","11.6053°N","43.1392°E","todo"
"Lagos","6.455027°N","3.384082°E","been"
"Liverpool","53.406°N","2.996°W","been"
"Hong Kong","22°20′N","114°8′E","been"
"Magadan","59°32′21″N","150°46′26″E","todo"
"Marseille","43°20′31″N","5°20′10″E","todo"
"Nice","43.7034°N","7.2663°E","been"
"Boston","42°21′48.96″N","71°2′11.77″W","been"
"Cotonou","6°22′N","2°26′E","been"
"Kiel","54.3179°N","10.1389°E","been"
"Newcastle","32°55′S","151°48′E","todo"
"Aden","12.7912°N","44.9855°E","todo"
"Shenzhen","22°30′N","113°53′E","been"
"Edinburgh","55.98°N","3.17°W","been"
"Lamu","2°16′10″S","40°54′8″E","been"
"Port Angeles","48°06′47″N","123°26′27″W","been"
"Hurghada","27°15′28″N","33°48′42″E","been"
"Athens","37.941944°N","23.636111°E","todo"
