"name","latitude","longitude","been"
"Long Beach Pyramid","33°47′14″N","118°6′51″W","todo"
"Red Pyramid","29°48′30″N","31°12′21″E","todo"
"Pyramid of the Sun","19.693°N","98.844°W","todo"
"Great Pyramid of Giza","29°58′45″N","31°08′03″E","been"
"Qin Shi Huang Mausoleum","34°22′54″N","109°15′14″E","todo"
"Louvre Pyramid","48°51′39.6″N","02°20′09.1″E","been"
"Ryugyong Hotel","39°02′12″N","125°43′51″E","todo"
"Slovak Radio Building","48°9′15″N","17°6′51″E","todo"
"Luxor Pyramid","36°5′43.67″N","115°10′32.94″W","been"
"Pyramid of Meidum","29°23′17″N","31°09′25″E","todo"
"The Shard","51.5045°N","0.0865°W","been"
"Memphis Pyramid","35°9′20″N","90°3′7″W","todo"
"Pyramid of Khafre","29°58′34″N","31°07′51″E","been"
"Pyramid of the Moon","19.6996°N","98.8440°W","todo"
"La Danta","17°45′18″N","89°55′14″W","todo"
"Bent Pyramid","29°47′25″N","31°12′33″E","todo"
"Toniná Pyramid","16°54′4.39″N","92°0′34.83″W","todo"
"Great Pyramid of Cholula","19°03′27″N","98°18′07″W","todo"
"Pyramid of Menkaure","29°58′21″N","31°07′42″E","been"
"Pyramid of Djoser","29°52′16.56″N","31°12′59.02″E","todo"
"Transamerica Pyramid","37.7952°N","122.4028°W","been"
