"name","latitude","longitude","been"
"Las Vegas Strip","36.11002777777778","-115.16180555555556","been"
"Miami International Autodrome","25°57′29″N","80°14′20″W","todo"
"Circuit de Monaco","43°44′5″N","7°25′14″E","been"
"Thompson Speedway","41°58′54.65″N","71°49′31.79″W","been"
"Dubai Autodrome","25°03′02.28″N","55°14′20.86″E","todo"
"Daytona International Speedway","29°11′8″N","81°4′10″W","been"
"Le Mans","47°56′N","0°14′E","been"
"Indianapolis Motor Speedway","39°47′54″N","86°13′58″W","todo"
"Nardò Ring","40°19′38″N","17°49′34″E","todo"
"Southampton","50°54′09″N","01°24′15″W","been"
"Sebring International Raceway","27.455°N","81.35°W","todo"
"Dunsfold Aerodrome","51°06′54″N","000°31′57″W","todo"
"Nürburgring","50°20′08″N","6°56′51″E","been"
