"name","latitude","longitude","been"
"Drachenfels Railway","50.674257°N","7.198513°E","todo"
"Principe–Granarolo","44.421558°N","8.916354°E","todo"
"Schneeberg Railway","47°45′15″N","15°50′15″E","todo"
"Tanvald-Harrachov","50°44′36″N","15°18′40″E","todo"
"Green Mountain","7°57′S","14°21′W","todo"
"Dolderbahn","47.368432°N","8.560852°E","todo"
"Pilatus Railway","46°57′20″N","8°16′37″E","todo"
"Opicina Tramway","45.6705°N","13.7891°E","todo"
"Mount Washington","44°16′26″N","71°19′55″W","todo"
"Ikawa Line","35.16983","138.15425","todo"
"Mühleggbahn","47.42211667","9.37763056","todo"
"Superga","45°4′43″N","7°45′29″E","todo"
"Corcovado Rack Railway","22.9408°S","43.1985°W","todo"
"Schafberg Railway","47°45′23″N","13°25′49″E","todo"
"Monte Generoso Railway","45.90638","8.99555","todo"
"Manitou &amp; Pike’s Peak Railway","38.85605°N","104.9313°W","todo"
"Montenvers Railway","45.931729°N","6.917455°E","todo"
"Jungfraubahn","46.616736","8.026111","todo"
"Rittnerbahn","46.5281°N","11.4067°E","todo"
"Mount Morgan Rack Railway","23.6386°S","150.3867°E","todo"
"Achensee Railway","47.3886°N","11.7781°E","todo"
"Rorschach-Heiden-Bahn","47°26′46″N","9°32′15″E","todo"
"Dampfbahn Furka-Bergstrecke","46°33′41″N","8°21′43″E","todo"
"Mount Vesuvius","40°49′17″N","14°25′34″E","todo"
"Cremallera de Montserrat","41.6093°N","1.83832°E","been"
"Vall de Núria","42°24′N","02°09′E","todo"
"Mont Blanc Tramway","45.898","6.711138888888889","todo"
"Brezno","48°48′14″N","19°38′37″E","todo"
"Gornergratbahn","46°01′25″N","7°44′59″E","todo"
"Montreux-Glion-Rochers-de-Naye","46°25′40.93″N","6°55′25.33″E","todo"
"Panama Canal Locks","9.017077","-79.613323","been"
"Đà Lat-Tháp Chàm","11.94326°N","108.45701°E","todo"
"Diakofto Kalavrita Railway","38.191748°N","22.197915°E","todo"
"Puerto Cabello &amp; Valencia","10.48148°N","68.1112°W","todo"
"Nilgiri Mountain Railway","11°30′37″N","76°55′54″E","todo"
"Panoramique des Domes","45.7667°N","2.9686°E","been"
"Rigi Bahnen","47°00′35″N","8°28′59″E","todo"
"Kahlenberg Railway","48°17′N","16°20′E","todo"
"Wengernalpbahn","46°34′34″N","7°56′38″E","todo"
"Wendelstein Railway","47.7155°N","12.0598°E","todo"
"Fogaskerekű Vasút","47°30′44″N","19°01′08″E","todo"
"Lausanne–Ouchy Métro","46.514","6.6286","todo"
"Stuttgart Rack Railway","48°45′19″N","9°10′20″E","todo"
"West Coast Wilderness Railway","42.153°S","145.496°E","todo"
"Skitube Alpine Railway","36°22′S","148°24′E","todo"
"Rheineck-Walzencausen","47.45938°N","9.59651°E","todo"
"Bavarian Zugspitze Railway","47.491785°N","11.097019°E","todo"
"Snowdon Mountain Railway","53.1163°N","4.1195°W","been"
