"name","latitude","longitude","been"
"Thames Estuary","51°30.662′N","0°05.766′E","been"
"Melbourne","37.817°S","144.946°E","todo"
"Mexico City","19°26′N","99°8′W","todo"
"Cebu City","10°16′32.4″N","123°52′39.2″E","todo"
"Boston","42°19′7″N","70°59′28″W","been"
"Wellington","41°17′20″S","174°46′38″E","todo"
"Hassan II Mosque","33.6085°N","7.6327°W","todo"
"Barangaroo","33.8611°S","151.203°E","todo"
"Fucine Lake","41°59′42″N","13°32′50″E","todo"
"Northwestern University","42°03′21″N","87°40′29″W","todo"
"Monaco","43°43′52″N","07°25′12″E","been"
"Nuns’ Island","45°27′40″N","73°32′36″W","todo"
"Yenikapı","41°00′N","28°57′E","been"
"Xinghai Square","38°52′52″N","121°34′58″E","todo"
"Suva","18.1416°S","178.4419°E","todo"
"Gracefield Island","6.477180647020161°N","3.5227003141257334°E","been"
"Vargas State","10.572°N","66.88°W","todo"
"Pearl Island","25°22′7″N","51°33′7″E","todo"
"Venice","45°26′15″N","12°20′9″E","been"
"Genoa","44°24′40″N","8°55′58″E","been"
"Netherlands","52°N","6°E","been"
"Borgo Santa Lucia","40°49′56″N","14°15′00″E","been"
"Colombo Financial City","06°56′00″N","79°50′00″E","todo"
"Tokyo Bay","35°31′21″N","139°54′36″E","been"
"Santa Cruz del Islote","9°47′9″N","75°51′33″W","todo"
"Buenos Aires","34°36′12″S","58°22′54″W","todo"
"Biscayne Bay","25°33′57″N","80°12′59″W","todo"
"Panama City","8°59′N","79°31′W","been"
"Jakarta Bay","6°00′00″S","106°51′32.40″E","todo"
"Yas Island","24.5","54.6","todo"
"Barceloneta","39.5°N","3.7°W","been"
"Incheon Airport","37°27′48″N","126°26′24″E","been"
"Istanbul","41°00′49″N","28°57′18″E","been"
"San Francisco Bay","37.67°N","122.27°W","been"
"Cape Town","33.92°S","18.43°E","todo"
"Macau","22.19°N","113.54°E","been"
"North Slob","52.38°N","6.38°W","todo"
"Helsinki","60°10′15″N","24°56′15″E","been"
"Dublin","53°21′00″N","06°15′37″W","been"
"Nice Airport","43°39′55″N","007°12′54″E","been"
"Mumbai","19°04′34″N","72°52′39″E","todo"
"Nassau","25°02′39″N","77°21′01″W","todo"
"Zeebrugge","51°19′49″N","3°12′23″E","been"
"Notre Dame Island","45°30′15″N","73°31′35″W","been"
"The World","25°13′00″N","55°10′00″E","been"
"Co-op City","40.874°N","73.829°W","been"
"Hong Kong","22.3°N","114.2°E","been"
"Forest City, Johor","01.34°N","103.59°E","todo"
"Nagoya Airport","34°51′30″N","136°48′19″E","todo"
"Flevopolder","52°30′N","5°28′E","been"
"Kavala","40°56′N","24°24′E","todo"
"Rio de Janeiro","22°54′40″S","43°12′20″W","todo"
"Hamad Airport","25°16′23″N","51°36′29″E","todo"
"Chicago","41°52′55″N","87°37′40″W","been"
"SoDo","47°35′20″N","122°19′57″W","been"
"New Orleans","29.976111111111113","-90.07833333333333","todo"
"Lammefjord","55.77°N","11.5°E","todo"
"Brest","52°08′05″N","23°39′25″E","todo"
"Perth","-31.955833333333334","115.85972222222222","todo"
"Florianópolis","27°36′44″S","48°29′7″W","todo"
"Karachi","24°51′36″N","67°0′36″E","todo"
"Harbor Island","47°34′45″N","122°21′5″W","been"
"Beirut","33.9003°N","35.5017°E","todo"
"Palm Jumeirah","25°07′05″N","55°08′00″E","been"
"Montevideo","34°53′1″S","56°10′55″W","todo"
"Eko Atlantic","06°24′00″N","03°24′18″E","been"
"Mystic Island","39.5585°N","74.3706°W","been"
"Valparaíso","33°02′46″S","71°37′11″W","todo"
"Sydney","33°52′04″S","151°12′36″E","todo"
"Palm Jebel Ali","25.01°N","54.985°E","todo"
"St Helier","49°11′09″N","02°06′36″W","todo"
"Leslie Street Spit","43°37′4″N","79°20′33″W","been"
"Hulhumalé","4°13′N","73°32′E","todo"
"Liberty State Park","40°42′15″N","74°02′57″W","been"
"Manila Bay","14°31′00″N","120°46′00″E","todo"
"Saadiyat Island","24.531666666667","54.443055555556","todo"
"Brooklyn Bridge Park","40°41′52″N","73°59′54″W","been"
"Bergen","60°23′22″N","5°19′48″E","been"
"Shenzhen","22°33′N","114°06′E","been"
"Singapore","1°17′N","103°50′E","todo"
"Battery Park City","40.713°N","74.016°W","been"
"Auckland","36°50′26″S","174°44′24″E","todo"
