"name","latitude","longitude","been"
"Southampton","40°53′7″N","72°23′43″W","been"
"Veryovkina Cave","43°24′56″N","40°21′23″E","todo"
"Cape Charles Light","37.12292°N","75.90647°W","been"
"Noyelles","50.4125°N","2.977°E","been"
"Neum","42°55′30″N","17°37′00″E","been"
"Trier Cathedral","49°45′22″N","6°38′35″E","been"
"Gare du Nord","48°52′52″N","02°21′19″E","been"
"Vander Ende–Onderdonk House","40°42′40″N","73°55′12″W","been"
"Algeciras","36.1264°N","5.449°W","todo"
"Astoria–Megler Bridge","46.217°N","123.863°W","been"
"Panmunjom flagpole","37°56′30.24″N","126°40′48.07″E","been"
"Smith–Ninth Streets","40°40′28″N","73°59′50″W","been"
"Arsenalna","50°26′40″N","30°32′44″E","todo"
"El Ferdan Railway Bridge","30°39′25″N","32°20′2″E","todo"
"Beit She’an","32°30′N","35°30′E","todo"
"Slettnes Lighthouse","71°05′22.6″N","28°13′06.2″E","todo"
"Vatican City","41°54.2′N","12°27.2′E","been"
"Broad Green","53.4065°N","2.8935°W","todo"
"Lamprechtsofen","47°31′34″N","12°44′21″E","todo"
"Karl-Marx-Hof","48°15′10″N","16°21′54″E","been"
"Diomede Islands","65°47′N","169°01′W","todo"
"Dubai Airport","25°15′10″N","055°21′52″E","been"
"Timmelsjoch","46°54′19″N","11°5′48″E","been"
"Andorra","42°30′23″N","1°31′17″E","been"
"Jericho","31°51′22″N","35°27′36″E","been"
"Dubai Mall","25.1975","55.279166666667","been"
"Panoramique des Dômes","45.7667°N","2.9686°E","been"
"Col de Galibier","45.064216°N","6.407832°E","been"
"Peñón de Vélez de la Gomera","35°10′20″N","4°17′59″W","todo"
"Visperterminen","46°15′N","7°54′E","been"
"Kyle, South Dakota","43.36°N","101.97°W","todo"
"Ryfast Tunnel","59°01′53″N","5°48′54″E","todo"
"Bernina Pass","46°24′39″N","10°01′39″E","todo"
"Seikan Tunnel","41.3157°N","140.3351°E","been"
"West Edmonton Mall","53°31′22″N","113°37′23″W","been"
"The Edge","40.7541°N","74.0008°W","been"
"Plymouth Rock","41°57′29.1″N","70°39′43.7″W","been"
"Pilgrim Monument","42.052226°N","70.1892015°W","been"
"Col de l'Iseran","45°25′1″N","07°01′51″E","todo"
"Niesen","46°38′46″N","7°39′09″E","been"
"Liverpool Lime Street","53.4075°N","2.9784°W","todo"
"Mauritania Railway","21.29799","-13.0476","todo"
"Baku","40°23′43″N","49°52′56″E","todo"
"Belgian Coast Tram","51.26495°N","3.00544°E","been"
"Oregon City","45°21′26″N","122°35′30″W","been"
"Dronningens Gate","63°24′51″N","10°22′38″E","todo"
"Brussels North–South Connection","50.8473°N","4.3589°E","been"
"Burj Khalifa","25.197222222222223","55.274166666666666","been"
"Tianmen Mountain","29°2′59.57″N","110°28′44.00″E","todo"
"Bailong Elevator","29.3515°N","110.4615°E","todo"
"Mellunmäki","60°14′N","25°08′E","todo"
"Allenby Bridge","31°52′27″N","35°32′27″E","todo"
"Beijing–Shanghai high-speed railway","35.5291°N","118.8045°E","todo"
"Grande-Dixence","46.0808°N","7.4033°E","been"
"Klein Matterhorn","45°56′18″N","7°43′47″E","been"
"Woinic","49.5941°N","4.5025°E","been"
"Macy’s","40°45′01″N","73°59′18″W","been"
"Náměstí Míru","50°4′31.197″N","14°26′15.684″E","been"
"Metro Alpin","46°3′28″N","7°54′18″E","todo"
"Vardøhus Fortress","70°22′20″N","31°05′41″E","todo"
"Morris-Jumel Mansion","40°50′04″N","73°56′19″W","been"
"Pocahontas Island","37°14′19″N","77°23′59″W","been"
"Lake Pontchartrain Causeway","30.199722222222","-90.122777777778","todo"
"Rideau Canal","45°25′33″N","75°41′50″W","todo"
"Rungrado 1st of May Stadium","39.04963°N","125.77537°E","todo"
"Philippine Arena","14.79359°N","120.95354°E","todo"
"Wengernalpbahn","46°34′34″N","7°56′38″E","todo"
"Shore Line Trolley Museum","41°16′27.6″N","72°51′46.0″W","been"
"Sierre–Montana–Crans","46.303","7.5127","todo"
