"name","latitude","longitude","been"
"Place d’Italie","48.83142°N","2.35556°E","been"
"Sheridan Circle","38°54′43.8″N","77°03′02.4″W","been"
"Place de la Concorde","48.8656331°N","2.3212357°E","been"
"Columbus Circle","40.769°N","73.982°W","been"
"Altitude 100","50.8167","4.3367","been"
"Frederick Douglass Circle","40.800583°N","73.958167°W","been"
"Place Charles-de-Gaulle","48°52′26″N","2°17′41″E","been"
"Ward Circle","38°56′16″N","77°05′09″W","been"
"Plein 1813","52.086111111111","4.3044444444444","been"
"Plaça de Tetuan","41.394921","2.175507","been"
"Charing Cross","51.5073°N","0.12755°W","been"
"Barrière de St-Gilles","50°49′N","04°21′E","been"
"Sherman Circle","38°56′50″N","77°01′19″W","been"
"Tenley Circle","38°56′46″N","77°4′44″W","been"
"Oxford Circus","51°30′55″N","00°08′31″W","been"
"Place de la Nation","48°50′54″N","2°23′45″E","been"
"Rondo Będzin","50°20′N","19°7′E","been"
"Dupont Circle","38°54′34.7″N","77°02′36.4″W","been"
"Montgomery","50°50′15.2″N","4°24′27.4″E","been"
"Großer Stern","52°30′52″N","13°21′00″E","been"
"Washington Circle","38.9025°N","77.05°W","been"
"Square Eugène Plasky","50.850912°N","4.396425°E","been"
"Thomas Circle","38.90566°N","77.03196°W","been"
"Koningsplein","52°22′1″N","4°53′22″E","been"
"Robert Schuman Roundabout","50°50′33″N","04°23′02″E","been"
"Scott Circle","38.90724°N","77.036508°W","been"
"Porte Dauphine","48.87139°N","2.27667°E","been"
"Place de la République","48°52′02.20″N","2°21′50.60″E","been"
"Ernst-Reuter-Platz","52.5128°N","13.3217°E","been"
"Chevy Chase Circle","38.967624°N","77.077353°W","been"
"Grand Army Plaza","40.6743°N","73.9702°W","been"
"Logan Circle","38.909644°N","77.029647°W","been"
"Praterstern","48.2181","16.3919","been"
"Magic Roundabout","51°33′46″N","1°46′17″W","been"
"Place Eugène Verboekhoven","50.871357°N","4.375858°E","been"
