"name","latitude","longitude","been"
"Turin","45.079166666","7.676111111","todo"
"Busan","35.18","129.075","todo"
"Rennes","48.114166666","-1.680833333","been"
"Kanazawa","36°33′39.8″N","136°39′23.1″E","todo"
"Shanghai","31.166666666","121.466666666","todo"
"Macau","22.19°N","113.54°E","todo"
"Sapporo","43.061944444","141.354444444","todo"
"T5","48.9806°N","2.3692°E","been"
"Mexico City","19.419444444","-99.145555555","todo"
"Venice","45°29′36″N","12°14′47″E","todo"
"Padua","45°25′N","11°52′E","todo"
"Hiroshima","34°23′29″N","132°27′07″E","todo"
"Saitama","35.86138888888889","139.64555555555555","todo"
"Clermont-Ferrand","45.78055555555556","3.0875","been"
"Montreal","45.508888888","-73.561666666","been"
"Marseille","43.2975","5.3769444444444","todo"
"Santiago","-33.4375","-70.65","todo"
"Tokorozawa","35.689444444","139.691666666","todo"
"Lille","50.6383","3.0655","todo"
"Lyon","45.758888888889","4.8413888888889","been"
"Paris","48.856944444444","2.3513888888889","been"
"Lausanne","46.533333333","6.633333333","todo"
"Ayacucho","13°09′47″S","74°13′28″W","todo"
"Toulouse","43.604444444","1.443888888","been"
"Miami","25.78°N","80.21°W","been"
"Guangzhou","23°07′48″N","113°15′36″E","todo"
