"name","latitude","longitude","been"
"Vostochny Cosmodrome","51°53′04.39″N","128°20′05.2″E","todo"
"Guyana Space Centre","5.169°N","52.6903°W","todo"
"Kennedy Space Center","28°31′27″N","80°39′03″W","been"
"Baikonur Cosmodrome","45.965°N","63.305°E","todo"
"Satish Dhawan Space Centre","13.6664°N","80.2272°E","todo"
"Palmachim Air Force Base","31°53′52″N","34°41′26″E","todo"
"Tanegashima Space Center","30°24′00″N","130°58′12″E","todo"
"Vandenberg Space Force Base","34.73789028974781","-120.53743721749213","been"
"Mojave Air and Space Port","35°03′34″N","118°09′06″W","todo"
