"name","latitude","longitude","been"
"Chabacano","19°24′33″N","99°08′08″W","todo"
"Woodlawn","40.886005°N","73.878808°W","been"
"Chambers Street","40.715517","-74.009233","been"
"Retiro","34°35′29″S","58°22′29″W","todo"
"Sant Andreu","41°26′10″N","2°11′28″E","been"
"149th Street–Grand Concourse","40.8181°N","73.9275°W","been"
"Avenida de América","40.438611","-3.675278","been"
"General Osório","22°59′05″S","43°11′50″W","todo"
"Park Street","42.3563°N","71.0625°W","been"
"Wakefield–241st Street","40.903°N","73.85°W","been"
"Athens Airport","37.93689°N","23.9447°E","todo"
"145th Street","40.82404°N","73.944769°W","been"
"East 180th Street","40.841°N","73.874°W","been"
"Karlsplatz","48°11′57″N","16°22′12″E","todo"
"Rogier","50°51′19.5″N","4°21′30″E","been"
"Kennedy","43°43′57″N","79°15′49″W","todo"
"Pelham Bay Park","40.852871°N","73.827138°W","been"
"Carabanchel","40.38367°N","3.72799°W","todo"
"Marienplatz","48°08′14″N","11°34′31″E","todo"
"Hoyt–Schermerhorn","40°41′20.48″N","73°59′10.11″W","been"
"Flushing–Main Street","40°45′34″N","73°49′49″W","been"
"Palmeiras Barrafunda","23.525505°S","46.667358°W","todo"
"Barking","51.5393°N","0.0817°E","been"
"Plaça de Catalunya","41°23′12″N","2°10′12″E","been"
"Olympic Park","33.84663056°S","151.0694833°E","todo"
"59th Street–Columbus Circle","40°46′05″N","73°58′55″W","been"
"Van Cortlandt Park–242nd Street","40.889222°N","73.898583°W","been"
"Charles de Gaulle–Étoile","48°52′26″N","2°17′42″E","been"
"Stadion","48.2106°N","16.4204°E","been"
"Campamento","6.9791666666667","-75.295833333333","todo"
"Stratford","51.5422°N","0.0033°W","been"
