"name","latitude","longitude","been"
"Terme di Saturnia","42°39′29.21″N","11°30′58.35″E","todo"
"Yangbajain","30.097615°N","90.507219°E","todo"
"Bath","51.3809°N","2.3595°W","been"
"Bains-les-Bains","48.0031°N","6.2642°E","todo"
"Netherlands","52°N","6°E","todo"
"Ironmonger Row Baths","51.526643°N","0.09483°W","been"
"Františkovy Lázně","50°7′14″N","12°21′7″E","todo"
"Montrond-les-Bains","45.6439°N","4.2314°E","been"
"Montecatini Terme","43°52′58″N","10°46′16″E","todo"
"Manoir de Lébioles","50.4650°N","5.8315°E","todo"
"Bad Vöslau","47°58′N","16°13′E","todo"
"Aquapalace Prague","50.0075°N","14.571111°E","been"
"Bad Schandau","50°55′N","14°9′E","todo"
"Mariánské Lázně","49°57′53″N","12°42′4″E","todo"
"Bad Endbach","50°45′N","8°30′E","todo"
"Banovci","45.18333333","19.06666667","todo"
"Sol Duc","47°58′12″N","123°51′45″W","todo"
"Bad Wimpfen","49°14′N","9°10′E","todo"
"Bad Kissingen","50°12′N","10°4′E","todo"
"Bad Herrenalb","48°48′2″N","8°26′27″E","todo"
"Baden bei Wien","48°00′27″N","16°14′04″E","been"
"Lyon Thermes Romains","45.7571","4.81989","been"
"Beitou District","25.1167°N","121.5°E","todo"
"Bad Ems","50°20′17″N","7°42′38″E","todo"
"Vichy","46.1278°N","3.4267°E","todo"
"Caracalla","41°52′46″N","12°29′35″E","been"
"Thermae of Maximinus","41°32′46.64″N","8°25′46.52″W","been"
"Aix-les-Bains","45.6885°N","5.9153°E","todo"
"Germany","52°31′N","13°23′E","todo"
"Rudas Fürdő","47°29′20.73″N","19°2′52.32″E","been"
"Bešeňová","49°06′N","19°27′E","todo"
"Sultan Süleyman Hamam","41.0159°N","28.9658°E","been"
"Mondorf-les-Bains","49.506944444444","6.2805555555556","been"
"Sun City","26.294444444444444","73.02777777777777","been"
"Trier Imperial Baths","49.749729°N","6.642259°E","been"
"Châteauneuf-les-Bains","46.0292°N","2.8972°E","todo"
"Karlovy Vary","50°13′50″N","12°52′21″E","todo"
"Neris-les-Bains","46.2886°N","2.6622°E","todo"
"Thermen am Viehmarkt","49.7527","6.63766","been"
"Baden-Baden","48.7631°N","8.2422°E","been"
"Mount Paektu","41°59′36″N","128°04′39″E","todo"
"Sandunovskie Baths","55°45′51″N","37°37′17″E","todo"
"Bad Bergzabern","49.1028°N","7.99913°E","todo"
"Watergarden","-37.7008","144.774","been"
"Challes-les-Eaux","45.5475","5.9838888888889","todo"
"Hotel Palace","40.415486°N","3.696133°W","been"
"Austria","48°12′N","16°21′E","todo"
