"name","latitude","longitude","been"
"Ballpark at Harbor Yard","41°10′19″N","73°11′15″W","been"
"Citi Field ","40°45′25″N","73°50′45″W","been"
"Wrigley Field","41°56′53″N","87°39′20″W","been"
"Atlanta Stadium","33.739°N","84.389°W","been"
"Karnataka State Cricket Ring","12°58′43.7″N","77°35′58.4″E","been"
"Teddy Stadium","31°45′4.20″N","35°11′26.22″E","been"
"Stade Marcel Michelin","45.79001","3.10755","been"
"Sahlen Field","42°52′52.7″N","78°52′27.4″W","been"
"St. Jakob-Park","47°32′30″N","7°37′13″E","been"
"The O2","51°30′10.14″N","0°0′11.22″E","been"
"Red Star Stadium","44°47′00″N","20°27′53″E","been"
"Lumen Field","47.5952°N","122.3316°W","been"
"Estadi Olímpic Lluís Companys","41°21′53″N","2°9′20″E","been"
"Tokyo Dome","35.705658333333","139.75191388889","been"
"Barclays Center","40°40′57.58″N","73°58′30.81″W","been"
"Nyayo National Stadium","1°18′13″S","36°49′27″E","been"
"Stade de France","48.9245°N","2.3602°E","been"
"Tim Hortons Field","43°15′7.612″N","79°49′48.359″W","been"
"Lincoln Financial Field","39°54′3″N","75°10′3″W","been"
"Wembley","51.55555555555556","-0.27944444444444444","been"
"Jamsil Baseball Stadium","37°30′44.6″N","127°04′19.1″E","been"
"PNC Park","40°26′49″N","80°0′21″W","been"
"Wells Fargo Center","39°54′4″N","75°10′19″W","been"
"Stade Sébastien Charléty","48°49′7″N","2°20′48″E","been"
"Estádio da Luz","38.7527°N","9.1847°W","been"
"Stade de Genève","46°10′40″N","6°7′39″E","been"
"The Oval","51°29′1″N","0°6′54″W","been"
"Camden Yards","39°17′2″N","76°37′18″W","been"
"Polo Grounds","40°49′54″N","73°56′14″W","been"
"Centennial Olympic Stadium","33°44′08″N","84°23′22″W","been"
"Olimpijski Stadion Koševo","43°52′26″N","18°24′31″E","been"
"T-Mobile Park","47.591°N","122.333°W","been"
"Stade de Luxembourg","49.577138888889","6.1157305555556","been"
"Stadion Narodowy","52°14′22″N","21°02′44″E","been"
"Ernst Happel Stadion","48.20722222222222","16.420833333333334","been"
"Stade Louis II","43.727778","7.415556","been"
"Yale Bowl","41.313°N","72.960°W","been"
"Spodek","50°15′58″N","19°01′31″E","been"
"Capital Centre","38°54′9″N","76°50′49″W","been"
"Stade Olympique de Montréal","45.55781","-73.55164","been"
"Olympiastadion","52.514722222222","13.239444444444","been"
"Rashid Stadium","25.279655555556","55.360605555556","been"
"Amsterdam ArenA","52°18′51″N","4°56′31″E","been"
"Mercedes-Benz Arena","52°30′20″N","13°26′36″E","been"
"Dakar Arena","14.733929999999999","-17.212358055555555","been"
"Velký Strahovský Stadion","50°4′49.21″N","14°23′16.30″E","been"
"Oracle Park","37°46′43″N","122°23′21″W","been"
"Stade Roi Baudouin","50.895705555556","4.3340833333333","been"
"Candlestick Park","37°42′49″N","122°23′10″W","been"
"Citizens Bank Park","39°54′21″N","75°9′59″W","been"
"Plaça de Braus de la Monumental","41°24′1″N","2°10′53″E","been"
"Oakland Coliseum","37°45′6″N","122°12′2″W","been"
"Dynamo Central Stadium","55°47′29″N","37°33′35″E","been"
"Rotterdam Ahoy","51°52′58″N","4°29′17″E","been"
"MetLife Stadium","40°48′48.7″N","74°4′27.7″W","been"
"Lord’s Cricket Ground","51.5294°N","0.1727°W","been"
"Mazda Stadium","34.3925°N","132.484°E","been"
"Estádio José Alvalade","38°45′40″N","9°9′39″W","been"
"Luzhniki Stadium","55°42′56″N","37°33′13″E","been"
"Hiroshima Municipal Stadium","34°23′49.14″N","132°27′17.85″E","been"
"Stade Léopold Sédar Senghor","14.746694","-17.452014","been"
"Beijing National Stadium","39°59′30″N","116°23′26″E","todo"
"Blue Cross Arena","43°09′13.3″N","77°36′38.8″W","been"
"SAP Center","37°19′58″N","121°54′4″W","been"
"Stanford Stadium","37°26′4″N","122°09′40″W","been"
"Stade de l’Amitié","6.386°N","2.379333°E","been"
"Earls Court","51°29′20″N","0°11′52″W","been"
"Kaseya Center","25°46′53″N","80°11′17″W","been"
"RFK Stadium","38.890°N","76.972°W","been"
"Národný Futbalový Štadión","48°9′48.81″N","17°8′12.68″E","been"
"Stade Demba Diop","14.7107147","-17.4584434","been"
"Prudential Center","40°44′1″N","74°10′16″W","been"
"Plaça de Toros de les Arenes","41.3650°N","2.1492°E","been"
"Yankee Stadium","40°49′45″N","73°55′35″W","been"
"Madison Square Garden","40°45′2″N","73°59′37″W","been"
