"name","latitude","longitude","been"
"Fulton Center","40°42′38″N","74°0′32″W","been"
"Highbridge Park","40°50′49″N","73°55′48″W","been"
"Allerheiligen-Wasserfälle","48.5303°N","8.1889°E","been"
"Puy Mary","45°06′34″N","2°40′34″E","been"
"National Cathedral","38°55′50″N","77°4′15″W","been"
"Beogradska Tvrđava","44°49′24″N","020°27′01″E","been"
"Petřín","50°05′01″N","14°23′43″E","been"
"Seattle","39°49′41″N","101°0′0″W","been"
"Bom Jesus do Monte","41°33′17.8″N","8°22′37.3″W","todo"
"Sri Venkateswara Swami Vaari","13°40′59.7″N","79°20′49.9″E","todo"
"Monument","51.51013888888889","-0.08594444444444443","been"
"Pražský Hrad","50°05.385′N","14°23.904′E","been"
"Pyramide du Louvre","48°51′39.6″N","02°20′09.1″E","been"
"Sintra","38°47′57″N","9°23′18″W","been"
"Ise Jingu","34°27′18″N","136°43′33″E","todo"
"Yatsushiro","32°30′N","130°36′E","todo"
"Haʻiku Stairs","21.3957°N","157.8241°W","todo"
"Naples","40.83583333333333","14.248611111111112","been"
"Pyramid of the Sun","19.693°N","98.844°W","todo"
"Ponte de Rialto","45.4380°N","12.3360°E","been"
"Cathédrale du Puy-en-Velay","45.045556°N","3.884722°E","been"
"Crystal Palace","51°25′15″N","0°04′12″W","been"
"Centre Pompidou","48.860653°N","2.352411°E","been"
"Queen’s Staircase","25°04′23.3″N","77°20′15.6″W","todo"
"Cincinnati","39°06′00″N","84°30′45″W","todo"
"Natural History Museum","51°29′46″N","00°10′35″W","been"
"16th Avenue Tiled Steps","37°45′22.6″N","122°28′23.5″W","todo"
"Lysefjorden","60.2014","5.30364","todo"
"238th Street","40°53′6.35″N","73°54′2.19″W","been"
"Oculus","40°42′41″N","74°00′43″W","been"
"Loretto Chapel","35°41′8″N","105°56′16″W","been"
"Ventimiglia","43°47′25″N","7°36′30″E","been"
"Cour des Voraces","45°46′19″N","4°50′05″E","been"
"Piazza di Spagna","41.906°N","12.4821°E","todo"
"Batu Caves","3°14′14.64″N","101°41′2.06″E","todo"
"Vessel","40.7538°N","74.0022°W","been"
"Exorcist Steps","38°54′19.96″N","77°4′12.59″W","been"
"Jacob’s Ladder","15.9256°S","5.7192°W","todo"
"Parc Güell","41°24′49″N","2°09′10″E","todo"
"Cité","48°51′20.3396″N","2°20′44.6712″E","been"
"Lincoln Memorial","38°53′21.4″N","77°3′0.5″W","been"
"Plovdiv Amphitheater","42.14684°N","24.751006°E","been"
"Apple Fifth Avenue","40.76383°N","73.97298°W","been"
"Devil’s Slide","37.574383°N","122.520255°W","been"
"Coogan’s Bluff","40.8326°N","73.9393°W","been"
"Mount Haguro","38°42′09″N","139°58′58″E","todo"
"Alameda Ridge","45°32′42″N","122°33′58″W","todo"
"Trocadéro","48.860833°N","2.29°E","been"
"Washington Monument","38°53′22″N","77°2′7″W","been"
"Chand Baori","27.0073°N","76.6065°E","todo"
"Praia","14.918°N","23.509°W","been"
"Joker Stairs","40.8359°N","73.9239°W","been"
"Mount Tai","36°15′21″N","117°06′27″E","todo"
"St. Beatus-Höhlen","46.68465","7.7823","been"
"Mount Girnar","21°29′41″N","70°30′20″E","todo"
"Niesenbahn","46.639356°N","7.69021°E","been"
"Palau Nacional","41°22′06″N","2°09′12″E","been"
"Morrisania","40.832°N","73.904°W","been"
"Croix-Rousse","45°46′46″N","4°49′39″E","been"
"Hermitage","59.940555555555555","30.31361111111111","been"
"Battery Weed","40°36′19″N","74°3′17″W","been"
"Nossa Senhora dos Remédios","-3.9788888888889","-42.620833333333","todo"
"Alfama","38°42′44″N","9°07′48″W","been"
"155th Street","40.8312°N","73.9422°W","been"
"Somerset House","51.51111111111111","-0.11777777777777777","been"
"Montmartre","48°53′13″N","02°20′28″E","been"
"Pittsburgh","40°26′23″N","79°58′35″W","been"
"Bratislavský Hrad","48°08′32″N","17°06′00″E","been"
"CN Tower","43°38′33.36″N","79°23′13.56″W","todo"
"Doppelwendeltreppe Graz","47.0727","15.4428","been"
"Chkalov Stairs","56°19′51″N","44°00′34″E","todo"
"Bronx Borough Hall","40.845975°N","73.895506°W","been"
"Rudkhan Castle","37°03′52″N","49°14′24″E","todo"
"Siwa","29°12′19″N","25°31′10″E","been"
"Rocky Steps","39.9649°N","75.1802°W","todo"
"Eiffel Tower","48°51′29.6″N","2°17′40.2″E","been"
"Yerevan Cascade","40°11′28″N","44°30′56″E","todo"
"Potemkin Stairs","46°29′21″N","30°44′36″E","todo"
"Schloßbergbahn","47°04′34″N","15°26′14″E","been"
"Angkor Wat","13°24′45″N","103°52′0″E","todo"
"Baden bei Wien","48°00′27″N","16°14′04″E","been"
