"name","latitude","longitude","been"
"Euston","51.52849°N","0.13702°W","been"
"Birmingham New Street","52.47777°N","1.89885°W","been"
"Miami Central","25.77753°N","80.19578°W","been"
"Dresden Hbf","51°02′25″N","13°43′54″E","been"
"Schiphol","52°18′32″N","4°45′42″E","been"
"Katowice","50°15′30″N","19°01′03″E","been"
"Châtelet–Les Halles","48.8615°N","2.3465°E","been"
"Antwerpen Centraal","51.216944444444","4.4211111111111","been"
"Orlando Intermodal Terminal","28.41453°N","81.30818°W","been"
"Dakar","14.675799","-17.433405","been"
"La Défense","48.892222","2.236944","been"
"Bilbao Abando","43°15′41″N","2°55′40″W","todo"
"King’s Cross","51.5309°N","0.1233°W","been"
"Tokyo","35°40′51″N","139°46′01″E","been"
"Charing Cross","51.508°N","0.125°W","been"
"Hiroshima","34°23′52″N","132°28′32″E","been"
"Lamy","35.4809°N","105.88°W","been"
"St Pancras","51°31′48″N","00°07′31″W","been"
"Gare de l’Est","48°52′37″N","2°21′33″E","been"
"Vauxhall","51.4854°N","0.1229°W","been"
"Bremen Hbf","53.0831","8.81361","todo"
"Novi Sad","45°15′56.45″N","19°49′45.84″E","been"
"Portland Union Station","45.529°N","122.6768°W","been"
"Philadelphia 30th Street","39°57′21″N","75°10′55″W","been"
"Trnava","48°22′39″N","17°35′18″E","been"
"Darmstadt Hbf","49.8725","8.62889","todo"
"Cambridge","52.194°N","0.138°E","been"
"St Petersburg Finlyandsky","59°57′20″N","30°21′24″E","todo"
"Baghdad","33°19′25″N","44°22′49″E","todo"
"Rouses Point","44.9948°N","73.3712°W","todo"
"Jamaica","40°41′59″N","73°48′28″W","been"
"Kassel Hbf","51.318055555556","9.49","todo"
"Baden-Baden","48.7906","8.19083","todo"
"Zandvoort aan Zee","52.37583333333333","4.531388888888889","been"
"Berlin Hbf","52°31′30″N","13°22′10″E","been"
"Bruxelles Central","50°50′44″N","4°21′25″E","been"
"Chicago Millenium","41.88594°N","87.62345°W","been"
"Düsseldorf Hbf","51°13′13″N","6°47′34″E","todo"
"Basel","47°33′17″N","07°35′26″E","been"
"Shibuya","35.658514°N","139.70133°E","been"
"Sarajevo","43°51′37″N","18°23′57″E","been"
"Eindhoven Centraal","51.442778","5.479722","been"
"Lisboa Rossio","38°42′53″N","9°8′32″W","been"
"Seattle Union Station","47.5987°N","122.3285°W","been"
"Hakata","33.589803°N","130.420681°E","been"
"Los Angeles Union Station","34.05515°N","118.23525°W","been"
"Hamburg Hbf","53°33′10″N","10°00′23″E","todo"
"Bruxelles Midi","50.835278","4.335833","been"
"Ouagadougou","12.3739","-1.52658","been"
"Berlin Friedrichstraße","52°31′13″N","13°23′13″E","been"
"Moscow, Pennsylvania","41°20′21″N","75°31′45″W","been"
"Paddington","51.5173°N","0.1774°W","been"
"Enkhuizen","52.699444","5.287778","been"
"Hakodate","41.773736°N","140.726398°E","been"
"Pittsburgh Union Station","40°26′41.1″N","79°59′31.7″W","been"
"London Victoria","51.4952°N","0.1441°W","been"
"Ventimiglia","43°47′33″N","07°36′36″E","been"
"London Bridge","51.5044°N","0.0857°W","been"
"Haarlem","52.387778","4.638889","been"
"Lackawanna","41°24′20″N","75°39′41″W","been"
"Chama","36°54′N","106°35′W","been"
"Dordrecht","51.8075","4.667778","been"
"Saint Lazare","48°52′37″N","2°19′28″E","been"
"Marseille Saint-Charles","43°18′11″N","5°22′52″E","todo"
"Gare du Nord","48°52′52″N","02°21′19″E","been"
"Stuttgart Hbf","48°47′02″N","9°10′54″E","todo"
"Frankfurt Fernbanhof","50.0528","8.57","been"
"Podgorica","42.4325°N","19.2693°E","been"
"Jerusalem Yitzhak Navon","31.788219°N","35.202439°E","been"
"Stratford","51.5422°N","0.0033°W","been"
"Palermo Centrale","38°06′36″N","13°22′01″E","been"
"Lyon Perrache","45.748333333333","4.8255555555556","been"
"Moscow Kazansky","55.773333°N","37.656389°E","been"
"Sheffield","53.378°N","1.462°W","been"
"Zermatt","46°1′27″N","07°44′51″E","been"
"Riga","56.947222°N","24.122222°E","been"
"Madrid Nuevos Ministerios","40.4466221°N","3.6924595°W","been"
"Busan","35.11520°N","129.04137°E","been"
"Heidelberg Hbf","49.403611111111","8.6752777777778","todo"
"Shenzhen","22.5344°N","114.1121°E","been"
"Charleroi","50°24′17″N","4°26′19″E","been"
"Barcelona França","41°23′02″N","2°11′10″E","been"
"Barcelona Sants","41°22′44″N","2°08′24″E","been"
"Berlin Zoologischer Garten","52°30′26″N","13°19′57″E","been"
"New Haven Union Station","41°17′51″N","72°55′36″W","been"
"Chișinău","47°00′45″N","28°51′35″E","been"
"Seiryu Miharashi","34.211004°N","132.006315°E","todo"
"Toulouse Matabiau","43.611111111111","1.4536111111111","been"
"Richmond Main Street","37°32′05″N","77°25′45″W","been"
"Massy TGV","48.726111","2.261667","been"
"Waterloo","51.5031°N","0.1132°W","been"
"Nairobi","1.291664°S","36.828619°E","been"
"Rotterdam Centraal","51°55′28″N","4°28′10″E","been"
"Trier Hbf","49°45′25″N","06°39′07″E","been"
"Wien Westbahnhof","48.196667","16.337778","been"
"Jerusalem Malha","31°44.885′N","35°11.252′E","been"
"Michigan Central Station","42°19′43.69″N","083°04′39.83″W","todo"
"Washington Union Station","38.89731°N","77.00626°W","been"
"Steamtown","41.40733°N","75.67132°W","been"
"Seoul","37.55319°N","126.9726°E","been"
"Frankfurt Hbf","50.107256","8.662616","todo"
"Torino Porta Nuova","45°03′45″N","7°40′44″E","todo"
"Bratislava","48°09′30″N","17°06′22″E","been"
"Gare de Lyon","48.8448°N","2.3735°E","been"
"Madrid Atocha","40.406528°N","3.689373°W","been"
"Aachen Hbf","50.767635°N","6.091179°E","been"
"Toronto Union Station","43°38′43″N","79°22′50″W","been"
"Newark Penn","40°44′5″N","74°9′51″W","been"
"Aomori","40°49′43.87″N","140°44′4.89″E","been"
"Moscow Leningradsky","55.776111°N","37.655278°E","been"
"New York Penn","40.750638","-73.993899","been"
"Hoboken","40°44′6″N","74°1′39″W","been"
"Leipzig Hbf","51.34527777777778","12.382222222222222","todo"
"Ljubljana","46°03′32″N","14°30′47″E","been"
