"name","latitude","longitude","been"
"Samora Machel Statue","25.9691°S","32.5732°E","todo"
"The Motherland Calls","48°44′33″N","44°32′13″E","todo"
"Woinic","49.5941°N","4.5025°E","been"
"Monument Amazone","6.349012","2.407547","been"
"National Heroes Acre","17°50′04″S","30°59′14″E","todo"
"Mask of Sorrow","59°35′30.62″N","150°48′43.65″E","todo"
"Worker and Kolkhoz Woman","55°49′42″N","37°38′44″E","been"
"Mount Rushmore","43°52′44″N","103°27′35″W","todo"
"Mirador de Colón","41°22′32.89″N","2°10′39.94″E","been"
"Benin National Monument","6.35407°N","2.404738°E","been"
"The Little Mermaid","55°41′34.3″N","12°35′57.4″E","todo"
"Mansu Hill Grand Monument","39°1′55″N","125°45′12″E","todo"
"Korean Workers Party Monument","39°1′40″N","125°46′35″E","todo"
"Nelson’s Column","51°30′27.8″N","0°07′40.7″W","been"
"Moai","-27.114231","-109.363994","todo"
"Manneken Pis","50.8449861°N","4.3499932°E","been"
"Christ the Redeemer","22°57′7″S","43°12′38″W","todo"
"Heroes Acre","22.6638°S","17.0783°E","todo"
"Sam Nujoma Statue","22.5688°S","17.0881°E","todo"
"Three Dikgosi Monument","24.64486°S","25.90735°E","todo"
"Buddha of Bamiyan","34.832°N","67.8267°E","todo"
"Angel of the North","54.9141°N","1.5895°W","been"
"Pobednik","44°49′22.9″N","20°26′51.7″E","been"
"Spring Temple Buddha","33.775082°N","112.450925°E","todo"
"Mother Ukraine Monument","50.426521°N","30.563187°E","todo"
"Tiglachin Monument","9.019937°N","38.752265°E","todo"
"Colossus of Rhodes","36°27′04″N","28°13′40″E","todo"
"Guan Yu","30°20′31″N","112°12′28″E","todo"
"Soviet War Memorial","52°29′15″N","13°28′06″E","been"
"African Renaissance Monument","14°43′20″N","17°29′42″W","been"
"Neutrality Monument","37.8822°N","58.3333°E","todo"
"Gëlle Fra","49°36′34″N","06°07′44″E","been"
"Monument à la République","48.8675°N","2.3638°E","been"
"Colossus of Nero","41°53′28″N","12°29′29″E","todo"
"Nemrut Dağ","37°58′50″N","38°44′27″E","todo"
"Statue of Unity","21.838°N","73.7191°E","todo"
"Siegessäule","52°30′52″N","13°21′0″E","been"
"Statue of Liberty","40°41′21″N","74°2′40″W","been"
