"name","latitude","longitude","been"
"Leaser Lake","40°40′07″N","75°50′05″W","been"
"Aquapalace Prague","50.0075°N","14.571111°E","been"
"Chillac","45.3622°N","0.0819°W","been"
"Seneca Lake","42°39′20″N","76°53′51″W","been"
"Mountain Lake","43.93888889","-94.92972222","been"
"Lake Chaubunagungamaug","42°02′30″N","71°50′30″W","been"
"Scheveningen","52.10806","4.27306","been"
"Kileleshwa","01°16′37″S","36°47′35″E","been"
"Fraisse","44.9306°N","0.3083°E","been"
"Baker Beach","37°47.592′N","122°29.04′W","been"
"Zandvoort aan Zee","52.366666666667","4.5333333333333","been"
"Sun City","26.294444444444444","73.02777777777777","been"
"Yrjönkatu Swimming Hall","60°10′4.83″N","24°56′20.47″E","todo"
"Devil’s Slide","37.574383°N","122.520255°W","been"
"Hveragerði","63.9992211°N","21.2065315°W","been"
"Donauinsel","48°14′N","16°24′E","been"
"Katwijk aan Zee","52.2031","4.3953","been"
"Monmouth Beach","40.335895°N","73.985608°W","been"
"Watergarden","-37.7008","144.774","been"
"Chanteuges","45.0733°N","3.5322°E","been"
"Seljavallalaug","63°33′58.4″N","19°36′27.3″W","been"
"Bredene","51°14′N","02°58′E","todo"
"Slano","42°47′13″N","17°53′24″E","been"
"Kijkduin","52.06889","4.22222","been"
"Thessaloniki","40.640277777777776","22.935555555555556","been"
"Laboue","34.197317°N","36.352392°E","been"
"Eureka","40°48′07″N","124°09′49″W","been"
"San Gregorio Creek","37°19′45″N","122°16′58″W","been"
"Aubazat","45.14°N","3.44°E","been"
"Dechantlacke","51.094444444444","14.666666666667","been"
"Ally","45.174166666667","2.3152777777778","been"
"Rahway River","40.5945°N","74.2064°W","been"
"Cronce","45.0933°N","3.3614°E","been"
"Hoek van Holland","51.9763","4.1323","been"
"Congamond Lakes","42°03′17″N","72°46′15″W","been"
"Fort Foster","28.150278","-82.220556","been"
"Flúðir","64°13′N","20°33′W","been"
"Mondorf-les-Bains","49.506944444444","6.2805555555556","been"
"Stone Lake","45.8566742","-91.601354","been"
"Lake Quinault","47°28′34.96″N","123°52′12.59″W","been"
"Dublin Pond","42°54′23″N","72°05′02″W","been"
"Prades","42.617222222222","2.4219444444444","been"
"Baden-Baden","48.7631°N","8.2422°E","been"
"Grimaldi","39.15","16.233333333333","been"
